指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2021/2/15取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2019年度：4,597件、2020年度：6,158件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
千代田区,麹町１丁目,-,"東京都千代田区麹町1丁目10 澤田麹町ビルB1階

",35.6847941,139.7426597,半蔵門心療クリニック,心療内科,https://byoinnavi.jp/clinic/2416
千代田区,神田須田町２丁目,-,"東京都千代田区神田須田町二丁目6 坂下ビル

",35.6959782,139.7719571,医療法人社団聖水会 小笠原クリニック,人工透析内科,https://byoinnavi.jp/clinic/163858
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2丁目8 瀬川ビル3F

",35.6992916,139.7642917,医療法人財団日睡会 御茶ノ水呼吸ケアクリニック,"内科, アレルギー科, 呼吸器内科",https://byoinnavi.jp/clinic/204
千代田区,神田鍛冶町,-,"東京都千代田区神田鍛冶町3丁目2-1 サンミビル6階

",35.6937097,139.7711433,神田ふくしま歯科,"歯科, 矯正歯科",https://byoinnavi.jp/clinic/182186
千代田区,神田錦町１丁目,-,"東京都千代田区神田錦町1丁目9 東京天理ビル1F

",35.6918085,139.7643294,医療法人社団寿会 千代田診療所,"内科, 消化器科, 眼科, 放射線科, 循環器内科, 糖尿病内科, 代謝内科",https://byoinnavi.jp/clinic/227
千代田区,神田駿河台１丁目,-,"東京都千代田区神田駿河台一丁目7

",35.6990838,139.760617,出版健康保険組合 健康管理センター,"内科, 皮膚科, 眼科, 耳鼻いんこう科, 歯科",https://byoinnavi.jp/clinic/983
千代田区,神田錦町１丁目,-,"東京都千代田区神田錦町1丁目8

",35.6932531,139.7647417,医療法人社団 遠藤クリニック,"内科, 消化器科, 放射線科",https://byoinnavi.jp/clinic/536
千代田区,神田多町,-,"東京都千代田区神田多町2丁目3 不動商事ビル5F

",35.692736,139.769054,山本歯科,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/405
千代田区,二番町,-,"東京都千代田区二番町5 麹町駅プラザ2F

",35.6858738,139.7365887,医療法人社団聖会 大串歯科医院,歯科,https://byoinnavi.jp/clinic/3380
千代田区,五番町,-,"東京都千代田区五番町2 横山ビル2F

",35.690641,139.7352254,医療法人社団峰瑛会 市ケ谷番町歯科クリニック,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/4335
千代田区,神田多町,-,"東京都千代田区神田多町2丁目1 神田東山ビル5階

",35.693023,139.7694122,医療法人社団弘冨会 神田東クリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/1019
千代田区,神田小川町１丁目,-,"東京都千代田区神田小川町1丁目8 小川町クレストビル3F

",35.6949169,139.7655075,医療法人社団宏礼会 塚原デンタルクリニック,"歯科, 矯正歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/1907
千代田区,神田松永町,-,"東京都千代田区神田松永町11 AT第1ビル7F

",35.6995393,139.7745332,医療法人社団カームガーデン 秋葉原ガーデンクリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/99
千代田区,神田神保町３丁目,-,"東京都千代田区神田神保町3丁目2 サンライトビル2F

",35.6961401,139.7549699,医療法人社団立誠会 岡村デンタルクリニック,"歯科, 矯正歯科",https://byoinnavi.jp/clinic/5839
千代田区,神田小川町３丁目,-,"東京都千代田区神田小川町三丁目8 中北ビル2階

",35.6961543,139.7617194,医療法人社団ひのき会 証クリニック神田,"内科, 漢方内科, 神経内科, 消化器科",https://byoinnavi.jp/clinic/1133
千代田区,神田小川町３丁目,-,"東京都千代田区神田小川町三丁目11 木村ビル2F

",35.693945,139.762434,平山歯科,歯科,https://byoinnavi.jp/clinic/18303
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2丁目9 神田神保町メディカルモール2F

",35.6953962,139.7558851,トシデンタルクリニック,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/5845
千代田区,神田小川町２丁目,-,"東京都千代田区神田小川町2丁目12 進興ビル地下1F

",35.695095,139.764761,医療法人社団雄治会 小川町メディカルクリニック,内科,https://byoinnavi.jp/clinic/18302
千代田区,神田小川町２丁目,-,"東京都千代田区神田小川町2丁目1 日米商会ビル5F

",35.694311,139.765055,大塚デンタルクリニック,歯科,https://byoinnavi.jp/clinic/278545
千代田区,外神田１丁目,-,"東京都千代田区外神田1丁目9-1 住友不動産秋葉原ファーストビル・テラス2階

",35.6989087,139.7697725,外神田デンタルオフィス東京,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/277236
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2-5 村田ビル5F

",35.7002029,139.7618996,公益社団法人東京都教職員互助会 三楽病院附属生活習慣病クリニック,"糖尿病内科, 代謝内科",https://byoinnavi.jp/clinic/119629
千代田区,神田岩本町,-,"東京都千代田区神田岩本町1 清水ビル2F

",35.6958317,139.7749135,医療法人社団四季の会 さくらの木クリニック秋葉原,"心療内科, 精神科",https://byoinnavi.jp/clinic/256978
千代田区,神田佐久間町２丁目,-,"東京都千代田区神田佐久間町二丁目1 大原ビル2F

",35.6974433,139.7757913,医療法人社団上桜会 ゆうメンタルクリニック秋葉原院,"心療内科, 精神科",https://byoinnavi.jp/clinic/256423
千代田区,神田淡路町２丁目,-,"東京都千代田区神田淡路町二丁目25

",35.6970035,139.7666884,医療法人財団 神尾記念病院,"形成外科, 美容外科, 皮膚科, 耳鼻いんこう科, 麻酔科, 美容皮膚科",https://byoinnavi.jp/clinic/998
千代田区,神田佐久間町１丁目,-,"東京都千代田区神田佐久間町1丁目21 鳥山ビル3F

",35.697762,139.7751892,秋葉原美容クリニック,美容外科,https://byoinnavi.jp/clinic/271137
千代田区,神田鍛冶町,-,"東京都千代田区神田鍛冶町三丁目4 OAK 神田鍛冶町ビル2階

",35.6937097,139.7711433,あいだ希望クリニック,婦人科,https://byoinnavi.jp/clinic/256658
千代田区,神田錦町１丁目,-,"東京都千代田区神田錦町1丁目4 滝本ビル1階

",35.6927304,139.76399,神田錦町歯科,"歯科, 矯正歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/18300
千代田区,岩本町１丁目,-,"東京都千代田区神田岩本町1 岩本町ビル4階

",35.6933944,139.7796058,医療法人社団 鈴森内科クリニック,"内科, 消化器科",https://byoinnavi.jp/clinic/643
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1丁目3-3

",35.6961199,139.7692135,山本歯科医院,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/18234
千代田区,神田淡路町１丁目,-,"東京都千代田区神田淡路町一丁目4 国土淡路町ビル4F

",35.6960207,139.7663711,神田淡路町メンタルクリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/252018
千代田区,神田佐久間町１丁目,-,"東京都千代田区神田佐久間町1丁目26 第七砂川ビル6階

",35.6987605,139.7751485,小林歯科クリニック,歯科,https://byoinnavi.jp/clinic/1366
千代田区,神田小川町２丁目,-,"東京都千代田区神田小川町二丁目12 信愛ビル1F

",35.694953,139.7647438,はる歯科クリニック,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/1903
千代田区,神田多町,-,"東京都千代田区神田多町二丁目7 大橋ビル1階

",35.6937742,139.7690632,神田多町クリニック,"内科, 放射線科",https://byoinnavi.jp/clinic/266368
千代田区,神田小川町１丁目,-,"東京都千代田区神田小川町1丁目4 和田ビル3F

",35.6952653,139.7664659,ジュネス歯科クリニック,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/1892
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台二丁目8 瀬川ビル7F

",35.6992916,139.7642917,医療法人社団あいけい会 お茶の水健康長寿クリニック,内科,https://byoinnavi.jp/clinic/266363
千代田区,神田駿河台４丁目,-,"東京都千代田区神田駿河台四丁目2-5 御茶ノ水NKビル1F

",35.6975462,139.7662063,名倉クリニック,"整形外科, リハビリテーション科",https://byoinnavi.jp/clinic/443
千代田区,神田神保町３丁目,-,"東京都千代田区神田神保町三丁目5 ニュー徳栄ビル8階

",35.6956278,139.7539777,エムズクリニック九段下,"心療内科, 精神科",https://byoinnavi.jp/clinic/63
千代田区,神田錦町３丁目,-,"東京都千代田区神田錦町3丁目19 中沢ビル 1・2F

",35.6914291,139.7598338,医療法人社団有生会 西崎歯科医院,歯科,https://byoinnavi.jp/clinic/18292
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2丁目2 御茶ノ水杏雲ビル1F

",35.698845,139.763501,医療法人社団ニコライ会 杏雲ビル歯科,"歯科, 矯正歯科",https://byoinnavi.jp/clinic/6725
千代田区,神田神保町１丁目,-,"東京都千代田区神田神保町1丁目9 稲垣ビル5階

",35.6957408,139.7584396,加賀山歯科,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/6730
千代田区,神田小川町３丁目,-,"東京都千代田区神田小川町三丁目2 サニービル3F

",35.6948171,139.7626423,臼田歯科医院,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/1898
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1丁目26 SAN-Aビル3階

",35.6944421,139.7703274,内山歯科医院,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/18246
千代田区,一番町,-,"東京都千代田区一番町27 開新堂ビル4階

",35.6863182,139.7429699,医療法人社団藍茜会 小宮山歯科医院,歯科,https://byoinnavi.jp/clinic/18211
千代田区,神田神保町１丁目,-,"東京都千代田区神田神保町1-4 神保町1-4ビル8階

",35.6962219,139.7599969,お茶の水循環器内科,循環器内科,https://byoinnavi.jp/clinic/255911
千代田区,神田錦町３丁目,-,"東京都千代田区神田錦町3-17 北の丸ビル1階

",35.6918439,139.7604053,竹橋クリニック,"内科, 形成外科, 皮膚科",https://byoinnavi.jp/clinic/77582
千代田区,神田錦町３丁目,-,"東京都千代田区神田錦町3丁目16 香村ビル5階

",35.6937428,139.7613047,ライフ千代田クリニック,内科,https://byoinnavi.jp/clinic/178760
千代田区,神田三崎町３丁目,-,"東京都千代田区神田三崎町3丁目4-

",35.7010622,139.7523507,かい歯科医院,"歯科, 矯正歯科",https://byoinnavi.jp/clinic/5851
千代田区,神田松永町,-,"東京都千代田区神田松永町11 AT第一ビル 3～5F

",35.6995616,139.7745402,医療法人社団慶洋会 ケイアイ秋葉原クリニック,"内科, 消化器科, 胃腸科, 循環器科, 放射線科",https://byoinnavi.jp/clinic/1324
千代田区,神田駿河台１丁目,-,"東京都千代田区神田駿河台1丁目8 山口ビル

",35.6981554,139.7626722,御茶の水クリニック,"内科, 心療内科, 精神科, 神経科",https://byoinnavi.jp/clinic/70
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1-7-8 秋葉原シグマビル一階

",35.6961,139.770805,医療法人社団雪月花 雪月花メディカルクリニック 秋葉原中央通診療所,"内科, 循環器科, 皮膚科",https://byoinnavi.jp/clinic/273943
千代田区,神田三崎町２丁目,-,"東京都千代田区三崎町2丁目15-6 K-STAGE

",35.7009038,139.7528898,水道橋眼科クリニック,眼科,https://byoinnavi.jp/clinic/4515
千代田区,神田東松下町,-,"東京都千代田区神田東松下町34

",35.6943276,139.7733356,藤ノ木医院,"内科, 小児科",https://byoinnavi.jp/clinic/1687
千代田区,神田神保町３丁目,-,"東京都千代田区千代田区神田神保町3-17 ヨシダFGビル1F

",35.6947108,139.7552454,高橋歯科医院,歯科,https://byoinnavi.jp/clinic/18230
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1丁目22 大久保ビル1階

",35.6946201,139.7712982,飯田歯科医院,歯科,https://byoinnavi.jp/clinic/18236
千代田区,麹町１丁目,-,"東京都千代田区麹町1丁目7 フェルテ麹町1・7 2F

",35.6832998,139.7437741,医療法人社団恒成会 石塚歯科クリニック,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/3415
