指標名,ギャラリー,,,,,,
出典,Tokyo Art Beat（ギャラリー）,,,,,,
年次,2021/2/08取得,,,,,,
URL,http://www.tokyoartbeat.com/venues/Gallery,,,,,,
備考,（2019年度：520件、2020年度：577件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
中央区,銀座１丁目,-,東京都中央区銀座１－５－１５ドゥーミラン銀座ビル３Ｆ,35.674976,139.767235,サヱグサ画廊,-
中央区,銀座３丁目,-,東京都中央区銀座３－４－１７三徳ビル４Ｆ,35.672998,139.765747,アーティスト・イン,http://www.artistin.jp/
中央区,銀座６丁目,-,東京都中央区銀座６－７－１９空也ビル３Ｆ,35.670852,139.762768,番町画廊,http://www.bancho-gallery.com
中央区,銀座５丁目,-,東京都中央区銀座５－５－１２,35.671094,139.763188,文芸春秋画廊,http://www.bunshun.co.jp/gallery/
中央区,銀座３丁目,-,東京都中央区銀座３－９－７,35.671437,139.767708,キヤノンギャラリー 銀座,http://cweb.canon.jp/gallery/schedule/ginza.html
中央区,銀座５丁目,-,東京都中央区銀座５－４－９,35.671327,139.762832,CHROME HEARTS GINZA,http://www.united-arrows.co.jp/ch/index.html
中央区,銀座８丁目,-,東京都中央区銀座８－４－１７リクルートＧＩＮＺＡ８ビル１Ｆ,35.668605,139.759288,クリエイションギャラリーG8 (G8),http://rcc.recruit.co.jp/g8/index.html
中央区,銀座２丁目,-,東京都中央区銀座２－５－１８銀座白井ビルＢ１Ｆ,35.674079,139.766794,Ｇアートギャラリー,-
中央区,銀座５丁目,-,東京都中央区銀座５－３－１６,35.671902,139.762932,日動画廊,http://www.nichido-garo.co.jp/
中央区,銀座６丁目,-,東京都中央区銀座６－１３－７新保ビル３Ｆ,35.66887,139.764869,ギャルリー志門,http://g-simon.com/
中央区,銀座１丁目,-,東京都中央区銀座１－５－２西勢ビル６Ｆ,35.67505,139.767412,GALERIE・SOL,http://www005.upp.so-net.ne.jp/SOL/
中央区,銀座７丁目,-,東京都中央区銀座７－５－４,35.670224,139.761651,ギャルリーためなが,http://www.tamenaga.com/
中央区,銀座２丁目,-,東京都中央区銀座２－１１－４富善ビル１Ｆ,35.672409,139.769221,ギャルリーヴィヴァン,http://www.g-vivant.com/
中央区,銀座８丁目,-,東京都中央区銀座８－４－２５,35.669405,139.760232,吉井画廊,https://galerie-yoshii.com/
中央区,銀座８丁目,-,東京都中央区銀座８－２－８,35.66951,139.759729,吉井画廊 1,http://www.galerie-yoshii.com/
中央区,銀座６丁目,-,東京都中央区銀座６－１３－４銀座Ｓ２ビル２Ｆ,35.669122,139.765228,ガレリア・グラフィカ,http://www.galleriagrafica.com/jp/index.html
中央区,銀座４丁目,-,東京都中央区銀座４－４－１３琉映ビル４Ｆ,35.672112,139.764762,Gallery 58,http://www.gallery-58.com
中央区,銀座３丁目,-,東京都中央区銀座３－７－２０銀座日本料理会館２Ｆ,35.672279,139.767175,ギャラリー アートもりもと,http://www.artmorimoto.com
中央区,銀座１丁目,-,東京都中央区銀座１－２２－１２藤和銀座一丁目ビル６Ｆ,35.671943,139.770834,GALLERY ART POINT,http://artpoint.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビル５０２号室,35.67374,139.768782,ギャラリーカメリア,http://www.gallerycamellia.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－２３－４明松ビル３０３,35.671923,139.771568,ギャラリー福山,-
中央区,銀座１丁目,-,東京都中央区銀座１－７－５銀座中央通りビル７階,35.674578,139.768161,ギャラリーゴトウ,http://www.gallery-goto.com
中央区,銀座７丁目,-,東京都中央区銀座７－３－１５ぜん屋ビル１Ｆ,35.670466,139.760436,ギャラリー広田美術,http://www.hirota-b.co.jp/
中央区,銀座８丁目,-,東京都中央区銀座８－１２－６小野商ビル５Ｆ,35.667362,139.762885,ギャラリー池田美術,-
中央区,銀座７丁目,-,東京都中央区銀座７－１１－１１長谷川ビル３Ｆ,35.668062,139.763141,十一月画廊,http://juichigatsu-g.com/
中央区,銀座８丁目,-,東京都中央区銀座８－８－１７伊勢萬ビル８Ｆ,35.668323,139.761355,兜屋画廊,http://www.gallery-kabutoya.com/
中央区,銀座３丁目,-,東京都中央区銀座３－８－１２ヤマトビルＢ１Ｆ,35.671475,139.767323,コバヤシ画廊,http://www.gallerykobayashi.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビル３Ｆ,35.67374,139.768782,巷房,http://gallerykobo.web.fc2.com/kobo1.html
中央区,銀座１丁目,-,東京都中央区銀座１－７－５小柳ビル９Ｆ,35.674647,139.768183,ギャラリー小柳,http://www.gallerykoyanagi.com
中央区,銀座４丁目,-,東京都中央区銀座４－１３－３,35.669649,139.768946,Gallery MUMON,https://mumon.artcafe.co.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－１３－４銀座片桐ビルⅢ５Ｆ,35.673818,139.769778,ギャラリー新居 東京,http://www.gallery-nii.com
中央区,銀座４丁目,-,東京都中央区銀座４－４－５,35.672091,139.765014,ギャラリー・オカベ,http://www.galleryokabe.co.jp/
中央区,新富２丁目,-,東京都中央区新富２－２－６,35.671647,139.772616,ギャラリーオリム,http://galleryolym.com/
中央区,銀座１丁目,-,東京都中央区銀座１－１４－１２楠本第１７ビル３Ｆ,35.673092,139.769471,ギャラリーQ,http://www.galleryq.info/
中央区,銀座５丁目,-,東京都中央区銀座５－１４－１６銀座アビタシオン１Ｆ,35.668739,139.767225,靖山画廊,http://art-japan.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビル５０５,35.67374,139.768782,Gallery 松林,https://g-syorin.amebaownd.com/
中央区,銀座７丁目,-,東京都中央区銀座７－２－４松尾ビル２Ｆ,35.670935,139.76069,画廊春秋,-
中央区,銀座６丁目,-,東京都中央区銀座６－５－１１第１５丸源ビル１階,35.670722,139.76164,シルクランド画廊,http://www.silkland.co.jp/
中央区,銀座４丁目,-,東京都中央区銀座４－４－１３琉映ビル５Ｆ,35.672112,139.764762,GALLERY TERASHITA,http://www.gallery-terashita.com
中央区,銀座６丁目,-,東京都中央区銀座６－４－７いらか銀座ビル８Ｆ,35.671162,139.761524,ギャラリー上田,http://gallery-ueda.com/
中央区,銀座７丁目,-,東京都中央区銀座７－３－６ウェスト２Ｆ,35.670422,139.760773,ギャラリーｅシエスタ,-
中央区,銀座８丁目,-,東京都中央区銀座８－２－１１０高速道路ビル,35.670016,139.759389,銀座アートホール,http://ginza-arthall.com/
中央区,銀座２丁目,-,東京都中央区銀座２－５－２,35.674099,139.767159,ギンザギャラリーハウス,http://www.gg-house.com/
中央区,銀座７丁目,-,東京都中央区銀座７－７－２ＤＮＰ銀座ビル１Ｆ,35.669702,139.762484,ギンザ・グラフィック・ギャラリー (ggg),http://www.dnp.co.jp/gallery/ggg/
中央区,銀座１丁目,-,東京都中央区銀座１－８－１７伊勢伊ビル３Ｆ,35.674102,139.768346,銀座一穂堂サロン,http://www.planup.co.jp/
中央区,銀座４丁目,-,東京都中央区銀座４－５－１６銀座四丁目ビル８Ｆ,35.672024,139.765308,銀座美術館,-
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビル３０６号室,35.67374,139.768782,銀座奥野ビル306号室プロジェクト,http://306project.web.fc2.com/
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビルＢ１,35.67374,139.768782,銀座小野画廊・II,-
中央区,銀座２丁目,-,東京都中央区銀座２－２－１８西欧ビル７Ｆ,35.674767,139.765707,銀座西欧ギャラリー,https://www.facebook.com/ginzaseiogallery/
中央区,銀座８丁目,-,東京都中央区銀座８－１５－１０ＤｉａＨｅｉｇｈｔｓ９０４,35.666291,139.763131,Ginza the Edge,-
中央区,銀座７丁目,-,東京都中央区銀座７－３－５ヒューリック銀座７丁目ビルＢ１Ｆ,35.670785,139.760912,ガーディアン・ガーデン,http://rcc.recruit.co.jp/gg/
中央区,銀座１丁目,-,東京都中央区銀座１－７－６銀座河合ビル１Ｆ,35.674488,139.768143,お仏壇のはせがわ 銀座本店,https://corp.hasegawa.jp/shop/ginza/
中央区,銀座６丁目,-,東京都中央区銀座６－７－１６第一岩月ビル３Ｆ,35.670535,139.762532,ヒロ画廊,https://www.hirogallery.com/
中央区,銀座３丁目,-,東京都中央区銀座３－１３－１７辰中ビル３０２石田法律事務所内,35.670541,139.769371,IG Photo Gallery,https://www.igpg.jp/
中央区,銀座６丁目,-,東京都中央区銀座６－７－１８デイム銀座ビル３Ｆ,35.670703,139.762772,ジェイトリップ アートギャラリー,http://www.jtrip-118.com/
中央区,銀座１丁目,-,東京都中央区銀座１－１３－４大和銀座一ビル６Ｆ,35.673749,139.769701,K's Gallery,http://ks-g.main.jp
中央区,銀座１丁目,-,東京都中央区銀座１－４－９第一田村ビル２Ｆ,35.67494,139.766421,風 GALLERY,http://www.kazegallery.com
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビルＢ１Ｆ,35.673711,139.768825,巷房 (2),http://gallerykobo.web.fc2.com/index.html
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビルＢ１Ｆ,35.673711,139.768825,巷房階段下,http://gallerykobo.web.fc2.com/index.html
中央区,銀座３丁目,-,東京都中央区銀座３－５－４ＭＣＭＧＩＮＺＡＨＡＵＳ１６階,35.673405,139.765839,ケーニッヒ・ギャラリー,-
中央区,銀座２丁目,-,東京都中央区銀座２－１６－１２銀座大塚ビルＢ１,35.670882,139.7702,Megumi Ogita Gallery,http://www.megumiogita.com
中央区,銀座１丁目,-,東京都中央区銀座１－２０－１７川崎ブランドデザインビルヂング,35.673068,139.77059,MUSEE GINZA_KawasakiBrandDesign,http://kawasaki-brand-design.com/
中央区,銀座７丁目,-,東京都中央区銀座７－１２－５銀星ビル７Ｆ,35.668181,139.764056,nada art gallery,http://nadaartgallery.com/
中央区,銀座８丁目,-,東京都中央区銀座８－６－２５河北新報ビル５Ｆ,35.669173,139.761026,永井画廊,http://www.nagai-garou.com/
中央区,銀座５丁目,-,東京都中央区銀座５－５－９アベビル３階,35.671073,139.763401,ナカジマアート,http://www.nakajima-art.com/
中央区,銀座３丁目,-,東京都中央区銀座３－５－７マツザワビル４Ｆ,35.67259,139.766067,ノリ ギャラリー,http://www.norigallery.com/
中央区,銀座２丁目,-,東京都中央区銀座２－３－２エイコー銀座ビル３Ｆ,35.674645,139.766386,NUKAGA GALLERY,http://www.nukaga.co.jp
中央区,銀座１丁目,-,東京都中央区銀座１－４－９第一田村ビル３Ｆ,35.67494,139.766421,Oギャラリー,http://www4.big.or.jp/~ogallery/
中央区,銀座７丁目,-,東京都中央区銀座７－１３－２２磯部ビル２Ｆ,35.668223,139.764439,牧神画廊／pboxx (ピーボックス),http://pierota.co.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－７－７ポーラ銀座ビル３Ｆ,35.674304,139.767864,ポーラ ミュージアム アネックス,-
中央区,銀座８丁目,-,東京都中央区銀座８－１２－１３豊川ビル１Ｆ,35.667402,139.762772,クオリアジャンクション,-
中央区,新富１丁目,-,東京都中央区新富１－５－５トーア新富マンション１０２,35.672898,139.773208,Red and Blue Gallery,http://www.redandblue.jp
中央区,銀座５丁目,-,東京都中央区銀座５－７－２三愛ドリームセンター８Ｆ,35.671178,139.764629,リコーイメージングスクエア銀座8F A.W.P ギャラリーゾーン,http://www.ricoh-imaging.co.jp/japan/community/squareginza/
中央区,銀座５丁目,-,東京都中央区銀座５－７－２三愛ドリームセンター９Ｆ,35.671178,139.764629,リコーイメージングスクエア銀座9F フォトスペース,http://www.ricoh-imaging.co.jp/japan/community/squ...
中央区,銀座７丁目,-,東京都中央区銀座７－１２－５銀星ビル５Ｆ,35.668181,139.764056,SH ART PROJECT,http://www.shproject.jp/
中央区,銀座５丁目,-,東京都中央区銀座５－３－１２壹番館ビルディングＢ１Ｆ,35.671564,139.76252,思文閣銀座,https://www.shibunkaku.co.jp/
中央区,銀座７丁目,-,東京都中央区銀座７－１０－８第五太陽ビルＢ１Ｆ,35.668509,139.763072,シロタ画廊,http://www.gaden.jp/shirota.html
中央区,銀座８丁目,-,東京都中央区銀座８－８－３東京銀座資生堂ビルＢ１Ｆ,35.668526,139.761951,資生堂ギャラリー,http://www.shiseido.co.jp/gallery/
中央区,新富１丁目,-,東京都中央区新富１－３－１５京橋プリズムビル２Ｆ,35.673289,139.773185,Sho + 1（ショウプラスワン）,https://shoplusone.com
中央区,銀座１丁目,-,東京都中央区銀座１－５－１５,35.674978,139.767235,祥雲,http://www.shouun.co.jp/ja/main.html
中央区,銀座５丁目,-,東京都中央区銀座５－８－１銀座プレイス６階,35.670882,139.765008,ソニーイメージングギャラリー 銀座,http://www.sony.co.jp/united/imaging/gallery/
中央区,八重洲２丁目,日八京,東京都中央区八重洲２－８－１０松岡八重洲ビル３Ｆ,35.676477,139.768183,T-BOX,http://www.tbox.co.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－２２－１３銀座カーサ１,35.672064,139.770732,TKG Editions,http://www.tomiokoyamagallery.com/TKGE/jpn/frame.html
中央区,銀座７丁目,-,東京都中央区銀座７－３－５ヒューリックＧ７ビル１Ｆ＆Ｂ１Ｆ,35.670785,139.760912,泰明画廊,http://www.taimei-g.com/
中央区,銀座７丁目,-,東京都中央区銀座７－１０－１１日本アニメーションビル１Ｆ,35.668229,139.762842,たけだ美術,http://www.takeda-bijyutu.com/
中央区,銀座６丁目,-,東京都中央区銀座６－１０－１,35.669872,139.76401,THE CLUB,http://theclub.tokyo/
中央区,銀座８丁目,-,東京都中央区銀座８－１０－５,35.667785,139.76236,東京画廊＋BTAP,http://www.tokyo-gallery.com/
中央区,銀座７丁目,-,東京都中央区銀座７－１７－１銀座武蔵野ビル１Ｆ,35.666736,139.766346,un petit Garage,http://yyarts.co.jp/
中央区,銀座８丁目,-,東京都中央区銀座８－１０－７東成ビルＢ２Ｆ,35.667621,139.76214,ヴァニラ画廊,http://www.vanilla-gallery.com
中央区,銀座８丁目,-,東京都中央区銀座８－８－１９,35.66848,139.761574,Wada Fine Arts,http://www.wadafinearts.com/
中央区,銀座３丁目,-,東京都中央区銀座３－５－１６,35.672661,139.765953,和田画廊,http://www.wadagarou.com/
中央区,銀座１丁目,-,東京都中央区銀座１－２３－２　ＧＩＮＺＡ上野ビル１Ｆ,35.672302,139.771707,万画廊,http://www.yawoyorozu.com/
中央区,銀座５丁目,-,東京都中央区銀座５－５－１５,35.671301,139.763377,養清堂画廊,http://www.yoseido.com/index_J.html
中央区,銀座２丁目,-,東京都中央区銀座２－２－１８西欧ビル８Ｆ,35.674767,139.765707,零 8 (ゼロハチ),-
中央区,日本橋小網町,-,東京都中央区日本橋小網町１６－１６,35.684855,139.780475,ArchitectS Office gallery,http://www.rvstone.com/gallery/
中央区,八丁堀２丁目,-,東京都中央区八丁堀２－２２－９宮地ビル２Ｆ,35.676304,139.777219,アート★アイガ,http://www.artaiga.com/
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町４－３－７,35.689386,139.771921,アートギャラリー環,http://www.art-kan.co.jp/mokuji/mokuji.htm
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町３－４－６ニューカワイビル１Ｆ,35.688913,139.774913,アートスペースユーメリア,http://www.artspace-eumeria.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－６－５木邑ビル２Ｆ，Ｂ１Ｆ,35.67534,139.77018,art space kimura ASK?,http://www.kb-net.com/ask
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－３京栄ビル２Ｆ,35.675033,139.76986,アートスペース羅針盤,http://www.rashin.net/
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１－１－６小浦第一ビル１Ｆ,35.68134,139.780185,ベイスギャラリー,http://www.basegallery.com
中央区,日本橋久松町,-,東京都中央区日本橋久松町４－１２コスギビル４Ｆ,35.689996,139.78377,長亭GALLERY,https://www.changting-gallery.com/
中央区,入船１丁目,-,東京都中央区入船１－３－９長﨑ビル９Ｆ,35.6727,139.776351,FUMA Contemporary Tokyo / BUNKYO ART,http://www.bunkyo-art.co.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－３京栄ビル１Ｆ,35.675033,139.76986,ギャルリー東京ユマニテ,https://g-tokyohumanite.com/
中央区,新川１丁目,-,東京都中央区新川１－９－９栗原ビル２Ｆ,35.677244,139.782722,Gallery Archipelago,http://www.archi-pelago.net
中央区,京橋３丁目,日八京,東京都中央区京橋３－３－４森ビルＢ１Ｆ,35.675598,139.768441,ギャラリーセラー,http://www.gallerycellar.jp
中央区,京橋３丁目,日八京,東京都中央区京橋３－９－９ウインド京橋ビル２Ｆ,35.67489,139.770763,ギャラリー檜 B・C,http://hinoki.main.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－９－２宝国ビル４Ｆ,35.674971,139.771138,ギャラリー檜e・F,http://hinoki.main.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－９－７京橋ポイントビル４Ｆ,35.67484,139.770969,ギャラリイK,http://galleryk.la.coocan.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－３－４フジビルＢ１Ｆ,35.675581,139.768525,ギャラリー川船,http://www.kawafune.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－４－２フォーチュンビル１Ｆ,35.675444,139.768023,ギャラリーなつか,http://gnatsuka.com/
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町１－３－１渡辺ビル１Ｆ・Ｂ１Ｆ,35.685628,139.775961,ギャラリー砂翁 & TOMOS B,http://www.saohtomos.com
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町２－１７－１３第二井上ビル２Ｆ,35.678947,139.781009,Gallery Suchi,http://www.gallerysuchi.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－３竹河岸ビル１Ｆ,35.675018,139.769869,ギャラリー手,http://galleryte.exblog.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－３－１０第１下村ビル１Ｆ,35.67552,139.768588,ギャラリー椿 / GT2,http://www.gallery-tsubaki.net/tsubaki.html
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町３－２－１２日本橋小楼２０２,35.6884,139.774172,GALLERY YUKI-SIS,http://yuki-sis.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－４吉井ビルＢ１Ｆ,35.674989,139.769981,Gallery b. Tokyo,http://www.gallery-b-tokyo.com/
中央区,入船２丁目,-,東京都中央区入船２－４－３マスダビル１Ｆ,35.671675,139.77697,ヒノギャラリー,http://www.hinogallery.com
中央区,京橋１丁目,日八京,東京都中央区京橋１－５－５ＫＲＦビルＢ１,35.678607,139.769981,アイランドギャラリー,http://islandgallery.jp/
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町３－２－８,35.688549,139.774403,KAMIYA ART,http://kamiya-art.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－３－２,35.675764,139.768113,加島美術,http://www.kashima-arts.co.jp
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－４吉井ビル３Ｆ,35.675047,139.769982,KEY Gallery,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲２－７－４清水ビル２０２,35.677461,139.768038,木之庄企畫,http://kinoshokikaku.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－６－１８東京建物京橋ビルＬＩＸＩＬ：ＧＩＮＺＡ２Ｆ,35.675351,139.769446,LIXIL ギャラリー 1 & 2,http://www1.lixil.co.jp/gallery/
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町３－３３－７,35.685982,139.790228,マリー ギャラリー,http://mariegallery.com/home_j.html
中央区,日本橋３丁目,日八京,東京都中央区日本橋３－２－９三晶ビルＢ１Ｆ,35.68028,139.771983,MASATAKA CONTEMPORARY,http://www.masataka-contemporary.com/
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町１－４－１,35.685633,139.77343,MITSUKOSHI CONTEMPORARY GALLERY（三越コンテンポラリーギャラリー）,https://www.mitsukoshi.mistore.jp/nihombashi/shops...
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町１－４－１,35.685633,139.77343,日本橋三越本店 - 新館7階ギャラリー,http://mitsukoshi.mistore.jp/store/nihombashi/event/
中央区,八丁堀４丁目,-,東京都中央区八丁堀４－３－３Ｂ１Ｆ,35.674307,139.776247,nca | nichido contemporary art (NCA),http://www.nca-g.com
中央区,新川２丁目,-,東京都中央区新川２－７－１オリエンタルビルＢ１Ｆ,35.676271,139.780674,七針,http://www.ftftftf.com
中央区,京橋３丁目,日八京,東京都中央区京橋３－６－５,35.675325,139.770182,南天子画廊,http://www.nantenshi.com/
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－４－１,35.680759,139.773512,日本橋髙島屋 6F / 美術画廊X,http://www.takashimaya.co.jp/tokyo/event3/index.html
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町２－２－９ＡＳビル１Ｆ,35.688223,139.781053,人形町Vision's (Vision's),http://www.visions.jp/
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－１０－８日本橋日光ビル９Ｆ,35.680912,139.774748,西村画廊,http://www.nishimura-gallery.com
中央区,京橋３丁目,日八京,東京都中央区京橋３－６－１５第二吉井ビル２Ｆ,35.675047,139.769982,小野画廊 - 京橋,-
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町２－１７－１３第２イノウエビル３Ｆ・４Ｆ,35.678924,139.781004,レクトヴァーソギャラリー / ギャラリースペースファクトリー,http://www.recto.co.jp/verso/
中央区,日本橋兜町,-,東京都中央区日本橋兜町９－７ＳＰＣビル３Ｆ,35.681325,139.777611,SPC GALLERY,http://www.spc.ne.jp/
中央区,日本橋３丁目,日八京,東京都中央区日本橋３－２－９三晶ビルＢ１Ｆ,35.68028,139.771983,Sansiao Gallery,http://sansiao-gallery.com/
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町３－２－１２新みやこビル５０１,35.688407,139.774164,SATOSHI KOYAMA GALLERY,-
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－４吉井ビル３Ｆ,35.675047,139.769982,青樺画廊,-
