指標名,銀行・ATM,,,,,
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 有楽町マリオン1階 三井住友銀行有楽町出張所内,35.67357,139.763565,PRESTIA EXCHANGE 有楽町マリオン外貨両替コーナー
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-7-1,35.674209,139.7636595,セブンイレブン 有楽町イトシア店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-8-2,35.674245,139.7627055,セブンイレブン 有楽町駅前店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2丁目10-1,35.674929,139.764366,セブン銀行 東京交通会館ビル 共同出張所
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2丁目7-1,35.674209,139.7636595,セブン銀行 有楽町イトシア 共同出張所
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2丁目8-4,35.67438,139.762944,ファミリーマート有楽町駅前 共同出張所(イーネットATM)
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1東京交通会館2階,35.674929,139.764366,外貨両替ワールドカレンシーショップ (三菱UFJフィナンシャル・グループ) 有楽町店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1,35.674929,139.764366,東京交通会館内郵便局
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目1-2,35.673552,139.7590335,セブンイレブン 東京ミッドタウン日比谷ラウンジ店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目1-4,35.673552,139.7589345,セブンイレブン 東京ミッドタウン日比谷店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-6-3,35.673903,139.7606265,セブンイレブン 日比谷駅前店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-12-1,35.675568,139.7619405,セブン銀行 新有楽町ビル 共同出張所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-1先,35.67456,139.759506,セブン銀行 東京メトロ 千代田線 日比谷駅 共同出張所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目5-1先,35.67456,139.759506,セブン銀行 東京メトロ 日比谷線 日比谷駅 共同出張所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1,35.675451,139.7629215,セブン銀行 東京メトロ 有楽町線 有楽町駅 共同出張所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-2,35.673066,139.7599245,セブン銀行 日比谷シャンテ 共同出張所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目2-5,35.673201,139.7604915,ファミリーマート日比谷シャンテ前 共同出張所(イーネットATM)
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1 1階(地下鉄有楽町駅D4出口側),35.675451,139.7629215,ゆうちょ銀行 本店 ビックカメラ有楽町店内出張所(ATM)
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 1階ATMコーナー,35.673552,139.7590335,ゆうちょ銀行 本店 東京ミッドタウン日比谷内出張所(ATM)
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-10-1 1階,35.674965,139.7616255,ゆうちょ銀行 本店 有楽町ビルヂング内出張所(ATM)
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1 有楽町駅地下1階,35.675451,139.7629215,ゆうちょ銀行 本店 有楽町線有楽町駅内出張所(ATM)
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目5-1,35.67456,139.759506,ゆうちょ銀行本店千代田線日比谷駅内出張所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-10-1 有楽町ビル内,35.674965,139.7616255,りそな銀行 有楽町出張所 無人ATM
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-13-1,35.675802,139.760982,第一生命館内郵便局
新宿区,矢来町,-,東京都新宿区矢来町131ー1,35.704278,139.7326185,セブンイレブン 新宿神楽坂駅西店
新宿区,矢来町,-,東京都新宿区矢来町124-6,35.704395,139.733415,ファミリーマート新宿神楽坂駅前 共同出張所(イーネットATM)
新宿区,矢来町,-,東京都新宿区矢来町81-2,35.701416,139.7329065,ファミリーマート新宿矢来町 共同出張所(イーネットATM)
中央区,明石町,-,東京都中央区明石町9-1,35.667369,139.7771235,セブンイレブン KOYO聖路加国際病院店
中央区,明石町,-,東京都中央区明石町8-1,35.667,139.7786445,セブンイレブン 聖路加タワー店
中央区,明石町,-,東京都中央区明石町2-1,35.669331,139.777353,セブンイレブン 中央区明石町店
中央区,明石町,-,東京都中央区明石町5-13,35.668179,139.777776,ファミリーマート築地明石町 共同出張所(イーネットATM)
中央区,明石町,-,東京都中央区明石町3-3,35.66907,139.7784825,ファミリーマート中央明石町 共同出張所(イーネットATM)
中央区,明石町,-,東京都中央区明石町8-1,35.667,139.7786445,ゆうちょ銀行 本店 ファミリーマート聖路加ガーデン店内出張所(ATM)
中央区,明石町,-,東京都中央区明石町8-1,35.667,139.7786445,聖路加ガーデン内郵便局
中央区,湊３丁目,-,東京都中央区湊3-6-9,35.66997,139.778379,中ノ郷信用組合京橋支店
中央区,湊２丁目,-,東京都中央区湊2丁目15-14,35.671275,139.7806875,デリド湊 共同出張所(イーネットATM)
中央区,湊２丁目,-,東京都中央区湊2丁目5-4,35.670942,139.7791755,ファミリーマート湊二丁目 共同出張所(イーネットATM)
中央区,湊２丁目,-,東京都中央区湊2-7-4,35.671482,139.779108,中央湊郵便局
中央区,湊１丁目,-,東京都中央区湊1丁目12,35.671968,139.780692,セブンイレブン 中央区湊1丁目店
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-9-8,35.659818,139.7424735,セブンイレブン 港区飯倉店
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-7-3,35.661006,139.7430225,麻布郵便局
港区,麻布十番４丁目,-,東京都港区麻布十番4丁目1-9,35.655003,139.737303,さわやか信用金庫麻布支店
港区,麻布十番４丁目,-,東京都港区麻布十番4-1-8,35.654922,139.737312,セブンイレブン 港区一の橋店
港区,麻布十番３丁目,-,東京都港区麻布十番3-1-2,35.653653,139.7364975,きらぼし銀行 麻布支店
港区,麻布十番３丁目,-,東京都港区麻布十番3-5-7,35.653149,139.7358315,セブンイレブン 港区麻布十番3丁目店
港区,麻布十番３丁目,-,東京都港区麻布十番3丁目10-13,35.652789,139.734441,ゆうちょ銀行 本店 ファミリーマート麻布十番店内出張所(ATM)
港区,麻布十番２丁目,-,東京都港区麻布十番2-5-2 JMNビル3F・フジクリプト内,35.656371,139.733577,ROPPONGI EXCHANGE@AZABU-JUBAN(六本木エクスチェンジ@麻布十番)
港区,麻布十番２丁目,-,東京都港区麻布十番2丁目14-3,35.654895,139.735602,さわやか信用金庫麻布支店麻布十番出張所
港区,麻布十番２丁目,-,東京都港区麻布十番2-3-10,35.655498,139.7351025,セブンイレブン 港区麻布十番2丁目店
港区,麻布十番２丁目,-,東京都港区麻布十番2-20-7,35.654832,139.736691,セブンイレブン 麻布十番駅前店
港区,麻布十番２丁目,-,東京都港区麻布十番4丁目4-9先,35.654022,139.7369025,セブン銀行 東京メトロ 南北線 麻布十番駅 共同出張所
港区,麻布十番２丁目,-,東京都港区麻布十番2丁目2-4,35.655408,139.7357775,ゆうちょ銀行 本店 ファミリーマート麻布十番商店街通り店内出張所(ATM)
港区,麻布十番２丁目,-,東京都港区麻布十番2-8-6,35.655597,139.7347695,三井住友銀行麻布十番支店
港区,麻布十番２丁目,-,東京都港区麻布十番2-3-5,35.655606,139.7353545,麻布十番郵便局
港区,麻布十番１丁目,-,東京都港区麻布十番1-5-23,35.656749,139.73373,セブンイレブン 港区麻布十番1丁目店
港区,麻布十番１丁目,-,東京都港区麻布十番1丁目4-6,35.657001,139.735143,セブン銀行 都営地下鉄 大江戸線 麻布十番駅 共同出張所
港区,麻布十番１丁目,-,東京都港区麻布十番1丁目2-10,35.656677,139.736349,ファミリーマート一の橋 共同出張所(イーネットATM)
港区,麻布十番１丁目,-,東京都港区麻布十番1丁目7-1,35.656632,139.734504,ファミリーマート麻布十番一丁目 共同出張所(イーネットATM)
港区,麻布十番１丁目,-,東京都港区麻布十番1-11-8,35.655633,139.736763,りそな銀行 麻布支店
港区,麻布十番１丁目,-,東京都港区麻布十番1丁目10-3,35.656236,139.736448,三菱UFJ銀行麻布支店
渋谷区,本町６丁目,-,東京都渋谷区本町6丁目36-5,35.680347,139.67667,西武信用金庫幡ヶ谷支店
渋谷区,本町５丁目,-,東京都渋谷区本町5丁目39-2,35.681814,139.6753875,miniピアゴ渋谷本町5丁目 共同出張所(イーネットATM)
渋谷区,本町５丁目,-,東京都渋谷区本町5-44-7,35.682858,139.6742085,セブンイレブン 渋谷本町店
渋谷区,本町５丁目,-,東京都渋谷区本町5-43-4,35.683326,139.6753785,渋谷本町五郵便局
渋谷区,本町４丁目,-,東京都渋谷区本町4-19-4,35.688213,139.679712,セブンイレブン 渋谷本町4丁目店
渋谷区,本町４丁目,-,東京都渋谷区本町4丁目45-2,35.685576,139.677633,ファミリーマート幡ヶ谷本町 共同出張所(イーネットATM)
渋谷区,本町４丁目,-,東京都渋谷区本町4-18-1,35.688447,139.6805085,全東栄信用組合 渋谷本町支店
渋谷区,本町３丁目,-,東京都渋谷区本町3丁目52-6,35.686728,139.684077,miniピアゴ渋谷本町3丁目 共同出張所(イーネットATM)
渋谷区,本町３丁目,-,東京都渋谷区本町3丁目43-3,35.688357,139.682322,さわやか信用金庫新宿西支店
渋谷区,本町３丁目,-,東京都渋谷区本町3-1-1,35.686665,139.685031,セブンイレブン 渋谷本町3丁目店
渋谷区,本町３丁目,-,東京都渋谷区本町3-41-11,35.688276,139.680801,ゆうちょ銀行 本店 ファミリーマート渋谷本町三丁目店内出張所(ATM)
渋谷区,本町２丁目,-,東京都渋谷区本町2ー12ー3,35.683191,139.6814895,セブンイレブン 渋谷本町2丁目店
渋谷区,本町２丁目,-,東京都渋谷区本町2丁目2-2,35.683803,139.6849275,ファミリーマート渋谷本町 共同出張所(イーネットATM)
渋谷区,本町２丁目,-,東京都渋谷区本町2-3-14,35.684091,139.6845045,渋谷本町二郵便局
渋谷区,本町２丁目,-,東京都渋谷区本町2丁目5-2,35.683236,139.6838925,東日本銀行初台支店
渋谷区,本町１丁目,-,東京都渋谷区本町1-53-11,35.682849,139.684365,セブンイレブン 渋谷オペラ通り店
渋谷区,本町１丁目,-,東京都渋谷区本町1-10-1,35.680122,139.683852,セブンイレブン 渋谷本町1丁目店
渋谷区,本町１丁目,-,東京都渋谷区本町1丁目16-3,35.678997,139.681305,ファミリーマート渋谷本町一丁目 共同出張所(イーネットATM)
渋谷区,本町１丁目,-,東京都渋谷区本町1丁目4-15,35.681508,139.6854135,ファミリーマート初台駅北口 共同出張所(イーネットATM)
新宿区,本塩町,-,東京都新宿区四谷本塩町15-12,35.690877,139.730175,ポプラドンチッチ市ヶ谷 共同出張所(イーネットATM)
港区,北青山３丁目,-,東京都港区北青山3-11-7 Ao 1F・8F・9F,35.663814,139.7106495,SMBC信託銀行 青山支店
港区,北青山３丁目,-,東京都港区北青山3-8-9,35.664903,139.710339,セブンイレブン 港区北青山3丁目店
港区,北青山３丁目,-,東京都港区北青山3-2-5,35.668899,139.7153835,セブンイレブン 北青山青山通り店
港区,北青山３丁目,-,東京都港区北青山3丁目6-12,35.665092,139.711851,セブン銀行 東京メトロ 千代田線 表参道駅 共同出張所
港区,北青山３丁目,-,東京都港区北青山3丁目5-5,35.667405,139.714164,ファミリーマート北青山三丁目 共同出張所(イーネットATM)
港区,北青山３丁目,-,東京都港区北青山3丁目2-4,35.669043,139.715415,みずほ銀行外苑前支店
港区,北青山３丁目,-,東京都港区北青山3丁目6-12,35.665092,139.711851,みずほ銀行青山支店
港区,北青山３丁目,-,東京都港区北青山3-6-12,35.665092,139.711851,りそな銀行 東京メトロ表参道駅出張所 無人ATM
港区,北青山３丁目,-,東京都港区北青山3丁目6-1,35.665677,139.710591,三菱UFJ銀行原宿支店
港区,北青山３丁目,-,東京都港区北青山3丁目6-1,35.665677,139.710591,三菱UFJ銀行青山支店
港区,北青山３丁目,-,東京都港区北青山3丁目6-1,35.665677,139.710591,三菱UFJ銀行表参道支店
港区,北青山３丁目,-,東京都港区北青山3丁目2-5,35.668899,139.7153835,東日本銀行青山支店
港区,北青山２丁目,-,東京都港区北青山2-7-19,35.670573,139.717035,セブンイレブン 外苑前駅前店
港区,北青山２丁目,-,東京都港区北青山2丁目5-8,35.671095,139.7186685,ファミリーマートメトロ外苑前 共同出張所(イーネットATM)
港区,北青山２丁目,-,東京都港区北青山2丁目5-1,35.671473,139.7192985,ファミリーマート伊藤忠ビル 共同出張所(イーネットATM)
港区,北青山２丁目,-,東京都港区北青山2丁目12-13,35.670681,139.7165805,ファミリーマート北青山二丁目 共同出張所(イーネットATM)
港区,北青山２丁目,-,東京都港区北青山2丁目7番26号 メゾン青山1F,35.671437,139.717287,ゆうちょ銀行 本店 ファミリーマート神宮スタジアム通り店内出張所(ATM)
港区,北青山２丁目,-,東京都港区北青山2-13-5 青山サンクレストビル 1F ヴィルマルシェ青山店,35.670015,139.7160225,三井住友銀行 ヴィルマルシェ青山店出張所
港区,北青山２丁目,-,東京都港区北青山2-12-14,35.670546,139.7165715,城南信用金庫 青山支店
港区,北青山２丁目,-,東京都港区北青山2-12-32,35.670078,139.714731,大東京信用組合 青山支店
港区,北青山１丁目,-,東京都港区北青山1丁目4-1,35.672418,139.721967,ファミリーマート北青山一丁目 共同出張所(イーネットATM)
港区,北青山１丁目,-,東京都港区北青山1丁目2-3,35.672976,139.7231415,ゆうちょ銀行 本店 ファミマ青山ビル店内出張所(ATM)
港区,北青山１丁目,-,東京都港区北青山1丁目2-3,35.672976,139.7231415,ゆうちょ銀行 本店 ファミリーマート青山ビル店内出張所(ATM)
新宿区,北新宿４丁目,-,東京都新宿区北新宿4-3-13,35.706537,139.6941615,ゆうちょ銀行 本店 ファミリーマート小滝橋通り店内出張所(ATM)
新宿区,北新宿３丁目,-,東京都新宿区北新宿3丁目1-4,35.702082,139.6944945,ゆうちょ銀行 本店 ファミリーマート北新宿大久保通り店内出張所(ATM)
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-9-6,35.701947,139.6922175,北新宿三郵便局
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-12-17,35.701794,139.6943865,セブンイレブン 北新宿1丁目大久保通り店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-2-6,35.697996,139.6963035,セブンイレブン 北新宿1丁目店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1丁目35-3,35.69724,139.691898,ファミリーマート新宿税務署通り 共同出張所(イーネットATM)
新宿区,北新宿１丁目,-,東京都新宿区北新宿1丁目1-17,35.698455,139.69701,ファミリーマート北新宿 共同出張所(イーネットATM)
新宿区,北新宿１丁目,-,東京都新宿区北新宿1丁目1-19,35.698275,139.6970235,三菱UFJ銀行大久保支店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1丁目8-18,35.701686,139.6950255,城北信用金庫北新宿支店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1丁目8-1,35.700813,139.695462,西武信用金庫北新宿支店
新宿区,北山伏町,-,東京都新宿区北山伏町1-5,35.699472,139.731084,牛込郵便局 ゆうちょ銀行 牛込店
中央区,豊海町,-,東京都中央区豊海町5-1,35.653527,139.7697345,ファミリーマート豊海町 共同出張所(イーネットATM)
中央区,豊海町,-,東京都中央区豊海町5-1,35.653527,139.7697345,中央豊海郵便局
新宿区,弁天町,-,東京都新宿区弁天町21,35.704575,139.726665,ファミリーマート新宿弁天町 共同出張所(イーネットATM)
千代田区,平河町２丁目,-,東京都千代田区平河町2-7-2,35.679105,139.740246,セブンイレブン 千代田平河町2丁目店
千代田区,平河町２丁目,-,東京都千代田区平河町2丁目6-3,35.679168,139.738959,ファミリーマート都道府県会館 共同出張所(イーネットATM)
千代田区,平河町２丁目,-,東京都千代田区平河町2-6-3,35.679168,139.738959,都道府県会館内郵便局
千代田区,平河町１丁目,-,東京都千代田区平河町1-8-3,35.682723,139.741596,セブンイレブン 千代田平河町1丁目店
千代田区,富士見２丁目,-,東京都千代田区富士見2-4-6,35.699787,139.746177,セブンイレブン 千代田大神宮通り店
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目17-1,35.696277,139.741488,セブンイレブン 法政大学市ヶ谷キャンパス店
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目7-2,35.701047,139.744989,ファミリーマート飯田橋プラーノ1号機 共同出張所(イーネットATM)
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目7-2,35.701047,139.744989,ファミリーマート飯田橋プラーノ2号機 共同出張所(イーネットATM)
千代田区,富士見２丁目,-,東京都千代田区富士見2-14-23 1階コンビニエンスストア隣,35.696925,139.742379,ゆうちょ銀行 本店 東京逓信病院内出張所(ATM)
千代田区,富士見２丁目,-,東京都千代田区富士見2-17-1 1階,35.696277,139.741488,ゆうちょ銀行 本店 法政大学市ケ谷校舎内出張所(ATM)
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1 プラウドタワー 1F,35.700624,139.7449935,東京スター銀行ATM 三徳 飯田橋店
千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2,35.698914,139.743828,飯田橋郵便局
千代田区,富士見１丁目,-,東京都千代田区富士見1-3-3,35.69796,139.746492,セブンイレブン 千代田富士見1丁目店
千代田区,富士見１丁目,-,東京都千代田区富士見1-3-11,35.698356,139.746555,株式会社東日本銀行 飯田橋支店
新宿区,富久町,-,東京都新宿区富久町17番2号,35.692389,139.713291,セブンイレブン 新宿富久町店
新宿区,富久町,-,東京都新宿区富久町17-2,35.692389,139.713291,セブン銀行 イトーヨーカドー 食品館新宿富久店 共同出張所
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-9-18,35.665011,139.686921,セブンイレブン 渋谷富ヶ谷2丁目店
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-18-22,35.663283,139.685283,渋谷富ケ谷二郵便局
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1丁目19-4,35.665866,139.6920735,セブンイレブン 渋谷代々木公園店
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-51-2,35.668809,139.6893465,三井住友銀行 代々木八幡出張所(ATM)
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-9-17,35.668098,139.6905345,渋谷富ケ谷一郵便局
港区,浜松町２丁目,-,東京都港区浜松町2-13-5,35.653293,139.754835,セブンイレブン 浜松町2丁目店
港区,浜松町２丁目,-,東京都港区浜松町2丁目3-4,35.656497,139.7559915,セブン銀行 都営地下鉄 大江戸線 大門駅 共同出張所
港区,浜松町２丁目,-,東京都港区浜松町2丁目4-12,35.65548,139.756734,セブン銀行 東京モノレール 浜松町駅 共同出張所
港区,浜松町２丁目,-,東京都港区浜松町2丁目1-17,35.656146,139.754916,ファミリーマート浜松町二丁目 共同出張所(イーネットATM)
港区,浜松町２丁目,-,東京都港区浜松町2丁目4-1,35.655606,139.7561535,みずほ銀行浜松町支店
港区,浜松町２丁目,-,東京都港区浜松町2丁目4-1,35.655606,139.7561535,ゆうちょ銀行 本店 ファミリーマート世界貿易センター店内出張所(ATM)
港区,浜松町２丁目,-,東京都港区浜松町2丁目9番3号,35.654013,139.7563875,ゆうちょ銀行 本店 ファミリーマート浜松町駅南店内出張所(ATM)
港区,浜松町２丁目,-,東京都港区浜松町2-3-1,35.655624,139.7555775,三井住友銀行浜松町支店
港区,浜松町２丁目,-,東京都港区浜松町2-4-1,35.655606,139.7561535,世界貿易センター内郵便局
