指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2020/2/20取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-3-13 東京建物日本橋ビル2階,35.683047,139.7732715,コングレスクエア日本橋,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=45
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-3,35.671401,139.755438,日比谷公会堂,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=12
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671941,139.7546415,千代田区立日比谷図書文化館 日比谷コンベンションホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=17
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1-1,35.670942,139.752729,イイノホール&カンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=6
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.672256,139.7583495,帝国ホテル東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=18
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-7新大宗ビル1号館,35.658126,139.6971945,フォーラム・エイト,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=160
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-12-2渋谷マークシティ内,35.658603,139.699638,渋谷エクセルホテル東急,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=171
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-1-19,35.666046,139.760406,ヤクルトホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=14
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-6-3,35.664255,139.7605815,ロイヤルパークホテル ザ 汐留,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=25
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1,35.663013,139.7612925,コンラッド東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=21
中央区,築地５丁目,-,東京都中央区築地5-3-2 朝日新聞東京本社新館2階,35.664183,139.7665755,浜離宮朝日ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=15
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-6-1 朝日生命大手町ビル 5.6階,35.684505,139.768785,フクラシア 東京ステーション,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=250
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-6-1朝日生命大手町ビル24・27階,35.684505,139.768785,大手町サンスカイルーム,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=31
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-3-2,35.688636,139.763538,経団連会館カンファレンス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=26
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-3-7,35.688762,139.7622915,日経ホール＆カンファレンスルーム,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=43
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-4-1,35.690337,139.760496,KKRホテル東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=42
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-7-2,35.68698,139.765491,大手町サンケイプラザ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=29
新宿区,大久保３丁目,-,東京都新宿区大久保3-8-2住友不動産新宿ガーデンタワーB2・1F,35.708967,139.703211,ベルサール高田馬場,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=234
港区,台場２丁目,-,東京都港区台場2-3-2台場フロンティアビル2F,35.628624,139.7778345,台場フロンティアビル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=103
港区,台場２丁目,-,東京都港区台場2-6-1,35.625051,139.7718,グランドニッコー東京 台場,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=107
港区,台場１丁目,-,東京都港区台場1-9-1,35.626167,139.7707155,ヒルトン東京お台場,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=109
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-25-3あいおいニッセイ同和新宿ビル,35.684631,139.692321,あいおいニッセイ同和損保新宿ビル 新宿ホール・会議室,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=180
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-12-10全労済会館,35.686998,139.6973565,全労済ホール/スペース・ゼロ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=181
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-3-1,35.687079,139.698783,ホテルサンルートプラザ新宿,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=190
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-25-2,35.681004,139.7049885,SYDホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=184
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷1-17-1,35.679735,139.712562,東京体育館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=164
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-1東京ミッドタウン,35.666145,139.7312325,ザ・リッツ・カールトン東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=70
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-2,35.665164,139.7312865,東京ミッドタウン ホール& カンファレンス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=47
港区,赤坂７丁目,赤坂,東京都港区赤坂7-2-21,35.674083,139.7293155,草月ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=62
港区,赤坂２丁目,赤坂,東京都港区赤坂２丁目14-27 国際新赤坂ビル 東館 13F/14F （事務所：14F）,35.672382,139.737231,TKP赤坂駅カンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=241
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-12-33,35.668188,139.7408805,ANAインターコンチネンタルホテル東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=68
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-8-1 赤坂インターシティAIR 3F/4F,35.670051,139.742703,赤坂インターシティコンファレンス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=239
新宿区,西新宿８丁目,-,東京都新宿区西新宿8-17-3住友不動産新宿グランドタワー,35.696376,139.69098,ベルサール新宿グランド,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=175
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-13-1 住友不動産新宿セントラルパークビル1Ｆ,35.692884,139.688685,ベルサール新宿セントラルパーク,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=237
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-6-2,35.693019,139.6908495,ヒルトン東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=187
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-2-9,35.686908,139.693212,新宿ワシントンホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=191
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-7-12,35.685495,139.6906965,パークハイアット東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=189
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-7-1新宿パークタワー3階,35.685504,139.6907685,パークタワーホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=182
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-2-1,35.690085,139.694211,京王プラザホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=186
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-4-1新宿NSビル,35.688051,139.6934415,新宿NSビル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=172
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-6-1新宿住友ビル,35.691129,139.692735,新宿住友ホール・スカイルーム,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=178
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-7-2,35.690787,139.691529,ハイアットリージェンシー東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=188
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-8-1庁第一本庁舎南搭45階展望室内,35.6895,139.691682,東京都庁南展望室 TOKYO CAFE202,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=185
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-26-2新宿野村ビル48階,35.69301,139.6953495,野村コンファレンスプラザ新宿,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=179
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-6-1新宿エルタワー1・30階,35.692119,139.697316,新宿エルタワーサンスカイルーム,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=177
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-9-1明治安田生命新宿ビルB1F,35.690823,139.697919,新宿明治安田生命ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=183
中央区,晴海５丁目,-,東京都中央区晴海5-7-1,35.646948,139.7733255,晴海客船ターミナル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=106
中央区,晴海４丁目,-,東京都中央区晴海4-7-28,35.652951,139.7791215,ホテルマリナーズコート東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=110
中央区,晴海３丁目,-,東京都中央区晴海3-8-1,35.654679,139.7795895,晴海グランドホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=112
渋谷区,神南２丁目,-,東京都渋谷区神南2-1-1,35.667279,139.699746,国立代々木競技場 第一体育館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=166
渋谷区,神南２丁目,-,東京都渋谷区神南2-1-1,35.667279,139.699746,国立代々木競技場 第二体育館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=167
千代田区,神田練塀町,-,東京都千代田区神田練塀町3富士ソフトビル,35.700372,139.7740635,富士ソフト アキバプラザ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=84
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-25 JR神田万世橋ビル3階・4階,35.696682,139.770117,ステーションコンファレンス万世橋,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=92
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-6 御茶ノ水ソラシティ1F,35.698671,139.7664315,ソラシティカンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=91
千代田区,神田駿河台３丁目,-,東京都千代田区神田駿河台3-6,35.697015,139.765833,全電通労働会館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=83
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-22 テラススクエア3F （事務所：3F）,35.69337,139.760469,TKP Garden City Premium神保町,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=242
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-31,35.664435,139.7039715,TRUNK(HOTEL),https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=244
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-53-67,35.663238,139.708116,東京ウィメンズプラザ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=158
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-53-70,35.662356,139.7082645,国連大学本部ビル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=156
新宿区,新宿６丁目,-,東京都新宿区新宿6-14-1,35.695368,139.7093715,新宿文化センター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=176
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-18-1,35.668881,139.755465,航空会館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=10
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-2-6,35.668728,139.7573595,第一ホテル東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=23
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.659107,139.7096685,アイビーホール(青学会館),https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=157
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1渋谷ヒカリエ9階,35.659116,139.7039265,ヒカリエホール・カンファレンス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=155
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-17-3渋谷東宝ビル,35.66133,139.7034405,TKP渋谷カンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=161
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-9-8朝日生命宮益坂ビル4・5階,35.660196,139.704597,渋谷サンスカイルーム,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=159
港区,芝公園４丁目,-,東京都港区芝公園4-8-1,35.655336,139.7470185,ザ・プリンスパークタワー東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=146
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3-1,35.6589,139.7479725,東京プリンスホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=147
港区,芝公園２丁目,-,東京都港区芝公園2-5-20,35.655255,139.7513475,メルパルク東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=137
港区,芝公園１丁目,-,東京都港区芝公園1-5-10,35.658837,139.7522925,芝パークホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=150
港区,芝浦３丁目,-,東京都港区芝浦3-16-18,35.641845,139.749174,ホテルJALシティ田町・東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=148
港区,芝５丁目,-,東京都港区芝5-26-20,35.647416,139.746141,建築会館ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=140
港区,芝４丁目,-,東京都港区芝4-1-23三田NNビル地下1階,35.648901,139.7494215,三田NNホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=141
港区,芝２丁目,-,東京都港区芝2-5-2,35.652726,139.7510955,東京グランドホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=153
新宿区,市谷本村町,-,東京都新宿区市谷本村町4-1,35.692047,139.7333565,ホテル グランドヒル市ヶ谷,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=78
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1,35.694117,139.736214,ルーテル市ケ谷センター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=82
港区,三田３丁目,-,東京都港区三田3-12-12,35.642565,139.742856,笹川記念館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=138
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1,35.656353,139.699593,セルリアンタワー東急ホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=169
千代田区,麹町６丁目,-,東京都千代田区麹町6-6,35.685711,139.7317455,スクワール麹町,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=54
千代田区,麹町５丁目,-,東京都千代田区麹町5-1,35.68365,139.734729,弘済会館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=55
港区,高輪４丁目,-,東京都港区高輪4-10-30,35.627625,139.7367045,エプソン アクアパーク品川,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=127
港区,高輪４丁目,-,東京都港区高輪4-10-30,35.627625,139.7367045,品川プリンスホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=130
港区,高輪３丁目,-,東京都港区高輪3-13-3(SHINAGAWA GOOS1F),35.629776,139.735908,TKPガーデンシティ品川,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=115
港区,高輪３丁目,-,東京都港区高輪3-13-1,35.630127,139.7335365,グランドプリンスホテル新高輪,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=128
港区,高輪３丁目,-,東京都港区高輪3-13-1,35.630127,139.7335365,グランドプリンスホテル高輪,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=129
港区,高輪３丁目,-,東京都港区高輪3-13-1,35.630127,139.7335365,ザ・プリンス さくらタワー東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=131
港区,港南２丁目,-,東京都港区港南2-15-2品川インターシティホール棟地下1階(インターシティ管理事務所),35.626815,139.7419155,品川インターシティ 貸会議室,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=120
港区,港南２丁目,-,東京都港区港南2-15-4,35.626527,139.7420775,品川インターシティホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=119
港区,港南２丁目,-,東京都港区港南2-16-1品川イーストワンタワー,35.627886,139.740705,ストリングスホテル東京インターコンチネンタル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=136
港区,港南２丁目,-,東京都港区港南2-16-4品川グランドセントラルタワー3F,35.626599,139.740633,ザ・グランドホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=122
港区,港南１丁目,-,"東京都港区港南1-6-41 品川クリスタルスクエア2,3F",35.631297,139.745583,フクラシア 品川クリスタルスクエア,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=248
港区,港南１丁目,-,東京都港区港南1-8-35,35.630055,139.743315,コクヨホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=121
港区,港南１丁目,-,東京都港区港南1-9-36アレア品川3F～5F,35.629938,139.7411145,東京コンファレンスセンター・品川,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=118
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-10-4,35.667036,139.7454525,ホテルオークラ東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=67
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-9-16,35.668035,139.7459565,ニッショーホール(日本消防会館),https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=57
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-23-3 虎ノ門ヒルズ森タワー５階,35.666892,139.7493765,虎ノ門ヒルズフォーラム,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=73
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-23-4,35.666883,139.7493945,アンダーズ 東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=74
新宿区,戸塚町,-,東京都新宿区戸塚町1-104-19,35.710488,139.7224305,リーガロイヤルホテル東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=201
港区,元赤坂２丁目,-,東京都港区元赤坂2-2-23,35.678088,139.722057,明治記念館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=168
千代田区,九段北４丁目,-,東京都千代田区九段北4-2-25,35.691939,139.737609,アルカディア市ヶ谷(私学会館),https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=80
千代田区,九段南１丁目,-,東京都千代田区猿楽町2-5-5,35.69393006,139.7537114,YMCAアジア青少年センター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=86
中央区,銀座８丁目,-,東京都中央区銀座8-21-1 住友不動産汐留浜離宮ビルB1・1F・2F,35.66421,139.7639475,ベルサール汐留,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=9
中央区,銀座６丁目,-,東京都中央区銀座6-14-10,35.668449,139.7648475,コートヤード・マリオット銀座東武ホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=24
中央区,銀座５丁目,-,東京都中央区銀座5-15-8,35.66808,139.7673225,時事通信ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=16
中央区,銀座３丁目,-,東京都中央区銀座3-9-11,35.671221,139.7675385,銀座フェニックスプラザ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=11
中央区,銀座２丁目,-,東京都中央区銀座2-15-6,35.671257,139.7712015,銀座ブロッサム 中央会館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=3
中央区,京橋３丁目,日八京,東京都中央区京橋3-1-1 東京スクエアガーデン5階,35.676072,139.7687625,東京コンベンションホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=44
中央区,京橋２丁目,日八京,東京都中央区京橋2-1-3京橋トラストタワー4階,35.677836,139.77,トラストシティ カンファレンス・京橋,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=37
中央区,京橋２丁目,日八京,東京都中央区京橋2-2-1 京橋エドグラン 22F （事務所：22F）,35.677341,139.769505,TKP Garden City Premium 京橋,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=245
中央区,京橋２丁目,日八京,東京都中央区京橋2-3-19 TKP八重洲ビル,35.67667548,139.7713266,TKP東京駅八重洲カンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=38
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-4 東京ガーデンテラス紀尾井町 紀尾井タワー4階,35.679618,139.7368935,東京ガーデンテラス紀尾井町 紀尾井カンファレンス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=240
