指標名,文化財,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
年次,2020/3/9取得,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,ゆあみ〈新海竹太郎作　一九〇七年／石膏原型〉,,国宝・重要文化財(美術品),重要文化財,彫刻,日本,近代,20000627,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,裸体美人〈萬鐵五郎筆／油絵　麻布〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,明治,20001204,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,三遊亭円朝像（鏑木清方筆／絹本著色）,,国宝・重要文化財(美術品),重要文化財,絵画,日本,昭和,20030529,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,切通しの写生〈岸田劉生筆　一九一五年／油絵　麻布〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19710622,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,紙本著色行く春図〈川合玉堂筆／六曲屏風〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19710622,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69173065,139.7516296,旧江戸城田安門,田安門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69173065,139.7516296,旧江戸城田安門,櫓門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69173065,139.7516296,旧江戸城清水門,清水門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69173065,139.7516296,旧江戸城清水門,櫓門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69173065,139.7516296,旧近衛師団司令部庁舎,,国宝・重要文化財(建造物),重要文化財,近代／官公庁舎,,明治,19721002,,,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園３－１,35.690535,139.754619,絹本著色王昭君図〈菱田春草筆／〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,明治,19820605,,東京国立近代美術館,善寶寺,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690535,139.754619,騎竜観音〈原田直次郎筆　一八九〇年／油絵　麻布〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,近代,20070608,,東京国立近代美術館,宗教法人護国寺,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690535,139.754619,紙本著色黄瀬川陣〈安田靫彦筆/六曲屏風〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,近代,20110627,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690535,139.754619,南風,,国宝・重要文化財(美術品),重要文化財,絵画,日本,近代,20181031,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690535,139.754619,母子〈上村松園筆/絹本著色〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,近代,20110627,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園３－１,35.690535,139.754619,風蕭々兮易水寒,,登録美術品,絵画,,日本,昭和時代,20180612,,独立行政法人国立美術館　東京国立近代美術館,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3－1,35.690535,139.754619,木花之佐久夜毘売,,登録美術品,絵画,,日本,昭和時代,20190514,,独立行政法人国立美術館　東京国立近代美術館,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,吾妻鏡（北条本）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,室町～江戸,19930120,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,阿蘭陀本草和解〈野呂玄丈抄訳／〉,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19990607,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,管見抄〈（第三冊欠）／〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19570219,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,国絵図並郷帳,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19830606,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,元版全相平話,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,元,19550622,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,公文録（図表共）並索引,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,明治,19980630,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,貞享暦〈渋川春海筆／（巻四補写本）〉,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19940628,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,正保城絵図,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19860606,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,諸宗末寺帳,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19890612,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,庶物類纂,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19960627,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,庶物類纂図翼,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19960627,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,尋憲記,,国宝・重要文化財(美術品),重要文化財,古文書,日本,室町～安土桃山,20110627,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版頴浜先生大全文集,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19570219,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版鉅宋広韻,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19570219,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版周易新講義,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19560628,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版子略,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19560628,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版史略,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19560628,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版東坡集,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19560628,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版梅亭先生四六標準,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19570219,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版平斉文集,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19570219,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版予章先生集,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19570219,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版廬山記,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19550622,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,宋版准海集,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19560628,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,北槎聞略〈寛政六年八月／〉,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19930120,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,法曹類林〈巻第百九十二断簡／第百九十七断簡、第二百（金沢文庫本）〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19550622,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,本朝続文粋（金沢文庫本）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19550622,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,間宮林蔵北蝦夷等見分関係記録,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19910621,,独立行政法人国立公文書館,独立行政法人国立公文書館,
千代田区,北の丸公園,-,東京都千代田区北の丸公園三ー二,35.690256,139.753863,江戸幕府書物方関係資料,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸時代,20181031,,独立行政法人国立公文書館,独立行政法人国立公文書館,
新宿区,弁天町,-,東京都新宿区弁天町,35.70236592,139.7256263,山鹿素行墓,,史跡名勝天然記念物,史跡,,,,19430501,,,,
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1,35.700624,139.7449935,謡本〈百二十番／（車屋本）鳥養道晰筆〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,桃山,19600609,,法政大学,法政大学,
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1,35.700624,139.7449935,曲舞〈三十番／（車屋本）鳥養道晰筆〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,桃山,19600609,,法政大学,法政大学,
中央区,浜離宮庭園,-,東京都中央区浜離宮庭園,35.65913389,139.7646985,旧浜離宮庭園,,史跡名勝天然記念物,特別名勝,特別史跡,,,19481218,,,,
港区,白金台５丁目,-,東京都港区白金台五丁目,35.63788578,139.7205144,旧白金御料地,,史跡名勝天然記念物,天然記念物,史跡,,,19490412,,,,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.63788578,139.7205144,旧朝香宮邸,自動車庫,国宝・重要文化財(建造物),重要文化財,近代／住居,,昭和,20150708,,,東京都,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.63788578,139.7205144,旧朝香宮邸,倉庫,国宝・重要文化財(建造物),重要文化財,近代／住居,,昭和,20150708,,,東京都,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.63788578,139.7205144,旧朝香宮邸,本館,国宝・重要文化財(建造物),重要文化財,近代／住居,,昭和,20150708,,,東京都,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.63788578,139.7205144,旧朝香宮邸,茶室,国宝・重要文化財(建造物),重要文化財,近代／住居,,昭和,20150708,,,東京都,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.63788578,139.7205144,旧朝香宮邸,正門,国宝・重要文化財(建造物),重要文化財,近代／住居,,昭和,20150708,,,東京都,
港区,白金台３丁目,-,東京都港区白金台三丁目,35.63596702,139.7262148,瑞聖寺大雄宝殿,,国宝・重要文化財(建造物),重要文化財,近世以前／寺院,,江戸後期,19920810,,,瑞聖寺,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,圜悟克勤墨蹟（建炎二年二月十二日）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,北宋,19390527,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,兼輔集断簡,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,平安,19350430,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,虚堂智愚墨蹟〈与閲禅者偈頌／〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19700525,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,寸松庵色紙（たかための）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,平安,19620621,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,大慧宗杲墨蹟〈尺牘／性禅姪宛〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19690620,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,大燈国師墨蹟〈与明輪禅尼法語／〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19531114,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,大燈国師墨蹟〈孤桂字号／〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19560628,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,継色紙（きみをおきて）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,平安,19780615,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,南楚師説墨蹟（至正二年秋）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,元,19350430,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,無準師範墨蹟〈与聖一国師尺牘／〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,南宋,19531114,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63222953,139.7268425,無学祖元墨蹟,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19380704,,畠山記念館,公益財団法人荏原畠山記念文化財団,
港区,白金台２丁目,-,東京都港区白金台2-6-11,35.635788,139.730625,三菱電機高輪荘蔵,,登録有形文化財(建造物),住宅,建築物,,昭和前,20001204,,,三菱電機株式会社,
港区,白金台２丁目,-,東京都港区白金台2-6-11,35.635788,139.730625,三菱電機高輪荘主屋,,登録有形文化財(建造物),住宅,建築物,,昭和前,20001204,,,三菱電機株式会社,
港区,白金台２丁目,-,東京都港区白金台2-6-11,35.635788,139.730625,三菱電機高輪荘洋館,,登録有形文化財(建造物),住宅,建築物,,昭和前,20001204,,,三菱電機株式会社,
港区,白金台１丁目,-,東京都港区白金台一丁目2番37号,35.638587,139.730985,明治学院インブリー館,,国宝・重要文化財(建造物),重要文化財,近代／学校,,明治,19981225,,,学校法人明治学院,
千代田区,日本橋本石町３丁目,日八京,東京都中央区日本橋本石町３丁目１−８,35.6861617,139.7704189,常盤橋門跡,,史跡名勝天然記念物,史跡,,,,19280324,,,,
中央区,日本橋本石町２丁目,日八京,東京都中央区日本橋本石町二丁目1番1号,35.686575,139.771548,日本銀行本店本館,,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,,明治,19740205,,,日本銀行,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町9-3,35.688888,139.781907,ハリオグラスビル,,登録有形文化財(建造物),産業3次,建築物,,昭和前,20030701,,,ハリオテック株式会社,
中央区,日本橋中洲,-,東京都中央区日本橋中洲、江東区清澄,35.68278987,139.7905049,清洲橋,,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,,昭和,20070618,,,東京都,
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町1-5,35.689113,139.778307,江戸屋店舗兼住宅,,登録有形文化財(建造物),産業3次,建築物,,大正,20140425,,,,
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-5-2,35.685324,139.7818845,よし梅芳町亭,,登録有形文化財(建造物),住宅,建築物,,昭和前,20020821,,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686935,139.7730555,拾遺抄,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,20160817,,三井記念美術館,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2－1－1　三井本館7階,35.686935,139.7730555,旧金剛宗家伝来能面,,国宝・重要文化財(美術品),重要文化財,彫刻,,室町、桃山、江戸,20080710,,三井記念美術館,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階,35.686935,139.7730555,紙本著色東福門院入内図〈／四曲屏風〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,江戸,20060609,,三井記念美術館,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,粉引茶碗（三好）,,国宝・重要文化財(美術品),重要文化財,工芸品,朝鮮,朝鮮,20160817,,三井記念美術館,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,刀〈銘国広／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,桃山,19390527,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,唐物肩衝茶入（北野）,,国宝・重要文化財(美術品),重要文化財,工芸品,中国,南宋時代,20030529,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,熊野御幸記〈藤原定家筆／建仁元年十月〉,,国宝・重要文化財(美術品),国宝,古文書,日本,鎌倉,,19670615,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,古林清茂墨蹟〈与無夢一清偈／泰定四年至節後三日〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,元,19890612,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,黒楽茶碗（俊寛）〈長次郎作／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,桃山,19960627,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,志野茶碗〈銘卯花墻／〉,,国宝・重要文化財(美術品),国宝,工芸品,日本,桃山,19550202,19590627,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,清拙正澄墨蹟〈霊致別称偈／延元元年仲夏〉,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国・日本,元～南北朝,19531114,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,太刀〈銘国信／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,南北朝,19550622,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,太刀〈銘助真／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19570219,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,太刀〈銘則宗／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19410703,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,太刀〈銘備州長船住兼光／暦応二年正月日〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,南北朝,19520329,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,太刀〈銘備州長鉛基光／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,南北朝,19530331,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,短刀〈無銘貞宗（名物徳善院貞宗）／〉,,国宝・重要文化財(美術品),国宝,工芸品,日本,鎌倉,19370525,19521122,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,短刀〈無銘正宗（名物日向正宗）／〉,,国宝・重要文化財(美術品),国宝,工芸品,日本,鎌倉,19410703,19521122,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,手鑑「たかまつ」（百八十六葉）,,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,奈良～江戸,19890612,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,銅製船氏王後墓誌,,国宝・重要文化財(美術品),国宝,考古資料,日本,奈良,19530331,19610427,三井記念美術館　,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,薙刀〈銘一／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19520719,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,日本航海図&amp;lt;（羊皮紙著色）／&amp;gt;,,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19950615,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,楽焼黒茶碗（雨雲）〈光悦作／〉,,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,19550622,,三井記念美術館　,公益財団法人三井文庫,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館７階,35.68635569,139.7731341,鸞天目茶碗,,国宝・重要文化財(美術品),重要文化財,工芸品,中国,南宋時代,20000627,,三井記念美術館　,公益財団法人三井文庫,
