指標名,コンビニ,,,,,
港区,麻布十番１丁目,-,東京都港区麻布十番1-10-3,35.656236,139.736448,ローソン 麻布十番一丁目店
港区,麻布十番１丁目,-,東京都港区麻布十番1-2-10,35.656677,139.736349,ファミリーマート 一の橋店
港区,麻布十番１丁目,-,東京都港区麻布十番1-5-23,35.656749,139.73373,セブンイレブン 港区麻布十番1丁目店
港区,麻布十番１丁目,-,東京都港区麻布十番1丁目7-1 MGB麻布十番,35.656632,139.734504,ファミリーマート 麻布十番一丁目店
渋谷区,本町６丁目,-,東京都渋谷区本町6-35-4,35.680086,139.676931,ミニストップ 渋谷本町6丁目店
渋谷区,本町６丁目,-,東京都渋谷区本町6-8-3,35.682678,139.678686,ローソンストア100 LS渋谷本町六丁目店
渋谷区,本町５丁目,-,東京都渋谷区本町5-39-2,35.681814,139.6753875,99イチバ渋谷幡ヶ谷店
渋谷区,本町５丁目,-,東京都渋谷区本町5-44-7,35.682858,139.6742085,セブンイレブン 渋谷本町店
渋谷区,本町４丁目,-,東京都渋谷区本町4-19-4,35.688213,139.679712,セブンイレブン 渋谷本町4丁目店
渋谷区,本町４丁目,-,東京都渋谷区本町4丁目45番2号,35.685576,139.677633,ファミリーマート 幡ヶ谷本町店
渋谷区,本町３丁目,-,東京都渋谷区本町3-48-21,35.687727,139.683033,ローソンストア100 LS渋谷本町三丁目店
渋谷区,本町３丁目,-,東京都渋谷区本町3-1-1,35.686665,139.685031,セブンイレブン 渋谷本町3丁目店
渋谷区,本町３丁目,-,東京都渋谷区本町3-41-11,35.688276,139.680801,ファミリーマート 渋谷本町三丁目店
渋谷区,本町２丁目,-,東京都渋谷区本町2ー12ー3,35.683191,139.6814895,セブンイレブン 渋谷本町2丁目店
渋谷区,本町２丁目,-,東京都渋谷区本町2丁目2-2,35.683803,139.6849275,ファミリーマート 渋谷本町店
渋谷区,本町１丁目,-,東京都渋谷区本町1-21-12,35.678475,139.679703,ローソン 渋谷本町一丁目店
渋谷区,本町１丁目,-,東京都渋谷区本町1-10-1,35.680122,139.683852,セブンイレブン 渋谷本町1丁目店
渋谷区,本町１丁目,-,東京都渋谷区本町1-4-15,35.681508,139.6854135,ファミリーマート 初台駅北口店
渋谷区,本町１丁目,-,東京都渋谷区本町1-53-11,35.682849,139.684365,セブンイレブン 渋谷オペラ通り店
渋谷区,本町１丁目,-,東京都渋谷区本町1丁目16-3,35.678997,139.681305,ファミリーマート 渋谷本町一丁目店
港区,北青山３丁目,-,東京都港区北青山3-6-19,35.664534,139.7115945,ローソン 北青山三丁目店
港区,北青山３丁目,-,東京都港区北青山3-2-5,35.668899,139.7153835,セブンイレブン 北青山青山通り店
港区,北青山３丁目,-,東京都港区北青山3-6-12,35.665092,139.711851,ローソン メトロス表参道店
港区,北青山３丁目,-,東京都港区北青山3-8-9,35.664903,139.710339,セブンイレブン 港区北青山3丁目店
港区,北青山３丁目,-,東京都港区北青山3丁目5-5ティアラ北青山ビル,35.667405,139.714164,ファミリーマート 北青山三丁目店
港区,北青山２丁目,-,東京都港区北青山2-12-13,35.670681,139.7165805,ファミリーマート 北青山二丁目店
港区,北青山２丁目,-,東京都港区北青山2-12-5,35.671113,139.7157525,ナチュラルローソン 北青山二丁目店
港区,北青山２丁目,-,東京都港区北青山2-5-1伊藤忠本社ビル,35.671473,139.7192985,ファミリーマート 伊藤忠ビル店
港区,北青山２丁目,-,東京都港区北青山2-5-8青山OM-SQUARE,35.671095,139.7186685,ファミリーマート メトロ外苑前店
港区,北青山２丁目,-,東京都港区北青山2-7-19,35.670573,139.717035,セブンイレブン 外苑前駅前店
港区,北青山２丁目,-,東京都港区北青山2丁目7番26号メゾン青山1F,35.671437,139.717287,ファミリーマート 神宮スタジアム通り店
港区,北青山１丁目,-,東京都港区北青山1丁目2-3,35.672976,139.7231415,ファミリーマート ファミマ青山ビル店
港区,北青山１丁目,-,東京都港区北青山1丁目4-1 ランジェ青山,35.672418,139.721967,ファミリーマート 北青山一丁目店
新宿区,北新宿４丁目,-,東京都新宿区北新宿4-12-4,35.707257,139.692834,ミニストップ 北新宿4丁目店
新宿区,北新宿４丁目,-,東京都新宿区北新宿4-3-13,35.706537,139.6941615,ファミリーマート 小滝橋通り店
新宿区,北新宿４丁目,-,東京都新宿区北新宿4-8-18,35.709255,139.693806,ローソン 小滝橋店
新宿区,北新宿３丁目,-,東京都新宿区北新宿3丁目1-4,35.702082,139.6944945,ファミリーマート 北新宿大久保通り店
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-13-14,35.698932,139.6895265,ニューヤマザキデイリーストア 北新宿店
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-21-1,35.696124,139.689522,ナチュラルローソン 新宿フロントタワー店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-29-10,35.701569,139.6907865,ローソン 北新宿一丁目店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-1-17,35.698455,139.69701,ファミリーマート 北新宿店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-12-17,35.701794,139.6943865,セブンイレブン 北新宿1丁目大久保通り店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-2-6,35.697996,139.6963035,セブンイレブン 北新宿1丁目店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-28-15サマリヤ中田ビル,35.701704,139.692195,ローソンストア100 LS北新宿店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1丁目35-3,35.69724,139.691898,ファミリーマート 新宿税務署通り店
中央区,豊海町,-,東京都中央区豊海町5-1,35.653527,139.7697345,ファミリーマート 豊海町店
新宿区,弁天町,-,東京都新宿区弁天町21,35.704575,139.726665,ファミリーマート 新宿弁天町店
千代田区,平河町２丁目,-,東京都千代田区平河町2-7-9,35.680419,139.740165,ローソンサテライト JA共済ビル店
千代田区,平河町２丁目,-,東京都千代田区平河町2-16-1,35.679465,139.741272,ナチュラルローソン NL平河町森タワー店
千代田区,平河町２丁目,-,東京都千代田区平河町2-7-2,35.679105,139.740246,セブンイレブン 千代田平河町2丁目店
千代田区,平河町２丁目,-,東京都千代田区平河町2丁目6-3,35.679168,139.738959,ファミリーマート 都道府県会館店
千代田区,平河町１丁目,-,東京都千代田区平河町1-8-3,35.682723,139.741596,セブンイレブン 千代田平河町1丁目店
千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2,35.698914,139.743828,ローソン 飯田橋サクラテラス店
千代田区,富士見２丁目,-,東京都千代田区富士見2-11-9,35.69904,139.7447505,ミニストップ 飯田橋駅西口店
千代田区,富士見２丁目,-,東京都千代田区富士見2-12-11,35.698581,139.7440755,ローソン 千代田富士見二丁目店
千代田区,富士見２丁目,-,東京都千代田区富士見2-14-23,35.696925,139.742379,ローソン JPローソン東京逓信病院店
千代田区,富士見２丁目,-,東京都千代田区富士見2-4-6,35.699787,139.746177,セブンイレブン 千代田大神宮通り店
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目17-1,35.696277,139.741488,セブンイレブン 法政大学市ヶ谷キャンパス店
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目2-6,35.699256,139.745268,ファミリーマート 千代田富士見二丁目店
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目7-2,35.701047,139.744989,ファミリーマート 飯田橋プラーノ店
千代田区,富士見１丁目,-,東京都千代田区富士見1-3-3,35.69796,139.746492,セブンイレブン 千代田富士見1丁目店
新宿区,富久町,-,東京都新宿区富久町17番2号,35.692389,139.713291,セブンイレブン 新宿富久町店
新宿区,富久町,-,東京都新宿区富久町8-22,35.691183,139.717917,ローソン 新宿富久町店
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-9-18,35.665011,139.686921,セブンイレブン 渋谷富ヶ谷2丁目店
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-53-5,35.669097,139.688658,ナチュラルローソン 代々木八幡店
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-6-9,35.669079,139.689342,ローソン 富ヶ谷一丁目店
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1丁目13-9,35.667441,139.6911915,ファミリーマート 渋谷富ヶ谷一丁目店
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1丁目19-4,35.665866,139.6920735,セブンイレブン 渋谷代々木公園店
港区,浜松町２丁目,-,東京都港区浜松町2-3-1,35.655624,139.7555775,デイリーヤマザキ クレアタワーB3店
港区,浜松町２丁目,-,東京都港区浜松町2-3-1,35.655624,139.7555775,デイリーヤマザキ 浜松町クレアタワー店
港区,浜松町２丁目,-,東京都港区浜松町2丁目3-1,35.655624,139.7555775,デイリーヤマザキ浜松町クレアタワー店
港区,浜松町２丁目,-,東京都港区浜松町2丁目3-1,35.655624,139.7555775,デイリーヤマザキクレアタワーB3店
港区,浜松町２丁目,-,東京都港区浜松町2-4-1 世界貿易センタービル地下1F,35.655606,139.7561535,生活彩家 貿易センタービル店
港区,浜松町２丁目,-,東京都港区浜松町2-13-5,35.653293,139.754835,セブンイレブン 浜松町2丁目店
港区,浜松町２丁目,-,東京都港区浜松町2丁目1-17 松永ビル,35.656146,139.754916,ファミリーマート 浜松町二丁目店
港区,浜松町２丁目,-,東京都港区浜松町2丁目4-1,35.655606,139.7561535,ファミリーマート 世界貿易センター店
港区,浜松町２丁目,-,東京都港区浜松町2丁目4-12,35.65548,139.756734,ファミリーマート HPS浜松町モノレール店
港区,浜松町２丁目,-,東京都港区浜松町2丁目6-2,35.654373,139.75515,ファミリーマート 浜松町駅前店
港区,浜松町２丁目,-,東京都港区浜松町2丁目9番3号,35.654013,139.7563875,ファミリーマート 浜松町駅南店
港区,浜松町１丁目,-,東京都港区浜松町1-31-1,35.656812,139.7571615,ローソン 文化放送メディアプラス店
港区,浜松町１丁目,-,東京都港区浜松町1-13-2,35.658486,139.756815,ローソン 浜松町一丁目店
港区,浜松町１丁目,-,東京都港区浜松町1-27-17三和ビル,35.657667,139.755159,ファミリーマート 浜松町一丁目店
港区,浜松町１丁目,-,東京都港区浜松町1丁目19番14号,35.657937,139.755672,ファミリーマート 名鉄イン浜松町店
港区,浜松町１丁目,-,東京都港区浜松町1丁目20-8,35.657757,139.7567475,セブンイレブン 浜松町1丁目中央店
港区,浜松町１丁目,-,東京都港区浜松町1丁目2-1,35.660025,139.755978,セブンイレブン 浜松町1丁目北店
新宿区,百人町４丁目,-,東京都新宿区百人町4-9-5,35.709336,139.694256,ローソンストア100 LS新宿百人町四丁目店
新宿区,百人町２丁目,-,東京都新宿区百人町2ー21ー3,35.701857,139.6972845,セブンイレブン 新宿大久保駅前店
新宿区,百人町２丁目,-,東京都新宿区百人町2-22-12,35.704287,139.6972575,ローソン 百人町二丁目店
新宿区,百人町２丁目,-,東京都新宿区百人町2-8-1,35.702874,139.6997055,セブンイレブン 新宿百人町2丁目店
新宿区,百人町２丁目,-,東京都新宿区百人町2丁目11-2 神倉ビル,35.701713,139.6989945,ファミリーマート 新大久保駅前店
新宿区,百人町１丁目,-,東京都新宿区百人町1 大久保駅西口改札,35.69977103,139.6994972,NEWDAYSMINI(ニューデイズミニ) 大久保1号店
新宿区,百人町１丁目,-,東京都新宿区百人町1-1-1,35.698266,139.7019555,セブンイレブン 新宿職安通り店
新宿区,百人町１丁目,-,東京都新宿区百人町1-11-22リサビル,35.701182,139.6998,ローソンストア100 LS新大久保駅前店
新宿区,百人町１丁目,-,東京都新宿区百人町1-15-21,35.701407,139.699161,セブンイレブン 新大久保駅西店
新宿区,百人町１丁目,-,東京都新宿区百人町1-17-6成田ビル,35.701506,139.697478,ローソン *LS新宿百人町店
新宿区,百人町１丁目,-,東京都新宿区百人町1-19-14,35.701623,139.696398,ファミリーマート 大久保駅前店
新宿区,百人町１丁目,-,東京都新宿区百人町1-23-21,35.699724,139.697667,ファミリーマート 大久保駅南口店
新宿区,百人町１丁目,-,東京都新宿区百人町1-23-24,35.699247,139.69755,セブンイレブン 新宿大久保駅南口店
新宿区,百人町１丁目,-,東京都新宿区百人町1-3-14,35.701011,139.70205,ファミリーマート 新大久保店
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4丁目10-2,35.702082,139.7450475,ニューデイズ飯田橋1号
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4-10-2 飯田橋駅東口改札外正面,35.702082,139.7450475,NEWDAYS(ニューデイズ) 飯田橋1号店
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4-10-3東西線飯田橋駅構内,35.701587,139.7442285,ローソン メトロス飯田橋店
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4丁目1-11,35.700111,139.7478285,セブンイレブン 飯田橋4丁目店
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4丁目8番13号,35.701353,139.746168,ファミリーマート 飯田橋駅前店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-10,35.700363,139.750533,セブンイレブン KDDI本社店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-10,35.700363,139.750533,セブンイレブン KDDI本社20階店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-6-5,35.701623,139.7466405,ナチュラルローソン NL飯田橋三丁目店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-8,35.700831,139.749138,ローソン・スリーエフ エドモント店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-9,35.701065,139.750272,セブンイレブン 飯田橋アイガーデンテラス店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3丁目2-2,35.700399,139.7486475,ファミリーマート 飯田橋三丁目店
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3丁目5-1,35.701443,139.747374,ファミリーマート 東京区政会館店
千代田区,飯田橋２丁目,-,東京都千代田区飯田橋2-18-2,35.699094,139.751244,セブンイレブン 大和ハウス九段ビル店
千代田区,飯田橋２丁目,-,東京都千代田区飯田橋2-6-6,35.699004,139.749678,ファミリーマート 飯田橋二丁目店
千代田区,隼町,-,東京都千代田区隼町2-17,35.683308,139.7418345,ファミリーマート 半蔵門駅南店
中央区,八丁堀４丁目,-,東京都中央区八丁堀4-13-1,35.674407,139.778766,ローソン H八丁堀四丁目店
中央区,八丁堀４丁目,-,東京都中央区八丁堀4-2-2,35.674488,139.773411,ローソン H八丁堀弾正橋店
中央区,八丁堀４丁目,-,東京都中央区八丁堀4-3-3,35.674479,139.7740095,セブンイレブン 中央区八丁堀4丁目店
中央区,八丁堀４丁目,-,東京都中央区八丁堀4丁目11-10,35.673993,139.7784015,ファミリーマート 八丁堀店
中央区,八丁堀４丁目,-,東京都中央区八丁堀4丁目8番7号,35.674407,139.776516,ファミリーマート 八丁堀四丁目店
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-24-2,35.676396,139.778235,ローソン 八丁堀二丁目店
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-10-9,35.676189,139.7756745,セブンイレブン 八丁堀2丁目店
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-20-1,35.675901,139.7768625,ファミリーマート 八丁堀二丁目店
中央区,八丁堀２丁目,-,東京都中央区八丁堀2丁目22-5,35.676279,139.777569,ファミリーマート 八丁堀駅前店
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-5-1,35.677755,139.7759355,ローソン H八丁堀一丁目店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-1 八重洲地下街中3,35.679906,139.769433,ローソン 八重洲中央口店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-6-21,35.677989,139.7679255,ローソン 八重洲二丁目外堀通店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-7-7,35.677224,139.768587,セブンイレブン 八重洲柳通り店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2丁目10番10号,35.675766,139.7677005,ファミリーマート 中央八重洲二丁目店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2丁目1番八重洲地下街南1号,35.679906,139.769433,セブンイレブン 八重洲地下街南店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2丁目1番八重洲地下街北1号,35.679906,139.769433,ファミリーマート 八重洲地下街店
中央区,八重洲２丁目,日八京,東京都中央区八重洲2丁目5-9,35.677773,139.7689785,ファミリーマート 八重洲二丁目店
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-7,35.682876,139.7717325,ローソン 八重洲一丁目店
中央区,八重洲１丁目,日八京,東京都中央区八重洲1丁目5-9,35.681751,139.7713455,ファミリーマート 八重洲一丁目店
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷3丁目19番2号,35.679402,139.6749915,ファミリーマート 幡ヶ谷三丁目店
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-49-3,35.679735,139.6771155,ローソン 幡ヶ谷二丁目店
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-14-9,35.677485,139.67604,セブンイレブン 渋谷幡ヶ谷駅前店
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2丁目13-4 豊生ビル,35.677584,139.67685,ファミリーマート 幡ヶ谷駅北口店
渋谷区,幡ケ谷１丁目,-,東京都渋谷区幡ヶ谷1-11-11,35.674209,139.671819,セブンイレブン 渋谷笹塚東店
渋谷区,幡ケ谷１丁目,-,東京都渋谷区幡ヶ谷1-31-1,35.676207,139.6755945,ローソン 渋谷幡ヶ谷一丁目店
港区,白金台５丁目,-,東京都港区白金台5-14-1,35.638569,139.722714,セブンイレブン 白金台プラチナ通り店
港区,白金台３丁目,-,東京都港区白金台3丁目16-11,35.63649,139.7237805,ファミリーマート 白金台三丁目店
港区,白金台３丁目,-,東京都港区白金台3丁目19-1,35.63469,139.7201175,ファミリーマート 自然教育園前店
港区,白金台３丁目,-,東京都港区白金台3丁目2番3号,35.637489,139.7256795,セブンイレブン 白金台駅前店
港区,白金台２丁目,-,東京都港区白金台2-26-10,35.631702,139.729995,ナチュラルローソン 高輪台駅前店
港区,白金台２丁目,-,東京都港区白金台2-26-8,35.631981,139.730256,コア白金台店
港区,白金台２丁目,-,東京都港区白金台2-6-10,35.635626,139.730994,ローソン 白金台二丁目店
港区,白金台２丁目,-,東京都港区白金台2丁目26番8号,35.631981,139.730256,セブンイレブン 高輪台駅前店
港区,白金台１丁目,-,東京都港区白金台1丁目4番,35.636688,139.7287845,セブンイレブン 港区白金台1丁目店
港区,白金６丁目,-,東京都港区白金6-6-2,35.644356,139.7258415,ミニストップ 白金6丁目店
港区,白金５丁目,-,東京都港区白金5-15-5KSプレイス,35.644806,139.7229435,ローソンストア100 LS白金五丁目店
港区,白金５丁目,-,東京都港区白金5丁目9番1号,35.644797,139.7257335,セブンイレブン KOYO北里大学北里研究所病院店
港区,白金３丁目,-,東京都港区白金3-17-20,35.644122,139.7278215,ローソン 白金三光店
港区,白金１丁目,-,東京都港区白金1-27-6,35.643897,139.7341755,ローソン 白金高輪駅前店
港区,白金１丁目,-,東京都港区白金1-1-12,35.646957,139.7318535,ローソン 港白金店
港区,白金１丁目,-,東京都港区白金1-17-1,35.644554,139.7334105,ファミリーマート 港区白金プラザ店
港区,白金１丁目,-,東京都港区白金1丁目25-20,35.643816,139.732254,セブンイレブン 港区白金1丁目南店
新宿区,馬場下町,-,東京都新宿区馬場下町5番1号 早稲田駅前ビル,35.7057,139.719834,ファミリーマート 早稲田駅前店
新宿区,馬場下町,-,東京都新宿区馬場下町61-6,35.706159,139.7202885,ローソン 新宿馬場下町店
中央区,入船３丁目,-,東京都中央区入船3丁目10-9,35.669961,139.7768985,ファミリーマート 入船三丁目店
