指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2022/1/18取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件）",,,,,,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-29-6,35.68331,139.78388,ホリベ薬局 人形町店,https://byoinnavi.jp/pharm/202326
中央区,新川２丁目,-,東京都中央区新川2-17-12Eビル1F,35.67487,139.78193,越前堀薬局,https://byoinnavi.jp/pharm/202260
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-39-7,35.68344,139.78457,かねまん薬局総本店水天宮前支店,https://byoinnavi.jp/pharm/202327
中央区,晴海１丁目,-,東京都中央区晴海1-8-16 晴海ﾄﾘﾄﾝ2-8,35.65731,139.78242,トモズ 晴海トリトン店,https://byoinnavi.jp/pharm/202222
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-2-5,35.67504,139.77329,おだいじに薬局 八丁堀店,https://byoinnavi.jp/pharm/277122
中央区,築地４丁目,-,東京都中央区築地4-4-12,35.66639,139.76881,田辺薬局築地市場店,https://byoinnavi.jp/pharm/252853
中央区,京橋２丁目,日八京,東京都中央区京橋2-12-4 光和ビル1F,35.67586,139.77176,ニックハート薬局,https://byoinnavi.jp/pharm/252923
中央区,勝どき１丁目,-,東京都中央区勝どき1-3-1,35.66078,139.77695,勝どき一丁目薬局,https://byoinnavi.jp/pharm/253503
中央区,月島３丁目,-,東京都中央区月島3-13-4,35.66204,139.78109,みのり薬局,https://byoinnavi.jp/pharm/202188
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蠣殻町1-19-9,35.68185,139.78333,チトセ薬局,https://byoinnavi.jp/pharm/202324
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2丁目5番3号,35.68392,139.78519,有限会社ホリベ商会 水天宮ファーマシィ,https://byoinnavi.jp/pharm/202330
中央区,月島１丁目,-,東京都中央区月島1-8-1,35.66446,139.78319,きらり月島薬局,https://byoinnavi.jp/pharm/273053
中央区,明石町,-,東京都中央区明石町11-3,35.66703,139.77522,つくだ調剤薬局,https://byoinnavi.jp/pharm/259757
中央区,新富１丁目,-,東京都中央区新富1-19-5,35.67316,139.77598,阪神薬局,https://byoinnavi.jp/pharm/202257
中央区,佃１丁目,-,東京都中央区佃1-11-8,35.66978,139.78442,ウィルファーマ(株) アイリス調剤薬局,https://byoinnavi.jp/pharm/255531
中央区,新富２丁目,-,東京都中央区新富2-14-5,35.67062,139.77486,ヘルス薬局 新富店,https://byoinnavi.jp/pharm/255590
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-10-4,35.68353,139.78138,くま薬局,https://byoinnavi.jp/pharm/202323
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.68639,139.77292,日本調剤 日本橋室町薬局,https://byoinnavi.jp/pharm/202309
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町3-8-2,35.68669,139.78221,ドラッグ・オゾン人形町店,https://byoinnavi.jp/pharm/202321
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-18-7,35.68577,139.78252,福住薬局,https://byoinnavi.jp/pharm/202316
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-4-15,35.69593,139.78249,アポファーマシー,https://byoinnavi.jp/pharm/202314
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-35-7,35.68885,139.78623,島鶴ファーマシー,https://byoinnavi.jp/pharm/202305
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-4-14,35.68552,139.78154,(株)テトラメディカルサプライ,https://byoinnavi.jp/pharm/202317
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-2-5,35.69537,139.78299,セントラル薬局 馬喰町店,https://byoinnavi.jp/pharm/202312
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町4-6-2,35.68976,139.77281,スギ薬局日本橋室町店,https://byoinnavi.jp/pharm/202310
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-6-9,35.68480,139.78208,健ナビ薬局人形町,https://byoinnavi.jp/pharm/202318
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-5-2,35.68571,139.77441,スギ薬局日本橋三越前店,https://byoinnavi.jp/pharm/202307
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町12-7,35.69028,139.78149,理研新薬(株),https://byoinnavi.jp/pharm/202322
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-1-2,35.68418,139.78443,マツモトキヨシ 水天宮駅前店,https://byoinnavi.jp/pharm/202319
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1-6-5,35.69287,139.78243,(株)紺野薬局,https://byoinnavi.jp/pharm/202311
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-7-2,35.68491,139.77479,日本橋薬局,https://byoinnavi.jp/pharm/202308
中央区,銀座１丁目,-,東京都中央区銀座1-13-9,35.67326,139.76926,クオール薬局銀座店,https://byoinnavi.jp/pharm/202224
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-11-5,35.69292,139.78703,薬局秀ハーブラウンジ,https://byoinnavi.jp/pharm/202218
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-7-3,35.69102,139.78422,(有)川名薬局,https://byoinnavi.jp/pharm/202220
中央区,銀座５丁目,-,東京都中央区銀座1-1-1,35.67239,139.76207,シェトワ,https://byoinnavi.jp/pharm/202223
中央区,晴海１丁目,-,東京都中央区晴海1-6-5,35.65892,139.78345,日野薬局晴海店,https://byoinnavi.jp/pharm/202221
中央区,豊海町,-,東京都中央区豊海町2-2,35.65417,139.77125,さくら薬局豊海店,https://byoinnavi.jp/pharm/202208
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-16-7,35.67524,139.77599,すずらん薬局,https://byoinnavi.jp/pharm/202212
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-19-7,35.67589,139.77636,佐藤薬局,https://byoinnavi.jp/pharm/202210
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-6-18,35.68144,139.77004,トーシン薬局,https://byoinnavi.jp/pharm/202215
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-22-11,35.67635,139.77708,野沢天祐堂漢方薬局,https://byoinnavi.jp/pharm/202211
中央区,佃２丁目,-,東京都中央区佃2-5-13,35.66701,139.78464,佃調剤薬局,https://byoinnavi.jp/pharm/202207
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-1-5,35.67974,139.77000,ハートフル薬局八重洲店,https://byoinnavi.jp/pharm/202217
中央区,佃２丁目,-,東京都中央区佃2-5-11,35.66692,139.78484,さくら薬局中央佃店,https://byoinnavi.jp/pharm/202206
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-8-1,35.67581,139.77461,八丁堀薬局,https://byoinnavi.jp/pharm/202214
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-1,35.67987,139.76961,マルゼン八重洲北口店,https://byoinnavi.jp/pharm/202216
中央区,佃２丁目,-,東京都中央区佃2-2-7,35.66859,139.78561,アンソニーズ,https://byoinnavi.jp/pharm/202205
中央区,佃２丁目,-,東京都中央区佃2-14-3,35.66602,139.78550,(有)後藤田中商店,https://byoinnavi.jp/pharm/202204
中央区,月島２丁目,-,東京都中央区月島2-10-2,35.66344,139.78421,どらっぐぱぱす 月島店,https://byoinnavi.jp/pharm/202185
中央区,月島１丁目,-,東京都中央区月島1-26-5,35.66326,139.78272,どらっぐぱぱす 月島1丁目店,https://byoinnavi.jp/pharm/202183
中央区,明石町,-,東京都中央区明石町8-1,35.66704,139.77867,(株)エヌ・エス・ライフコーポレーション,https://byoinnavi.jp/pharm/202194
中央区,明石町,-,東京都中央区明石町11-3,35.66703,139.77522,かちどき薬局築地店,https://byoinnavi.jp/pharm/202193
中央区,月島４丁目,-,東京都中央区月島4-3-3,35.66131,139.78363,恵愛堂薬局,https://byoinnavi.jp/pharm/202190
中央区,月島３丁目,-,東京都中央区月島3-14-8,35.66161,139.78023,恵愛堂三丁目薬局,https://byoinnavi.jp/pharm/202189
中央区,月島４丁目,-,東京都中央区月島4-5-12,35.66065,139.78299,公仁薬局月島,https://byoinnavi.jp/pharm/202191
中央区,月島１丁目,-,東京都中央区月島1-21-9,35.66396,139.78119,エスアイエム薬局月島店,https://byoinnavi.jp/pharm/202182
中央区,月島１丁目,-,東京都中央区月島1-20-5,35.66406,139.78185,(株)信成堂薬局,https://byoinnavi.jp/pharm/202181
中央区,月島１丁目,-,東京都中央区月島1-19-4,35.66428,139.78225,(株)高地薬局,https://byoinnavi.jp/pharm/202180
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-29-1,35.68678,139.78762,漢方研究有識者会有限責任事業組合,https://byoinnavi.jp/pharm/202303
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-28-6,35.68677,139.78804,桃花満天堂,https://byoinnavi.jp/pharm/202302
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-31-1,35.68775,139.78732,しまづる浜町薬局,https://byoinnavi.jp/pharm/202304
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-15-3,35.68131,139.77614,イスクラ薬局日本橋店,https://byoinnavi.jp/pharm/202296
中央区,日本橋本石町３丁目,日八京,東京都中央区日本橋本石町3-2-12,35.68744,139.77083,スター薬局,https://byoinnavi.jp/pharm/202291
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-1-10,35.68239,139.77307,柳屋ビル薬局,https://byoinnavi.jp/pharm/202294
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-6,35.67924,139.77710,くすりの福太郎 茅場町店,https://byoinnavi.jp/pharm/202299
中央区,日本橋浜町１丁目,-,東京都中央区日本橋浜町1-2-1,35.68952,139.78563,どらっぐぱぱす 日本橋浜町店,https://byoinnavi.jp/pharm/202301
中央区,日本橋兜町,-,東京都中央区日本橋兜町8-4,35.68155,139.77790,兜町薬局,https://byoinnavi.jp/pharm/202300
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-4-2,35.69003,139.77278,ファーマスクエア(株),https://byoinnavi.jp/pharm/202289
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-7-11,35.68326,139.77540,スリーアイ薬局日本橋店,https://byoinnavi.jp/pharm/202293
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-2-20,35.68210,139.77199,トーシン薬局仲通り店,https://byoinnavi.jp/pharm/202297
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-1-16,35.68231,139.77261,二丁目調剤薬局,https://byoinnavi.jp/pharm/202295
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-7-13,35.68985,139.77472,(有)成川薬品,https://byoinnavi.jp/pharm/202290
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-3-14,35.68009,139.77120,こだま薬局,https://byoinnavi.jp/pharm/202298
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-8-5デンヨービル1F,35.68873,139.78153,ヘルス薬局日本橋店,https://byoinnavi.jp/pharm/202277
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町1-7,35.68932,139.77857,(株)メディカルサポート,https://byoinnavi.jp/pharm/202283
中央区,築地４丁目,-,東京都中央区築地4-6-6,35.66609,139.76953,日本調剤築地薬局,https://byoinnavi.jp/pharm/202267
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町1-3,35.68987,139.77738,信和薬品(株),https://byoinnavi.jp/pharm/202279
中央区,築地５丁目,-,東京都中央区築地5-2-1,35.66516,139.76926,(株)新橋薬品商会 中央市場薬舗,https://byoinnavi.jp/pharm/202268
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-2-8,35.68972,139.77388,(株)ウチダ和漢薬,https://byoinnavi.jp/pharm/202288
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-1-4,35.68779,139.78124,オキナ薬局,https://byoinnavi.jp/pharm/202274
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-4-3,35.68875,139.77464,(有)志平商店,https://byoinnavi.jp/pharm/202286
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町11-8,35.68999,139.78066,テトラ薬局大伝馬町店,https://byoinnavi.jp/pharm/202284
中央区,日本橋小網町,-,東京都中央区日本橋小網町12-7,35.68298,139.78092,(株)ツルハ 関東オフィス,https://byoinnavi.jp/pharm/202281
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-6-8,35.67935,139.77869,(株)ニック,https://byoinnavi.jp/pharm/202278
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-8-5,35.68961,139.77648,(株)ジャパンファーマシー,https://byoinnavi.jp/pharm/202287
中央区,日本橋小網町,-,東京都中央区日本橋小網町16-14,35.68515,139.78030,堺屋薬局,https://byoinnavi.jp/pharm/202282
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町8-6,35.68584,139.77855,フタバ薬局,https://byoinnavi.jp/pharm/202280
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-6-1,35.68650,139.77714,小太郎漢方製薬(株)東京支店,https://byoinnavi.jp/pharm/202285
中央区,築地６丁目,-,東京都中央区築地6-19-23,35.66411,139.77479,アオバドラッグ,https://byoinnavi.jp/pharm/202269
千代田区,九段南２丁目,-,東京都千代田区九段南2-4-11,35.69332,139.74416,オギムラ薬局,https://byoinnavi.jp/pharm/202920
中央区,築地４丁目,-,東京都中央区築地4-3-8,35.66663,139.76854,(有)アンディ,https://byoinnavi.jp/pharm/202266
中央区,築地１丁目,-,東京都中央区築地1-12-6,35.66841,139.77056,どらっぐぱぱす 築地店,https://byoinnavi.jp/pharm/202262
中央区,新川２丁目,-,東京都中央区新川2-16-11,35.67526,139.78281,新川調剤薬局,https://byoinnavi.jp/pharm/202259
中央区,銀座８丁目,-,東京都中央区銀座8-8-11,35.66790,139.76105,銀座ペンギン薬局,https://byoinnavi.jp/pharm/202251
中央区,銀座６丁目,-,東京都中央区銀座6-4-11,35.67136,139.76150,西銀座ドラツク,https://byoinnavi.jp/pharm/202242
中央区,銀座８丁目,-,東京都中央区銀座8-7,35.66824,139.76086,銀座ビューティーライフ,https://byoinnavi.jp/pharm/202250
中央区,銀座８丁目,-,東京都中央区銀座8-6-5,35.66888,139.76103,井上薬局,https://byoinnavi.jp/pharm/202249
中央区,銀座８丁目,-,東京都中央区銀座8-5-1,35.66941,139.76066,宝仙堂ドラッグ銀座店,https://byoinnavi.jp/pharm/202248
中央区,銀座７丁目,-,東京都中央区銀座7-10-5,35.66863,139.76332,かちどき薬局銀座店,https://byoinnavi.jp/pharm/202243
中央区,新川１丁目,-,東京都中央区新川1-8-15,35.67773,139.78276,石倉商店,https://byoinnavi.jp/pharm/202258
中央区,銀座７丁目,-,東京都中央区銀座7-2-4,35.67103,139.76065,阪神調剤薬局銀座店,https://byoinnavi.jp/pharm/202244
中央区,京橋２丁目,日八京,東京都中央区京橋2-8-21,35.67746,139.77082,中央薬局,https://byoinnavi.jp/pharm/202254
中央区,京橋２丁目,日八京,東京都中央区京橋2-8-18,35.67701,139.77152,スギ薬局京橋店,https://byoinnavi.jp/pharm/202253
中央区,新富１丁目,-,東京都中央区新富1-17-8,35.67171,139.77527,ハコネ薬局,https://byoinnavi.jp/pharm/202256
中央区,銀座７丁目,-,東京都中央区銀座7-6-15,35.66956,139.76152,鳥居ドラツグ,https://byoinnavi.jp/pharm/202245
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1丁目8-3 神田91ビルディング 1階,35.69087,139.77256,みらくる薬局 神田店,https://byoinnavi.jp/pharm/273972
中央区,銀座５丁目,-,東京都中央区銀座5-5-1,35.67182,139.76385,マツモトキヨシ銀座5th店,https://byoinnavi.jp/pharm/202239
中央区,銀座６丁目,-,東京都中央区銀座6-2-3,35.67186,139.76109,あさがお薬局,https://byoinnavi.jp/pharm/202241
中央区,銀座５丁目,-,東京都中央区銀座5-15-1,35.66857,139.76774,銀座薬局,https://byoinnavi.jp/pharm/202238
中央区,銀座３丁目,-,東京都中央区銀座3-4-5,35.67301,139.76600,薬局アポック銀座ガス灯通り店,https://byoinnavi.jp/pharm/202233
中央区,銀座５丁目,-,東京都中央区銀座5-14-6,35.66867,139.76716,くすりの福太郎 銀座5丁目店,https://byoinnavi.jp/pharm/202237
中央区,銀座２丁目,-,東京都中央区銀座2-4-1,35.67445,139.76670,薬局アポック銀座柳通り支店,https://byoinnavi.jp/pharm/202227
中央区,銀座５丁目,-,東京都中央区銀座5-1-15,35.67221,139.76080,日本調剤 銀座泰明薬局,https://byoinnavi.jp/pharm/202236
中央区,銀座３丁目,-,東京都中央区銀座2-1,35.67373,139.76519,(株)大成堂 西銀座支店,https://byoinnavi.jp/pharm/202226
中央区,銀座３丁目,-,東京都中央区銀座3-14-13,35.66996,139.76918,銀座・楽天堂薬局,https://byoinnavi.jp/pharm/202231
中央区,銀座３丁目,-,東京都中央区銀座3-14-4,35.67050,139.76996,銀座漢方天風堂薬局,https://byoinnavi.jp/pharm/202232
中央区,銀座２丁目,-,東京都中央区銀座2-6-5,35.67368,139.76727,漢方カウンセリングルームKaon,https://byoinnavi.jp/pharm/202228
中央区,銀座３丁目,-,東京都中央区銀座3-11-16,35.67083,139.76859,(株)フォーバ,https://byoinnavi.jp/pharm/202229
中央区,銀座４丁目,-,東京都中央区銀座4-8-7,35.67035,139.76646,(株)三原薬品 銀座四丁目店,https://byoinnavi.jp/pharm/202235
中央区,銀座４丁目,-,東京都中央区銀座4-11-3,35.67018,139.76833,大塚薬局,https://byoinnavi.jp/pharm/202234
中央区,銀座１丁目,-,東京都中央区銀座1-16-5,35.67400,139.77067,くすりの福太郎 銀座1丁目店,https://byoinnavi.jp/pharm/202225
千代田区,平河町１丁目,-,東京都千代田区平河町1-7-17,35.68273,139.74047,東優企業組合,https://byoinnavi.jp/pharm/202978
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-4,35.69955,139.76347,二六堂薬局お茶の水店,https://byoinnavi.jp/pharm/202972
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町2-17-5,35.70129,139.75318,水道橋薬局,https://byoinnavi.jp/pharm/202880
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-5-7,35.70015,139.76171,日本調剤駿河台薬局,https://byoinnavi.jp/pharm/202974
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-4-1,35.69951,139.76340,さくら薬局 御茶ノ水駅前店,https://byoinnavi.jp/pharm/202973
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-4-1,35.68108,139.76383,アメリカンファーマシー 丸の内店,https://byoinnavi.jp/pharm/202903
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-3-2 大手町ｶﾝﾌｧﾚﾝｽｾﾝﾀ-B1F,35.68866,139.76348,トモズ 大手町カンファレンスセンター店,https://byoinnavi.jp/pharm/254875
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-2,35.69908,139.76332,(有)三崎薬局,https://byoinnavi.jp/pharm/202968
千代田区,神田和泉町,-,東京都千代田区神田和泉町1番地 住友商事神田和泉町ビル1階,35.69902,139.77742,トモズ 神田和泉町店,https://byoinnavi.jp/pharm/202957
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-10-6,35.69882,139.76426,(株)イプシロンケア,https://byoinnavi.jp/pharm/202967
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-3,35.70081,139.76094,お茶の水駅前薬局,https://byoinnavi.jp/pharm/202971
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-2-29,35.69880,139.76307,キク調剤薬局,https://byoinnavi.jp/pharm/202969
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間1-25 秋葉原鴻池ビル1階,35.69801,139.77408,トモズ 秋葉原店,https://byoinnavi.jp/pharm/202942
千代田区,神田淡路町２丁目,-,東京都千代田区神田淡路町2-6,35.69679,139.76800,ロイヤル薬局神田淡路町店,https://byoinnavi.jp/pharm/202961
千代田区,神田松永町,-,東京都千代田区神田松永町11,35.69963,139.77454,ファーコスアキバ薬局,https://byoinnavi.jp/pharm/202956
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-1-15,35.69939,139.76221,日本調剤お茶の水中央薬局,https://byoinnavi.jp/pharm/202964
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-1-10,35.69957,139.76303,スーパードラッグお茶の水店,https://byoinnavi.jp/pharm/202963
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-10,35.69875,139.76431,コトブキ調剤薬局お茶の水店,https://byoinnavi.jp/pharm/202965
千代田区,神田平河町,-,東京都千代田区神田平河町1,35.69765,139.77579,あつみ調剤薬局,https://byoinnavi.jp/pharm/202955
千代田区,神田練塀町,-,東京都千代田区神田練塀町68,35.70088,139.77488,(株)ファーコス,https://byoinnavi.jp/pharm/202962
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-9,35.69533,139.75601,セガミ薬局神保町店,https://byoinnavi.jp/pharm/202954
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-24-1,35.69769,139.75698,マツモトキヨシ 神保町店,https://byoinnavi.jp/pharm/202952
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-10-1,35.69616,139.75846,(株)キムラヤ 薬・化粧品専門店SD神保町店,https://byoinnavi.jp/pharm/202944
千代田区,神田紺屋町,-,東京都千代田区神田紺屋町34,35.69278,139.77338,トータルサポート(株),https://byoinnavi.jp/pharm/202937
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-9,35.69209,139.75958,(有)後藤薬局,https://byoinnavi.jp/pharm/202936
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-1,35.69562,139.75777,マツモトキヨシMediプラスマツキヨ都営神保町店,https://byoinnavi.jp/pharm/202950
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-21,35.69777,139.77519,あつみ薬品(株),https://byoinnavi.jp/pharm/202940
千代田区,神田錦町１丁目,-,東京都千代田区神田錦町1-6-2,35.69307,139.76438,神田薬局,https://byoinnavi.jp/pharm/202935
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-26,35.69789,139.75687,裕堂,https://byoinnavi.jp/pharm/202953
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-21-9,35.69501,139.75673,(株)イムノ・ジャパン,https://byoinnavi.jp/pharm/202951
千代田区,神田紺屋町,-,東京都千代田区神田紺屋町47,35.69291,139.77295,コーエイドラッグ神田店,https://byoinnavi.jp/pharm/202938
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-48,35.69815,139.75878,(有)興生堂薬局,https://byoinnavi.jp/pharm/202949
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-3,35.69570,139.75988,コスメティック&ドラッグサクラ神保町店,https://byoinnavi.jp/pharm/202947
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-23,35.69831,139.77516,シティドラック,https://byoinnavi.jp/pharm/202941
