指標名,文化財,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
年次,2022/1/7取得,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
備考,（2019年：482件。2020年：516件、2021年：548件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,経度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町二丁目1番1号,35.686310,139.773100,三井本館,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,19981225,-,-,三井不動産株式会社,-
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町一丁目7番地,35.685590,139.773300,三越日本橋本店,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,20160725,-,-,株式会社三越伊勢丹,-
中央区,京橋３丁目,日八京,神奈川県相模原市高根3-1-4,35.675500,139.770600,映画フィルム「小林富次郎葬儀」,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,明治,20110627,-,国立映画アーカイブ相模原分館,独立行政法人国立美術館,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,刀〈銘国広／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,桃山,19390527,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,唐物肩衝茶入（北野）,-,国宝・重要文化財(美術品),重要文化財,工芸品,中国,南宋時代,20030529,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2－1－1　三井本館7階,35.686410,139.773500,旧金剛宗家伝来能面,-,国宝・重要文化財(美術品),重要文化財,彫刻,-,室町、桃山、江戸,20080710,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,熊野御幸記〈藤原定家筆／建仁元年十月〉,-,国宝・重要文化財(美術品),国宝,古文書,日本,鎌倉,<NULL>,19670615,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,古林清茂墨蹟〈与無夢一清偈／泰定四年至節後三日〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,元,19890612,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,黒楽茶碗（俊寛）〈長次郎作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,桃山,19960627,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館７階,35.686690,139.772900,粉引茶碗（三好）,-,国宝・重要文化財(美術品),重要文化財,工芸品,朝鮮,朝鮮,20160817,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,志野茶碗〈銘卯花墻／〉,-,国宝・重要文化財(美術品),国宝,工芸品,日本,桃山,19550202,19590627,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,紙本著色東福門院入内図〈／四曲屏風〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,江戸,20060609,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686690,139.772900,拾遺抄,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,20160817,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,清拙正澄墨蹟〈霊致別称偈／延元元年仲夏〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国・日本,元～南北朝,19531114,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,太刀〈銘国信／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,南北朝,19550622,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,太刀〈銘助真／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19570219,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,太刀〈銘則宗／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19410703,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,太刀〈銘備州長船住兼光／暦応二年正月日〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,南北朝,19520329,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,太刀〈銘備州長鉛基光／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,南北朝,19530331,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,短刀〈無銘貞宗（名物徳善院貞宗）／〉,-,国宝・重要文化財(美術品),国宝,工芸品,日本,鎌倉,19370525,19521122,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,短刀〈無銘正宗（名物日向正宗）／〉,-,国宝・重要文化財(美術品),国宝,工芸品,日本,鎌倉,19410703,19521122,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,手鑑「たかまつ」（百八十六葉）,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,奈良～江戸,19890612,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,銅製船氏王後墓誌,-,国宝・重要文化財(美術品),国宝,考古資料,日本,奈良,19530331,19610427,三井記念美術館　,-,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,薙刀〈銘一／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19520719,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,日本航海図〈（羊皮紙著色）／〉,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19950615,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋３丁目,日八京,東京国立博物館文化庁分室　東京都台東区上野公園13-9,35.679674,139.773537,梵鐘,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,平安,19520719,-,東京国立博物館文化庁分室,国（文化庁）,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,楽焼黒茶碗（雨雲）〈光悦作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,19550622,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,鸞天目茶碗,-,国宝・重要文化財(美術品),重要文化財,工芸品,中国,南宋時代,20000627,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,紙本金地著色日月松鶴図〈／六曲屏風〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,室町,19930610,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町２丁目,日八京,三井記念美術館　東京都中央区日本橋室町2-1-1三井本館7階,35.686410,139.773500,紙本淡彩雪松図〈円山応挙筆／六曲屏風〉,-,国宝・重要文化財(美術品),国宝,絵画,日本,江戸,<NULL>,19520329,三井記念美術館　,公益財団法人三井文庫,-
中央区,浜離宮庭園,-,中央区浜離宮庭園,35.659890,139.763300,旧浜離宮庭園,-,史跡名勝天然記念物,特別名勝,特別史跡,-,-,19481218,-,-,-,-
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町1-5,35.689100,139.778200,江戸屋店舗兼住宅,-,登録有形文化財(建造物),産業3次,建築物,-,大正,20140425,-,-,-,-
中央区,新富２丁目,-,東京都中央区新富2-6-13,35.671280,139.773700,大野屋總本店店舗,-,登録有形文化財(建造物),産業3次,建築物,-,大正,20140425,-,-,-,-
中央区,日本橋小網町,-,東京都中央区日本橋小網町10-5,35.682680,139.780800,喜代川店舗,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20180510,-,-,-,-
中央区,新富１丁目,-,東京都中央区新富町一丁目11-3他,35.672110,139.774600,新富町躍金楼店舗,-,登録有形文化財(建造物),産業3次,建築物,-,昭和中,20180510,-,-,-,-
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-16-8,35.694520,139.785500,玉置文治郎ビル,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20050209,-,-,-,-
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町9-3,35.688870,139.781900,ハリオグラスビル,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20030701,-,-,ハリオテック株式会社,-
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目5-60他,35.676130,139.771200,繭山龍泉堂店舗,-,登録有形文化財(建造物),産業3次,建築物,-,昭和中,20180510,-,-,株式会社繭山龍泉堂,-
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-5-2,35.685100,139.781800,よし梅芳町亭,-,登録有形文化財(建造物),住宅,建築物,-,昭和前,20020821,-,-,-,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692760,139.752500,旧江戸城清水門,櫓門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,-,江戸前期,19610607,-,-,国(文部科学省),-
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692780,139.752800,旧江戸城清水門,清水門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,-,江戸前期,19610607,-,-,国(文部科学省),-
千代田区,皇居外苑,-,東京都千代田区皇居外苑,35.678620,139.753700,旧江戸城外桜田門,櫓門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,-,江戸中期,19610607,-,-,国(環境省),皇居外苑管理事務所
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.694280,139.749300,旧江戸城田安門,田安門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,-,江戸前期,19610607,-,-,国(文部科学省),-
千代田区,皇居外苑,-,東京都千代田区皇居外苑,35.678550,139.753600,旧江戸城外桜田門,外桜田門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,-,江戸中期,19610607,-,-,国(環境省),-
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.694050,139.749300,旧江戸城田安門,櫓門,国宝・重要文化財(建造物),重要文化財,近世以前／城郭,-,江戸前期,19610607,-,-,国(文部科学省),-
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.689630,139.750400,旧近衛師団司令部庁舎,-,国宝・重要文化財(建造物),重要文化財,近代／官公庁舎,-,明治,19721002,-,-,独立行政法人国立美術館,-
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目1番地2号,35.677866,139.747577,水準原点,原点,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,明治,20191227,-,-,国（国土交通省）,-
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目1番地2号,35.677866,139.747577,水準原点,掩蓋,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,明治,20191227,-,-,国（国土交通省）,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目1番3号,35.681380,139.766000,東京駅丸ノ内本屋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,大正,20030530,-,-,東日本旅客鉄道株式会社,-
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台四丁目1番3号,35.697990,139.765500,日本ハリストス正教会教団復活大聖堂（ニコライ堂）,-,国宝・重要文化財(建造物),重要文化財,近代／宗教,-,明治,19620621,-,-,日本ハリストス正教会教団,-
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関一丁目1番1号,35.676400,139.753300,法務省旧本館,-,国宝・重要文化財(建造物),重要文化財,近代／官公庁舎,-,明治,19941227,-,-,国（法務省）,-
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内二丁目1番1号,35.678960,139.761600,明治生命保険相互会社本社本館,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,19970529,-,-,明治生命保険相互会社,-
千代田区,丸の内３丁目,大丸有,出光美術館　東京都千代田区丸の内3-1-1,35.676750,139.761100,赤楽兎文香合〈光悦作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,20120906,-,出光美術館,公益財団法人出光美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690250,139.753800,吾妻鏡（北条本）,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,室町～江戸,19930120,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台2-9,35.696780,139.763200,医心方〈巻第廿ニ／〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,平安,19330123,-,一般財団法人石川武美記念図書館,一般財団法人石川武美記念図書館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,色絵花鳥文八角大壺〈伊万里／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸時代,20000627,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,色絵罌粟文茶壺〈仁清作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,19600609,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,色絵鳳凰文壺〈仁清作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,19310119,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-1,35.697710,139.761700,岩宿遺跡出土品,-,国宝・重要文化財(美術品),重要文化財,考古資料,日本,旧石器,19750612,-,明治大学,明治大学,-
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1,35.695690,139.742100,謡本〈百二十番／（車屋本）鳥養道晰筆〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,桃山,19600609,-,法政大学,法政大学,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,絵唐津芦文壺,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,桃山,20080710,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,絵唐津柿文三耳壺,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,20050609,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-9,35.700970,139.758500,絵唐津松樹文大皿,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,19770611,-,梅澤記念館,梅澤記念館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園三ー二,35.690270,139.753800,江戸幕府書物方関係資料,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸時代,20181031,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.690560,139.754700,エロシェンコ像〈中村　彜筆　一九二〇年／油絵　麻布〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19770611,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,永田町１丁目,赤坂,東京都千代田区永田町1-10-1,35.678590,139.744300,小野蘭山関係資料,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸時代,20150904,-,国立国会図書館,国,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690250,139.753800,阿蘭陀本草和解〈野呂玄丈抄訳／〉,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19990607,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,丸の内３丁目,大丸有,出光美術館　東京都千代田区丸の内3-1-1,35.676750,139.761100,柏木菟蒔絵料紙箱及春日野蒔絵硯箱〈小川破笠作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,20130619,-,出光美術館,公益財団法人出光美術館,-
千代田区,神田駿河台１丁目,-,千代田区神田駿河台1-1,35.697710,139.761700,神奈川県夏島貝塚出土品,-,国宝・重要文化財(美術品),重要文化財,考古資料,日本,縄文,19980630,-,明治大学,明治大学,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690250,139.753800,管見抄〈（第三冊欠）／〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19570219,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞が関3-2-2,35.671326,139.747265,乾漆伎楽面,-,国宝・重要文化財(美術品),重要文化財,彫刻,-,奈良時代,20150904,-,文化庁,国（文化庁）,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690560,139.754700,騎竜観音〈原田直次郎筆　一八九〇年／油絵　麻布〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,近代,20070608,-,東京国立近代美術館,宗教法人護国寺,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,金銀藍絵松樹文蓋物〈尾形乾山作／〉,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,江戸,19870606,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1,35.695690,139.742100,曲舞〈三十番／（車屋本）鳥養道晰筆〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,桃山,19600609,-,法政大学,法政大学,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690250,139.753800,国絵図並郷帳,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,江戸,19830606,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690250,139.753800,元版全相平話,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,中国,元,19550622,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,絹本著色漁釣図〈徐祚筆／〉,-,国宝・重要文化財(美術品),重要文化財,絵画,中国,南宋,19370525,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.690560,139.754700,絹本著色賢首菩薩図〈菱田春草筆／〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,明治,19790606,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,絹本著色更衣美人図〈喜多川歌麿筆／〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,江戸,19990607,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,絹本著色十王図,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,南北朝,19680425,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,絹本著色真言八祖行状図,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,平安,20020626,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.690560,139.754700,絹本著色日高河清姫図〈村上華岳筆／〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19990607,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.690560,139.754700,絹本著色湯女図〈土田麦僊筆／二曲屏風〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19990607,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.690560,139.754700,絹本墨画生々流転図〈横山大観筆／〉,-,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19670615,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,永田町１丁目,赤坂,東京都千代田区永田町1-10-1,35.678590,139.744300,弘安礼節,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,20140821,-,国立国会図書館,国（国会図書館保管）,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690250,139.753800,公文録（図表共）並索引,-,国宝・重要文化財(美術品),重要文化財,歴史資料,日本,明治,19980630,-,独立行政法人国立公文書館,独立行政法人国立公文書館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,虎関師錬筆消息〈六月十八日／檀溪心涼宛〉,-,国宝・重要文化財(美術品),重要文化財,古文書,日本,鎌倉,19490530,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676750,139.761100,古今和歌集巻第一断簡〈（高野切）／（寛平の）〉,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,平安,20130619,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-9,35.700970,139.758500,古瀬戸黄釉巴文壺,-,国宝・重要文化財(美術品),重要文化財,工芸品,日本,鎌倉,19530331,-,梅澤記念館,梅澤記念館,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676590,139.760700,古文孝経（金沢文庫本）,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19760605,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台2-9,35.696780,139.763200,古葉略類聚鈔,-,国宝・重要文化財(美術品),重要文化財,書跡・典籍,日本,鎌倉,19311214,-,一般財団法人石川武美記念図書館,一般財団法人石川武美記念図書館,-
