指標名,ミシュラン掲載レストラン,,,,,,,★★★,三つ星:そのために旅行する価値のある卓越した料理,,,,,,,,,
出典,ミシュランガイド東京 2022,,,,,,,★★,二つ星:遠回りしてでも訪れる価値のある素晴らしい料理,,,,,,,,,
年次,2022年,,,,,,,★,一つ星:近くに訪れたら行く価値のある優れた料理,,,,,,,,,
URL,https://clubmichelin.jp/search/restaurant/?rg=1,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,,,,,,,,,
備考,（2019年：318件、2020年：322件、2021年度：318件）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,定休日,価格帯,新規掲載,個室あり,駐車場,ベジタリアンメニュー,車椅子対応,要予約,URL,TEL
中央区,銀座８丁目,-,東京都中央区銀座 8-3-1 銀座時傳 6F,35.669233,139.759195,青空,寿司,★★,"月曜～土曜の昼, 日曜","夜＝30,000-45,000円",-,〇,-,-,-,〇,-,050-5486-9488
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町 1-3 紀尾井テラス 3F,35.679695,139.736948,赤坂 桃の木,中国料理,★,水曜,"昼＝13,000-37,000円　夜＝19,000-37,000円",-,〇,-,-,〇,〇,https://momonoki.tokyo/,050-3155-1309
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内 1-1-1 パレスホテル 6F,35.684591,139.761461,エステール,フランス料理,★,不定休,"昼＝10,000-34,000円　夜＝21,000-34,000円",-,〇,〇,-,〇,〇,https://www.palacehoteltokyo.com/,03-3211-5317
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町 3-4-11,35.686293,139.78128,かつ好,とんかつ,ビブグルマン,日曜,"昼＝2,000-7,500円　夜＝2,000-7,500円",-,-,-,-,-,〇,http://www.katuyoshi.com/,050-5488-2528
新宿区,白銀町,-,東京都新宿区白銀町 12-5,35.70312,139.739301,中国菜 智林,中国料理,ビブグルマン,月曜,"昼＝2,000-8,000円　夜＝5,000-8,000円",-,-,-,-,-,〇,-,050-5487-9120
中央区,銀座８丁目,-,東京都中央区銀座 8-8-3 東京銀座資生堂ビル 10F,35.668555,139.761853,ファロ,イタリア料理,★,"月曜, 日曜","昼＝7,500-11,000円　夜＝17,000円",-,〇,-,〇,-,〇,https://faro.shiseido.co.jp/,050-5492-8133
港区,南青山２丁目,-,東京都港区南青山 2-6-15,35.671532,139.722029,NARISAWA,イノベーティブ,★★,"月曜, 日曜","昼＝25,000-37,000円　夜＝43,000円",-,-,-,〇,〇,〇,http://www.narisawa-yoshihiro.com/,050-5488-0446
港区,赤坂６丁目,赤坂,東京都港区赤坂 6-3-8 高松ビル B1F,35.670932,139.735669,アニコ,イタリア料理,ビブグルマン,"月曜～金曜の昼, 日曜","昼＝1,500-3,500円　夜＝5,000-7,000円",-,-,-,-,-,〇,https://www.aniko-akasaka.com/,050-5488-3018
中央区,銀座１丁目,-,東京都中央区銀座 1-5-6 銀座レンガ通り福神ビル 2F,35.674816,139.767269,ドミニク・ブシェ,フランス料理,★,不定休,"昼＝13,000-17,000円　夜＝17,000-23,000円",-,〇,-,-,-,〇,https://www.dominique-bouchet.jp/,050-5487-1248
中央区,銀座５丁目,-,東京都中央区銀座 5-14-14 サンリット銀座ビルⅢ 9F,35.668644,139.766947,薪焼 銀座おのでら,フランス料理,★,不定休,"昼＝8,000-17,000円　夜＝27,000-37,000円",-,〇,-,-,-,〇,https://onodera-group.com/makiyaki/,03-6264-3644
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町 3-13-5,35.687182,139.783002,玄冶店 濱田家,日本料理,★,"月曜～火曜の昼, 金曜の昼, 日曜","昼＝19,000-32,000円　夜＝40,000-66,000円",-,〇,-,-,-,〇,https://www.hamadaya.info/,03-3661-5940
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂 5-43-2,35.702245,139.739401,エンジン,中国料理,ビブグルマン,"火曜の昼, 木曜の昼, 日曜","昼＝2,000-3,500円　夜＝5,000-8,000円",-,-,-,-,-,〇,-,050-5487-0639
中央区,日本橋小網町,-,東京都中央区日本橋小網町 11-9,35.682621,139.781124,ロットチェント,イタリア料理,ビブグルマン,不定休,"昼＝1,500-4,000円　夜＝4,000-6,000円",-,-,-,-,-,-,http://www.lottocento.tokyo/,050-5487-6818
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町 27-5,35.680121,139.787046,天麩羅 つじ村,天ぷら,ビブグルマン,"土曜の夜, 日曜","昼＝1,500-5,500円　夜＝3,000-8,000円",-,-,-,-,-,-,-,050-5487-7536
中央区,銀座５丁目,-,東京都中央区銀座 5-5-13 坂口ビル 9F,35.671169,139.763178,てんぷら 近藤,天ぷら,★★,日曜,"昼＝9,000-13,000円　夜＝15,000-24,000円",-,-,-,-,-,〇,https://tempura-kondo.com/,03-5568-0923
港区,麻布十番２丁目,-,東京都港区麻布十番 2-4-8 麻布十番舘 2F,35.655753,139.734778,プリンチピオ,イタリア料理,★,"月曜, 火曜～金曜の昼","昼＝8,500-11,000円　夜＝9,500-13,000円",-,-,-,-,-,〇,https://www.principio.net/,050-5487-1710
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町 2-2-32,35.696322,139.756989,アルテレーゴ,イタリア料理,★,"月曜, 火曜～日曜の昼","夜＝19,000円",-,〇,-,-,-,〇,-,050-5488-5262
渋谷区,西原３丁目,-,東京都渋谷区西原 3-2-3,35.670459,139.682468,ジーテン,中国料理,ビブグルマン,"月曜の昼, 火曜, 水曜～日曜の昼","夜＝4,000-7,000円",-,-,-,-,-,〇,-,03-3469-9333
江東区,富岡１丁目,-,東京都江東区富岡 1-24-11,35.670384,139.798542,トラットリア ブカ・マッシモ,イタリア料理,ビブグルマン,"月曜, 火曜～金曜の昼","昼＝2,000-3,500円　夜＝4,000-6,000円",-,-,-,-,-,〇,https://bucamassimo.jp/,050-5488-2927
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-22-3,35.648593,139.717877,中華香彩 ジャスミン,中国料理,ビブグルマン,不定休,"昼＝1,000-4,000円　夜＝5,000-9,000円",-,-,-,-,-,〇,https://jasmine310.com/,050-5487-5833
中央区,銀座６丁目,-,東京都中央区銀座 6-8-7 交詢ビル 4F,35.67013,139.762859,スリオラ,スペイン料理,★★,月曜,"昼＝11,000-28,000円　夜＝22,000-28,000円",-,〇,-,-,-,〇,http://zurriola.jp/,050-5484-3882
港区,西麻布４丁目,-,東京都港区西麻布 4-11-25 モダンフォルム西麻布ビルパートⅢ 2F,35.659103,139.722335,常,日本料理,★,"月曜～土曜の昼, 日曜","夜＝31,000-37,000円",-,〇,-,-,-,〇,-,050-5487-8111
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町 1-16-4,35.695355,139.770796,眠庵,蕎麦,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝1,500-3,000円",-,-,-,-,-,〇,http://www.nemurian.net/,050-5486-9097
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町 2-1-1 マンダリン オリエンタル 38F,35.686393,139.772921,ピッツァバー on 38th,ピッツァ,ビブグルマン,不定休,"昼＝5,000-8,000円　夜＝5,000-8,000円",-,-,〇,-,-,〇,https://www.mandarinoriental.co.jp/,0120-806-823
港区,赤坂６丁目,赤坂,東京都港区赤坂 6-13-8,35.669918,139.734083,赤坂 菊乃井,日本料理,★★,日曜,"昼＝14,000円　夜＝19,000-37,000円",-,〇,-,-,-,〇,https://kikunoi.jp/,03-3568-6055
千代田区,富士見２丁目,-,東京都千代田区富士見 2-12-16,35.698874,139.74459,餃子の店 おけ以,餃子,ビブグルマン,日曜,"昼＝1,000-3,000円　夜＝1,000-3,000円",-,-,-,-,-,-,https://www.okei-gyoza.com/,050-5487-1154
港区,麻布十番３丁目,-,東京都港区麻布十番 3-1-9,35.653251,139.736378,天のや,お好み焼,ビブグルマン,火曜,"夜＝2,000-4,000円",-,-,-,-,-,〇,https://amano-ya.jp/,050-5487-3817
千代田区,外神田１丁目,-,東京都千代田区外神田 1-8-14,35.699138,139.769727,丸五,とんかつ,ビブグルマン,"月曜, 火曜","昼＝2,000-3,000円　夜＝2,000-3,000円",-,-,-,-,-,-,-,050-5487-4038
中央区,日本橋兜町,-,東京都中央区日本橋兜町 1-4,35.682829,139.779307,アサヒナガストロノーム,フランス料理,★★,"月曜～火曜の昼, 水曜, 木曜の昼","昼＝15,000円　夜＝28,000円",-,〇,-,-,-,〇,https://asahinagastronome.com/,03-5847-9600
港区,赤坂６丁目,赤坂,東京都港区赤坂 6-3-13,35.67086,139.735244,赤坂 おぎ乃,日本料理,★,"月曜～土曜の昼, 日曜","夜＝28,000-33,000円",-,-,-,-,-,〇,-,050-5494-2191
港区,麻布十番３丁目,-,東京都港区麻布十番 3-3-10,35.653634,139.735551,すし家 祥太,寿司,★,水曜,"昼＝16,000円　夜＝16,000円",-,-,-,-,-,〇,-,03-6722-6588
中央区,銀座２丁目,-,東京都中央区銀座 2-6-5 銀座トレシャス 12F,35.673677,139.767272,アロマフレスカ,イタリア料理,★,"月曜～火曜の昼, 日曜","昼＝13,000円　夜＝20,000-25,000円",-,-,-,-,-,〇,http://www.aromafresca-afsa.com/,050-5487-2688
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町 1-33-6 ビューハイツ日本橋 B1F,35.681871,139.784962,日本橋蛎殻町 すぎた,寿司,★★,"月曜, 火曜","昼＝37,000円　夜＝37,000円",-,〇,-,-,-,〇,-,050-5487-0225
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場 2-9-12,35.712163,139.707951,ラミティエ,フランス料理,ビブグルマン,"月曜, 日曜の夜","昼＝1,500-2,000円　夜＝4,000円",-,-,-,-,-,〇,-,050-5487-3729
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前 2-5-4 Seizan外苑 B1F,35.672348,139.713549,フロリレージュ,フランス料理,★★,水曜,"昼＝9,500-19,000円　夜＝19,000円",-,-,-,-,-,〇,https://www.aoyama-florilege.jp/,050-5487-6475
中央区,銀座８丁目,-,東京都中央区銀座 8-7-6 平つかビル 3F,35.668505,139.761245,鮨 くわ野,寿司,★,"月曜～土曜の昼, 日曜","夜＝33,000円",-,-,-,-,-,〇,-,050-5487-3114
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町 2-1-1 マンダリン オリエンタル 38F,35.686393,139.772921,タパス モラキュラーバー,イノベーティブ,★,"月曜の昼, 火曜, 水曜, 木曜～日曜の昼","夜＝30,000円",-,-,〇,-,〇,〇,https://www.mandarinoriental.co.jp/,0120-806-823
渋谷区,代々木３丁目,-,東京都渋谷区代々木 3-37-1,35.681833,139.693392,キノシタ,フランス料理,ビブグルマン,月曜,"昼＝3,000-7,000円　夜＝5,000-9,000円",〇,-,-,-,-,〇,http://www.restaurant-kinoshita.com/,050-5487-0443
港区,麻布十番２丁目,-,東京都港区麻布十番 2-7-2,35.655923,139.733548,麻布 かどわき,日本料理,★★★,"月曜～土曜の昼, 日曜","夜＝26,000-70,000円",-,〇,-,-,-,〇,-,-
中央区,銀座７丁目,-,東京都中央区銀座 7-5-5,35.669827,139.761298,ロオジエ,フランス料理,★★★,"月曜, 日曜","昼＝13,000-31,000円　夜＝26,000-44,000円",-,〇,〇,-,-,〇,https://losier.shiseido.co.jp/,0120-156-051
新宿区,荒木町,-,東京都新宿区荒木町 10-14,35.689533,139.722584,燗コーヒー 藤々,居酒屋,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-8,000円",-,-,-,-,-,〇,-,050-5487-6694
渋谷区,猿楽町,-,東京都渋谷区猿楽町 2-5,35.653011,139.704789,アタ,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-8,000円",-,-,-,-,-,〇,http://ata1789.com/,050-5487-6287
中央区,銀座５丁目,-,東京都中央区銀座 5-4-8 カリオカビル B1F,35.671424,139.763009,銀座 奥田,日本料理,★,"月曜の昼, 木曜の昼, 日曜","昼＝17,000-20,000円　夜＝30,000円",-,〇,-,-,-,〇,https://www.ginzaokuda.com/,03-5537-3338
港区,南青山２丁目,-,東京都港区南青山 2-11-11,35.67129,139.721068,鮨 龍次郎,寿司,★,日曜,"昼＝17,000-28,000円　夜＝28,000円",〇,〇,-,-,-,〇,-,050-5492-6729
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-25-4 宝ビル 1F,35.647898,139.721144,天てんぷら うち津,天ぷら,★★,不定休,"夜＝31,000円",-,-,-,-,-,〇,http://tempura-uchitsu.com/,050-5494-2581
新宿区,神楽坂４丁目,-,東京都新宿区神楽坂 4-3-11 神楽坂つなしょうテラス 2F,35.701809,139.740018,ふしきの,日本料理,★,"月曜～土曜の昼, 日曜","夜＝19,000-22,000円",-,〇,-,-,-,〇,https://fushikino.com/,03-3269-4556
港区,芝大門１丁目,-,東京都港区芝大門 1-2-2,35.660181,139.754546,御成門 はる,日本料理,★,不定休,"夜＝22,000円",-,〇,-,-,-,〇,-,050-5494-5552
港区,南青山７丁目,-,東京都港区南青山 7-13-13 フォレストビル B1F,35.657094,139.718013,七鳥目,焼鳥,★,"月曜～金曜の昼, 土曜, 日曜","夜＝8,500円",-,-,-,-,-,〇,https://7chome.jimdofree.com/,050-5487-1568
品川区,上大崎２丁目,-,東京都品川区上大崎 2-14-12,35.63428,139.716903,鳥しき,焼鳥,★,"月曜, 火曜～土曜の昼, 日曜","夜＝8,000-10,000円",-,-,-,-,-,〇,-,03-3440-7656
港区,赤坂３丁目,赤坂,東京都港区赤坂 3-12-2 赤坂慶和ビル 3F,35.674021,139.737808,茜坂大沼,日本料理,★,"月曜の昼, 日曜","昼＝2,000-19,000円　夜＝11,000-19,000円",〇,〇,-,-,-,〇,https://akanezakaonuma.jp/,050-5484-0937
中央区,京橋２丁目,日八京,東京都中央区京橋 2-5-2,35.676438,139.770422,京橋 てんぷら 深町,天ぷら,★,月曜,"昼＝9,500-15,000円　夜＝18,000-23,000円",-,-,-,-,-,〇,-,050-5487-3330
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町 2-22-11,35.686312,139.784566,日本橋 蕎ノ字,天ぷら,★,不定休,"昼＝21,000円　夜＝21,000円",-,-,-,-,-,〇,http://www.sonoji.info/,050-5487-6659
品川区,上大崎２丁目,-,東京都品川区上大崎 2-18-25,35.636852,139.714322,ビストロカニッシュ,フランス料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝5,000-8,000円",〇,-,-,-,-,〇,https://www.bistrocaniche.com/,050-5487-4701
新宿区,住吉町,-,東京都新宿区住吉町 2-18,35.692099,139.721514,曙橋 まる富,日本料理,★,"月曜～土曜の昼, 日曜","夜＝19,000円",-,-,-,-,-,〇,-,050-5487-6566
中央区,銀座７丁目,-,東京都中央区銀座 7-8-13 Brown Place 9F,35.668911,139.761937,鮨 よしたけ,寿司,★★★,"月曜～金曜の昼, 日曜","昼＝38,000円　夜＝38,000円",-,〇,-,-,-,〇,http://sushi-yoshitake.com/,03-6253-7331
中央区,銀座７丁目,-,東京都中央区銀座 7-4-5 銀座745ビル 3F,35.67015,139.761131,銀座 きた福,蟹料理,★,不定休,"昼＝30,000-70,000円　夜＝30,000-70,000円",-,〇,-,-,-,〇,https://kanikitafuku.com/,050-5487-1232
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町 16-3,35.688087,139.784396,YAMATO,居酒屋,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝4,500-7,000円",-,-,-,-,-,〇,https://www.8010tokyo.com/,050-5487-9091
新宿区,納戸町,-,東京都新宿区納戸町 22,35.698076,139.732463,ル・マンジュ・トゥー,フランス料理,★,"月曜～土曜の昼, 日曜","夜＝22,000円",-,-,-,-,-,〇,https://www.le-mange-tout.com/,050-5487-4365
港区,新橋５丁目,虎ノ門広域,東京都港区新橋 5-32-4,35.662434,139.754746,荒井商店,ペルー料理,ビブグルマン,日曜,"昼＝1,000-3,500円　夜＝4,000-6,000円",-,-,-,-,-,-,-,050-5494-3906
渋谷区,代官山町,-,東京都渋谷区代官山町 12-19 第3横芝ビル B1F,35.650811,139.703512,アロセリア サル イ アモール,スペイン料理,ビブグルマン,不定休,"昼＝2,500-5,000円　夜＝4,000-6,000円",-,-,-,-,-,〇,http://salyamor.com/,050-5486-5771
港区,赤坂６丁目,赤坂,東京都港区赤坂 6-4-15,35.670285,139.734314,コム・ア・ラ・メゾン,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-9,000円",-,-,-,-,-,〇,-,03-3505-3345
港区,南麻布４丁目,-,東京都港区南麻布 4-7-5,35.649576,139.728346,茶禅華,中国料理,★★★,不定休,"夜＝34,000-73,000円",-,〇,-,-,-,〇,https://sazenka.com/,050-5486-8287
港区,六本木６丁目,六本木,東京都港区六本木 6-10-1 六本木ヒルズ ヒルサイド 2F,35.660416,139.729248,ラトリエ ドゥ ジョエル・ロブション,フランス料理,★★,不定休,"昼＝4,000-22,000円　夜＝6,000-22,000円",-,-,-,-,-,〇,https://www.robuchon.jp/,050-5492-5501
港区,南青山４丁目,-,東京都港区南青山 4-9-3,35.667327,139.718335,ランタンポレル,フランス料理,★,"月曜, 火曜の昼","昼＝7,000円　夜＝14,000円",-,〇,-,-,-,〇,http://lintemporel.jp/,050-5487-0750
港区,南青山３丁目,-,東京都港区南青山 3-2-4 セントラル青山 No.6 B1F,35.667815,139.717196,天ぷら 元吉,天ぷら,★,"月曜～土曜の昼, 日曜","夜＝22,000円",-,-,-,-,-,〇,http://motoyoshi-1120.com/,03-3401-0722
港区,白金５丁目,-,東京都港区白金 5-7-8,35.644488,139.727682,鮨 まつうら,寿司,★,"月曜～金曜の昼, 日曜","昼＝17,000円　夜＝17,000円",〇,-,-,-,-,〇,-,050-5492-7882
港区,芝大門１丁目,-,東京都港区芝大門 1-6-5,35.657928,139.754149,レ ジャルダン デ ドディーヌ,フランス料理,ビブグルマン,日曜,"昼＝1,500-2,500円　夜＝3,000-5,000円",-,-,-,-,-,-,-,050-5488-4376
中央区,銀座１丁目,-,東京都中央区銀座 1-21-2,35.672772,139.771086,ラ・ベットラ・ダ・オチアイ,イタリア料理,ビブグルマン,"月曜, 日曜","昼＝2,500-4,000円　夜＝5,000-7,000円",-,〇,-,-,-,〇,http://www.la-bettola.co.jp/,050-5486-8917
港区,愛宕２丁目,虎ノ門,東京都港区愛宕 2-3-1 フォレストタワー 2F,35.663458,139.748924,醍醐,精進料理,★★,不定休,"昼＝16,000-25,000円　夜＝19,000-25,000円",-,〇,〇,〇,-,〇,http://www.atago-daigo.jp/,03-3431-0811
中央区,銀座４丁目,-,東京都中央区銀座 4-12-2,35.670041,139.768114,木挽町 とも樹,寿司,★★,"月曜～火曜の昼, 水曜, 木曜～土曜の昼, 日曜","夜＝38,000-43,000円",-,〇,-,-,-,〇,http://www.sushi-tomoki.jp/,050-5487-6713
港区,六本木６丁目,六本木,東京都港区六本木 6-12-3 六本木ヒルズレジデンス C棟 3F,35.658856,139.730081,ラ・ブリアンツァ,イタリア料理,ビブグルマン,不定休,"昼＝3,000-8,000円　夜＝6,000-9,000円",-,〇,-,-,-,〇,http://www.la-brianza.com/,050-5486-8764
品川区,南大井３丁目,-,東京都品川区南大井 3-11-5,35.590755,139.735386,まき村,日本料理,★★★,"月曜～土曜の昼, 日曜","夜＝27,000円",-,〇,-,-,-,〇,-,03-3768-6388
港区,六本木６丁目,六本木,東京都港区六本木 6-12-2 六本木ヒルズ レジデンス B棟 3F,35.658789,139.729251,すきやばし 次郎 六本木店,寿司,★★,水曜,"昼＝25,000-30,000円　夜＝33,000-39,000円",-,-,-,-,-,〇,-,03-5413-6626
中央区,銀座６丁目,-,東京都中央区銀座 6-7-6 ラペビル 9F,35.670511,139.762742,銀座 やまの辺 江戸中華,中国料理,★,日曜,"昼＝34,000-40,000円　夜＝34,000-40,000円",-,〇,-,-,-,〇,http://ginza-yamanobe.com/,050-5487-3433
新宿区,荒木町,-,東京都新宿区荒木町 1-1 2F,35.688883,139.721931,荒木町 ろっかん,日本料理,ビブグルマン,不定休,"昼＝5,000-9,500円　夜＝5,000-9,500円",-,-,-,-,-,〇,-,050-5494-2205
中央区,銀座５丁目,-,東京都中央区銀座 5-4-8 カリオカビル 4F,35.671424,139.763009,銀座 小十,日本料理,★★,日曜,"昼＝25,000-30,000円　夜＝37,000-45,000円",-,〇,-,-,-,〇,http://www.kojyu.jp/,03-6215-9544
港区,赤坂６丁目,赤坂,東京都港区赤坂 6-3-9,35.670724,139.735608,炭火割烹 白坂,日本料理,★,"月曜～土曜の昼, 日曜","夜＝19,000円",-,〇,-,-,-,〇,https://shirosaka.jp/,050-5494-3031
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町 1-6 サンビル B1F,35.696183,139.759347,スマトラカレー 共栄堂,カレー,ビブグルマン,日曜,"昼＝1,000-3,000円　夜＝1,000-3,000円",-,-,-,-,-,-,https://www.kyoueidoo.com/,03-3291-1475
新宿区,荒木町,-,東京都新宿区荒木町 1 なかばやしビル 2F,35.688891,139.72187,懐石 大原,日本料理,★,"月曜～火曜の昼, 木曜～金曜の昼, 日曜","昼＝8,500-13,000円　夜＝13,000-19,000円",-,-,-,-,-,〇,-,03-6380-5223
港区,白金３丁目,-,東京都港区白金 3-14-10,35.64516,139.728149,ラ クレリエール,フランス料理,★,木曜,"昼＝9,000-28,000円　夜＝20,000-28,000円",-,-,-,-,-,〇,https://www.la-clairiere.tokyo/,050-5487-3921
港区,三田２丁目,-,東京都港区三田 2-17-29 グランデ三田 B1F,35.647446,139.740161,晴山,日本料理,★★,"月曜, 火曜～水曜の昼, 日曜","昼＝18,000円　夜＝31,000-50,000円",-,-,-,-,-,〇,https://seizan-mita.com/,050-5487-2679
港区,西麻布４丁目,-,東京都港区西麻布 4-11-14 Fleg 西麻布 Vierge B1F,35.658175,139.722682,臼杵ふぐ 山田屋,ふぐ,★★,"月曜～土曜の昼, 日曜","夜＝29,000-41,000円",-,〇,-,-,-,〇,https://www.usukifugu-yamadaya.jp/,03-3499-5501
新宿区,荒木町,-,東京都新宿区荒木町 11-8,35.690535,139.723384,和食と和酒 おがた,日本料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝5,000-8,000円",〇,-,-,-,-,〇,https://wasyoku-wasyuogata.com/,03-3351-7761
渋谷区,本町１丁目,-,東京都渋谷区本町 1-58-7,35.682041,139.682343,すし 宗達,寿司,ビブグルマン,不定休,"夜＝4,000-8,000円",-,-,-,-,-,〇,-,050-5494-4066
港区,新橋２丁目,虎ノ門広域,東京都港区新橋 2-15-13,35.666466,139.756287,ティキ プラカ,スペイン料理,ビブグルマン,不定休,"夜＝4,000-5,000円",-,-,-,-,-,〇,-,050-5487-6987
港区,赤坂１丁目,虎ノ門,東京都港区赤坂 1-12-33 ANA インターコンチネンタルホテル 36F,35.66823,139.741088,ピエール・ガニェール,フランス料理,★★,月曜,"昼＝9,000-19,000円　夜＝28,000-38,000円",-,〇,〇,-,〇,〇,https://anaintercontinental-tokyo.jp/,03-3505-9505
品川区,北品川６丁目,-,東京都品川区北品川 6-7-29 ガーデンシティ品川御殿山 1F,35.623928,139.733633,カンテサンス,フランス料理,★★★,"月曜～土曜の昼, 日曜","夜＝33,000円",-,〇,-,-,〇,〇,https://www.quintessence.jp/,03-6277-0090
渋谷区,代々木４丁目,-,東京都渋谷区代々木 4-6-2 宍戸ビル B1F,35.678339,139.692945,レガーロ,イタリア料理,★,月曜,"昼＝9,500-11,000円　夜＝9,500-11,000円",-,-,-,-,-,〇,http://www.regalo-ristorante.com/,050-5486-5057
中央区,銀座３丁目,-,東京都中央区銀座 3-9-18,35.67173,139.767819,王十里 サランチェ,韓国料理,ビブグルマン,日曜,"昼＝1,000-1,500円　夜＝3,000-5,000円",-,-,-,-,-,-,-,03-3543-2525
新宿区,新宿２丁目,-,東京都新宿区新宿 2-4-1,35.688771,139.70824,SOBAHOUSE 金色不如帰,ラーメン,★,"土曜, 日曜","昼＝1,000-1,500円　夜＝1,000-1,500円",-,-,-,-,-,-,https://sobahousekonjikihototogisu.com/,050-5486-9527
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西 2-13-16,35.650892,139.70602,タクボ,イタリア料理,★,"月曜～土曜の昼, 日曜","夜＝22,000円",-,〇,-,-,-,〇,https://tacubo.com/,050-5486-5511
中央区,新富１丁目,-,東京都中央区新富 1-8-2,35.672933,139.774458,鮨 はしもと,寿司,★,"火曜, 水曜","昼＝28,000円　夜＝28,000円",-,〇,-,-,-,〇,-,050-5488-2603
品川区,東五反田１丁目,-,東京都品川区東五反田 1-12-9 イルヴィアーレ五反田ビル 2F,35.626712,139.724913,炭焼き よし鳥,焼鳥,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-7,000円",-,〇,-,-,-,〇,-,03-5793-5050
渋谷区,代官山町,-,東京都渋谷区代官山町 14-10 LUZ代官山 B1F,35.650009,139.704237,ファロ,イタリア料理,ビブグルマン,"月曜～水曜の昼, 木曜, 金曜～日曜の昼","夜＝5,000-7,000円",-,-,-,-,-,〇,https://falo-daikanyama.com/,050-5488-2790
新宿区,四谷１丁目,-,東京都新宿区四谷 1-8 中川ビル B1F,35.686522,139.72843,おでんや den,おでん,ビブグルマン,"月曜～金曜の昼, 土曜, 日曜","夜＝3,000-5,000円",-,-,-,-,-,〇,-,03-5379-8573
中央区,銀座１丁目,-,東京都中央区銀座 1-27-8,35.67273,139.772044,ビストロ・シンバ,フランス料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝6,000-9,000円",-,-,-,-,-,〇,http://bistrosimba.jp/,050-5486-7846
港区,南青山３丁目,-,東京都港区南青山 3-4-6,35.667235,139.717263,いち太,日本料理,★,"月曜～土曜の昼, 日曜","夜＝31,000円",-,〇,-,-,-,〇,https://www.tokyoichita.com/,050-5492-5082
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂 1-11-8,35.700351,139.742043,中国菜 膳楽房,中国料理,ビブグルマン,月曜,"昼＝1,000-7,000円　夜＝4,000-7,000円",-,-,-,-,-,〇,-,050-5484-2938
品川区,小山３丁目,-,東京都品川区小山 3-22-7,35.618782,139.706365,もち豚とんかつ たいよう,とんかつ,ビブグルマン,"月曜, 金曜","昼＝1,500-3,000円　夜＝2,000-3,000円",-,-,-,-,-,-,http://mochibutataiyou.web.fc2.com/,03-3786-1464
新宿区,荒木町,-,東京都新宿区荒木町 3-21 宮内ビル 2F,35.688624,139.722753,多仁本,日本料理,★,"月曜～火曜の昼, 木曜～金曜の昼, 日曜","昼＝20,000円　夜＝20,000円",-,-,-,-,-,〇,-,050-5487-0472
港区,西麻布１丁目,-,東京都港区西麻布 1-11-10,35.660444,139.72429,Takumi,フランス料理,★,"月曜, 日曜","昼＝8,000円　夜＝16,000円",-,〇,-,-,-,〇,https://restaurant-takumi.com/,050-5486-7090
千代田区,内幸町１丁目,-,東京都千代田区内幸町 1-1-1 帝国ホテル本館 M2F,35.672127,139.758928,レ セゾン,フランス料理,★,不定休,"昼＝9,500-48,000円　夜＝24,000-48,000円",-,〇,〇,-,〇,〇,https://www.imperialhotel.co.jp/,050-5484-1286
中央区,月島３丁目,-,東京都中央区月島 3-9-7,35.663204,139.781438,由庵 矢もり,蕎麦,★,不定休,"昼＝10,000円　夜＝10,000円",-,〇,-,-,-,〇,-,050-5487-6781
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前 2-17-6,35.67249,139.710099,ベポカ,ペルー料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-9,000円",-,-,-,-,-,〇,https://www.bepocah.com/ja/,03-6804-1377
