指標名,観光地,,,,,Tripadvisorの取得範囲の変更について,,,,,
出典,Tripadvisor,,,,,前回までTripadvisorの全観光スポットを取得していたが、2021年度から観光カテゴリーを,,,,,
年次,2022/1/27 取得,,,,,「名所・有名スポット」に絞って情報を取得している、観光スポット全体の件数が昨年から倍増しており、,,,,,
URL,https://www.tripadvisor.jp/,,,,,個人名で登録された観光ツアーや、バーなど営業状況が不明な登録地が散見されたため。,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL,
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町,35.69808,139.756314,神田神保町古書店街,主要エリア,4,462件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d605048-Reviews-Kanda_Jimbocho_Bookstore_Area-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,永田町１丁目,赤坂,東京都千代田区永田町1-7-1,35.675893,139.744866,国会議事堂,政府庁舎,4,404件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373708-Reviews-National_Diet_Building-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,北の丸公園,-,東京都千代田区北ノ丸公園2-3,35.693394,139.749823,日本武道館,シアター • アリーナ・スタジアム • コンベンションセンター,4,336件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d553810-Reviews-Nippon_Budokan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田1-1,35.683823,139.753814,二重橋,旧跡 • 名所・有名スポット • 橋,4,337件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d479262-Reviews-Two_tiered_Bridge_Ni_ju_Bashi-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,皇居外苑,-,東京都千代田区皇居外苑,35.676988,139.758881,皇居外苑,歴史散策地区 • 公園,4,357件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d480627-Reviews-Kokyo_Gaien_National_Garden-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,富士見２丁目,-,東京都千代田区富士見2-4-1,35.70006,139.746745,東京大神宮,神社/寺院/教会など,4,450件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1367901-Reviews-Tokyo_Daijingu_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町１丁目,大丸有,東京都千代田区大手町 1-2-1,35.687856,139.763272,平将門の首塚,名所・有名スポット,4,133件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d3247489-Reviews-Masakado_Kubizuka-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内３丁目,大丸有,東京都千代田区丸ノ内 3‐5‐1,35.676946,139.763503,東京国際フォーラム,名所・有名スポット • 建築物 • コンベンションセンター,4,944件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d480630-Reviews-Tokyo_International_Forum-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内３丁目,大丸有,東京都千代田区丸ノ内,35.676652,139.765122,丸の内仲通り,名所・有名スポット,4,127件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d9565563-Reviews-Marunouchi_Naka_Street-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-1,35.698263,139.765377,東京復活大聖堂 (ニコライ堂),旧跡 • 名所・有名スポット • 神社/寺院/教会など,4,236件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373712-Reviews-Holy_Resurrection_Cathedral-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,麹町１丁目,-,東京都千代田区麹町1丁目7−1,35.683498,139.743429,皇居ランニングコース,眺めのよい散策エリア • ジョギングコース,4,232件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2441780-Reviews-Imperial_Palace_Running_Course-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1-9-1 東京駅一番街,35.681185,139.768754,東京キャラクターストリート,名所・有名スポット,4,211件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d9842127-Reviews-Tokyo_Character_Street-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞ケ関 皇居外苑,35.67734,139.75453,外桜田門,旧跡 • 名所・有名スポット,4,130件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d1373709-Reviews-Soto_Sakuradamon_Gate-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,麹町６丁目,-,東京都千代田区麹町 6-5-1,35.684622,139.730972,聖イグナチオ教会,大聖堂,4,29件,https://www.tripadvisor.jp/Attraction_Review-g14129721-d12969454-Reviews-St_Ignatius_Church-Kojimachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1-9,35.680399,139.767177,東京駅丸の内駅前広場,名所・有名スポット • 眺めのよい散策エリア,4.5,55件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d13417227-Reviews-Tokyo_Station_Marunouchi_Ekimae_Hiroba-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefectu.html,　
千代田区,皇居外苑,-,東京都千代田区皇居外苑1-1,35.677868,139.755509,楠木正成像,記念碑＆像,4,149件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8066135-Reviews-Kusunoki_Masashige_Statue-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町2丁目2−10−1,35.674882,139.762044,有楽町歓楽街,主要エリア,4,422件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1899798-Reviews-Yurakucho_District-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内２丁目,大丸有,東京都千代田区丸ノ内 2-1-1,35.679093,139.762258,明治生命館,旧跡 • 名所・有名スポット • 建築物,4,44件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d10781857-Reviews-Meiji_Seimeikan-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-28,35.6931,139.759053,学士会館,名所・有名スポット • 建築物,4,49件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d9563969-Reviews-Gakushi_Kaikan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,35.679695,139.736948,東京ガーデンテラス紀尾井町,名所・有名スポット • 建築物,4,76件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10791486-Reviews-Tokyo_Garden_Terrace_Kioicho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田1-1,35.683823,139.753814,皇居大手門,旧跡,4,60件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8400906-Reviews-Kokyo_Otemon_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台,35.699335,139.76378,お茶の水楽器店街,名所・有名スポット,4,18件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13505910-Reviews-Ochanomizu_Gakkitengai-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞ケ関 1-1-1 法務省赤レンガ棟,35.675646,139.754404,法務省旧本館,建築物,4,37件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d7348704-Reviews-Ministry_of_Justice_Old_Main_Building-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefectu.html,　
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町 1-2-2,35.673566,139.760259,日比谷シャンテ,名所・有名スポット • 建築物 • ショッピングモール,3.5,147件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d1373703-Reviews-Hibiya_Chanter-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,三番町,-,東京都千代田区三番町2,35.690633,139.746604,千鳥ケ淵戦没者墓苑,旧跡 • 墓地,4,48件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2235492-Reviews-Chidorigafuchi_National_Cemetery-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1,35.697599,139.762172,聖橋,橋,3.5,161件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1994504-Reviews-Hijiribashi_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-25-1,35.696753,139.773499,柳森神社,神社/寺院/教会など,3.5,54件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d7371465-Reviews-Yanagimori_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,西神田１丁目,-,東京都千代田区西神田1-1-12,35.699313,139.757608,カトリック神田教会,建築物 • 神社/寺院/教会など • 大聖堂,4,33件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8364049-Reviews-Catholic_Kanda_Church-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,皇居外苑,-,東京都千代田区皇居外苑3,35.683518,139.761133,和田倉門,旧跡,4,29件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10815894-Reviews-Wadakuramon-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1,35.678515,139.765608,行幸通り,名所・有名スポット,4,33件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d12976305-Reviews-Gyokodori-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町 3丁目,35.673288,139.761634,ゴジラ像,記念碑＆像,3.5,77件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d10729226-Reviews-Godzilla_Statue-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町２丁目,大丸有,東京都千代田区大手町 2-6-2 JOB HUB SQUARE 13階,35.684873,139.769327,大手町牧場,牧場,3.5,17件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d14004439-Reviews-Otemachi_Bokujyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町7-1,35.683817,139.7326,上智大学,大学・学校,4,22件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12236163-Reviews-Sophia_University-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞ケ関 2-1-1,35.676846,139.752104,警視庁本部,名所・有名スポット,3.5,47件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d4301775-Reviews-Metropolitan_Police_Deparment_Headquarters-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Pre.html,　
千代田区,千代田,-,東京都千代田区千代田1,35.685562,139.753562,乾門,旧跡 • 建築物,4,9件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15059818-Reviews-Inui_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町 2-5-1,35.67369,139.762514,有楽町マリオン,名所・有名スポット,3.5,103件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d1373704-Reviews-Yurakucho_Marion-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,一ツ橋２丁目,-,東京都千代田区一ッ橋2-1-1,35.691403,139.758478,如水会館,名所・有名スポット • 建築物,4,20件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d9563962-Reviews-Josui_Kaikan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,一ツ橋１丁目,-,東京都千代田区一ッ橋1-1-1,35.691175,139.757178,パレスサイドビルディング,名所・有名スポット • 建築物,3.5,18件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10005597-Reviews-Palace_Side_Building-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町 2-9-18,35.674907,139.76345,南町奉行所跡,旧跡 • 名所・有名スポット,3,43件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d1373702-Reviews-Minami_Machibugyosho_Site-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,永田町１丁目,赤坂,東京都千代田区永田町1-1-1 憲政記念館前,35.678423,139.747151,国会前庭 北庭,旧跡 • 公園,3.5,27件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8368966-Reviews-North_Garden_of_the_Diet_Front_Park-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段北３丁目,-,東京都千代田区九段北3-1-1 靖国神社,35.694038,139.742548,大村益次郎 銅像,名所・有名スポット • 記念碑＆像,3.5,54件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10606536-Reviews-Omura_Masajiro_Statute-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10 日枝神社境内,35.674782,139.74038,山王稲荷神社,神社/寺院/教会など,3.5,12件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13149807-Reviews-Sanno_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町,35.69808,139.756314,神田すずらん通り商店街,名所・有名スポット,3.5,20件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10396572-Reviews-Kanda_Suzuran_Shopping_Street-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞ケ関 1-1-4,35.675171,139.752762,東京地方裁判所,名所・有名スポット,3.5,20件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d8704116-Reviews-Tokyo_District_Court-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1,35.680028,139.737235,弁慶橋,橋,3.5,22件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12074421-Reviews-Benkei_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-25-4,35.697189,139.77026,旧万世橋駅,旧跡 • 名所・有名スポット,3.5,15件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13239344-Reviews-Old_Manseibashi_Station-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段北１丁目,-,東京都千代田区九段北1-14-21,35.696066,139.749981,築土神社,旧跡 • 神社/寺院/教会など,3.5,29件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2268850-Reviews-Tsukudo_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町 1-1-2 東京ミッドタウン日比谷 6F,35.673713,139.759173,パークビューガーデン,展望台・タワー • 庭園,4,9件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d14901794-Reviews-Park_View_Garden-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1,35.680028,139.737235,赤坂見附跡,旧跡,3.5,18件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11710268-Reviews-Akasakamitsuke_Mark-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内２丁目,大丸有,東京都千代田区丸ノ内 2丁目 丸ビルト新丸ビルヲ繋グ地下通路,35.678688,139.764189,行幸地下ギャラリー,名所・有名スポット • 美術館,3.5,19件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d13793778-Reviews-Gyoko_dori_Underground_Gallery-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町２丁目,大丸有,東京都千代田区大手町 2-7-2 常盤橋公園内,35.68552,139.770449,渋沢栄一像,記念碑＆像,3.5,19件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d12538717-Reviews-Shibusawa_Eiichi_Monument-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1-4-6,35.68339,139.764686,日本工業倶楽部会館,名所・有名スポット • 図書館,3.5,19件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d8612080-Reviews-The_Industry_Club_of_Japan_Hall-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1-9-1 東京駅八重洲口 B1F,35.681185,139.768754,銀の鈴,名所・有名スポット,3.5,104件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d8486658-Reviews-Silver_Ring-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,平河町１丁目,-,東京都千代田区平河町1-7-5,35.682428,139.740749,平河天満宮,神社/寺院/教会など,3.5,36件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2015842-Reviews-Hirakawa_Tenmangu_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内３丁目,大丸有,東京都千代田区丸ノ内 3-2-1,35.677415,139.760884,東京會舘,名所・有名スポット,4,11件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d15745859-Reviews-Tokyo_Kaikan-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,皇居外苑,-,東京都千代田区皇居外苑1-1,35.677868,139.755509,千鳥ヶ淵さんぽみち,眺めのよい散策エリア,4,11件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13993845-Reviews-Chidorigafuchi_Promenade-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町,35.681856,139.737849,紀尾井坂,名所・有名スポット,3.5,23件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8762645-Reviews-Kioizaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,永田町１丁目,赤坂,東京都千代田区永田町1-7-1,35.675893,139.744866,参議院,政府庁舎,4,9件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13123385-Reviews-House_of_Councillors-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16,35.702046,139.767607,神田の家 （井政-IMASA-）,名所・有名スポット,3.5,22件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8153531-Reviews-Kanda_House_Imasa-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,北の丸公園,-,東京都千代田区北ノ丸公園,35.690542,139.754642,田安門,旧跡,4,23件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13993781-Reviews-Tayasu_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,富士見２丁目,-,東京都千代田区富士見2,35.699626,139.744878,牛込見附跡,旧跡,3.5,18件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12076210-Reviews-Ushigome_Mitsuke-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町 2-10-1 東京交通会館 B1F,35.674988,139.764367,おおいたアンテナショップ温泉座,名所・有名スポット,4.5,30件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d13816536-Reviews-Oita_Antena_Shop_Onsenza-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-2-3,35.696433,139.763083,太田姫稲荷神社,旧跡 • 神社/寺院/教会など,3.5,33件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8130953-Reviews-Otahime_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内３丁目,大丸有,東京都千代田区丸ノ内 3-2-3,35.677821,139.761472,二重橋スクエア,名所・有名スポット,4,11件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d15612375-Reviews-Nijubashi_Square-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町 1-7,35.674407,139.761414,有楽稲荷神社,神社/寺院/教会など,3.5,18件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d12339259-Reviews-Yuraku_Inari_Shrine-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段南２丁目,-,東京都千代田区九段南2-1-30,35.692136,139.746434,イタリア文化会館,名所・有名スポット,4,13件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10712058-Reviews-Istituto_Italiano_di_Cultura-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段北１丁目,-,東京都千代田区九段北1-15-1,35.69596,139.748603,豪北方面戦歿者慰霊碑,記念碑＆像,3.5,11件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12964668-Reviews-Memorial_for_Victims_of_Battle_in_Australia_Area-Chiyoda_Tokyo_Tokyo_Prefecture.html,　
千代田区,大手町２丁目,大丸有,東京都千代田区大手町 2,35.686323,139.767508,常盤橋,橋,3.5,21件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d10306619-Reviews-Tokiwa_Bridge-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田３丁目,-,東京都千代田区内神田3-10-1,35.691184,139.769402,佐竹稲荷神社,神社/寺院/教会など,3.5,19件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10607651-Reviews-Satakeinari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田２丁目,-,東京都千代田区内神田2-6,35.690448,139.767561,神田出世不動尊,神社/寺院/教会など,3.5,14件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12339272-Reviews-Kanda_Shusse_Fudoson-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,三崎町２丁目,-,東京都千代田区三崎町2-9-12,35.701651,139.754544,三崎稲荷神社,旧跡 • 神社/寺院/教会など,3.5,24件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8148323-Reviews-Misaki_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞ケ関,35.675499,139.75159,江戸城外堀跡石垣,旧跡,3.5,16件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d10512798-Reviews-Edo_Castle_Stone_walled_Moat-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田１丁目,-,東京都千代田区外神田1-10-11,35.698749,139.770777,東京ラジオデパート,名所・有名スポット,3.5,12件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12044440-Reviews-Tokyo_Radio_Department_Store-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
