指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000、https://fortune.com/global500/2021,,,,,,,,,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Fortune,,,,,,,,Forbes,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目１－２　,35.684975,139.762366,Sumitomo Mitsui Financial Group,三井住友フィナンシャルグループ,Fortune Global 2021,325,▼88,36811.4,▼24.7,4837.5,▼25.3,"2,193,348","86,781",-,-,-,-,-,-
新宿区,西新宿１丁目,-,東京都新宿区西新宿１丁目２６－１　,35.692591,139.696522,Sompo Holdings,ＳＯＭＰＯホールディングス株式会社,Fortune Global 2021,331,△32,36283.3,△4.9,1344.1,△19.3,"118,614","48,115",-,-,-,-,-,-
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目２番３号,35.677699,139.761735,Mitsubishi Heavy Industries,三菱重工業株式会社,Fortune Global 2021,347,▼8,34902.5,▼6.1,383.4,▼52.2,"43,497","79,974",-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５－２　,35.665401,139.761062,Fujitsu,富士通株式会社,Fortune Global 2021,358,▼2,33862.5,▼4.6,1912.1,△29.9,"28,845","126,371",-,-,-,-,-,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目１－１　,35.6845,139.761221,Mitsubishi Chemical Holdings,三菱ケミカル株式会社,Fortune Global 2021,401,▼25,30729.1,▼8.0,-71.3,▼114.3,"47,805","69,607",-,-,-,-,-,-
千代田区,内幸町２丁目,-,東京都千代田区内幸町２丁目２番３号,35.670326,139.754314,JFE Holdings,ＪＦＥ（ジェイエフイー）ホールディングス株式会社,Fortune Global 2021,404,▼39,30443.7,▼11.3,-206.3,,"42,088","64,371",-,-,-,-,-,-
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５－５　,35.685512,139.765398,Mizuho Financial Group,株式会社みずほフィナンシャルグループ　,Fortune Global 2021,406,▼57,30357.1,▼17.2,4443.2,△7.7,"2,039,658","54,492",-,-,-,-,-,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番１５号,35.677204,139.768215,Medipal Holdings,株式会社メディパルホールディングス,Fortune Global 2021,408,△9,30291.3,△1.2,225.7,▼35.4,"15,189","14,614",-,-,-,-,-,-
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町二丁目１番１号,35.687672,139.774633,Takeda Pharmaceutical,武田薬品工業株式会社,Fortune Global 2021,409,△5,30165.7,▼0.3,3546.9,△771.7,"116,748","47,099",-,-,-,-,-,-
港区,芝浦１丁目,-,東京都港区芝浦１丁目１－１　,35.651638,139.757975,Toshiba,株式会社東芝,Fortune Global 2021,420,▼18,28812.6,▼7.6,1075.2,,"31,651","117,300",-,-,-,-,-,-
港区,芝５丁目,-,東京都港区芝五丁目７番１号,35.649428,139.74794,NEC,日本電気株式会社,Fortune Global 2021,432,△18,28243.3,▼0.8,1411.3,△53.5,"33,170","114,714",-,-,-,-,-,-
中央区,京橋３丁目,日八京,東京都中央区京橋３丁目１番１号　,35.6761,139.768382,Bridgestone,株式会社ブリヂストン,Fortune Global 2021,434,▼47,28046.8,▼12.8,-218.2,▼109.9,"40,586","138,036",-,-,-,-,-,-
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿１丁目２０－８　,35.646787,139.713393,Subaru,株式会社ＳＵＢＡＲＵ,Fortune Global 2021,459,▼54,26698,▼13.2,721.7,▼48.6,"30,847","36,070",-,-,-,-,-,-
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１番３号,35.685966,139.762736,Alfresa Holdings,アルフレッサホールディングス株式会社,Fortune Global 2021,494,New,24556.3,▼1.1,231.1,▼37.6,"11,905","12,045",-,-,-,-,-,-
中央区,日本橋１丁目,日八京,東京都中央区日本橋１丁目９－１,35.683777,139.776151,Nomura,野村證券株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,288,△11,$16.5 B,$2.6 B,$431.9 B,$16.4 B
中央区,京橋２丁目,日八京,東京都中央区京橋ニ丁目４番１６号,35.676928,139.768971,Meiji Holdings,明治ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1364,▼152,$11.3 B,$601.9 M,$10.6 B,$9.2 B
中央区,京橋１丁目,日八京,東京都中央区京橋１丁目１５番１号,35.676999,139.773353,Ajinomoto,味の素株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1275,△230,$10 B,$546.3 M,$13.3 B,$11.1 B
港区,南青山２丁目,-,東京都港区南青山２丁目１－１　,35.672091,139.723793,Honda Motor,本田技研工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,82,△1,$121.8 B,$3.9 B,$201.3 B,$52.8 B
港区,港南２丁目,-,東京都港区港南二丁目３番１３号,35.62903,139.744217,Toyota Tsusho,豊田通商株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,429,△79,$57 B,$1 B,$47 B,$15.5 B
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町二丁目１番１号,35.687672,139.774633,Takeda Pharmaceutical,武田薬品工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,195,△295,$30 B,$1.7 B,$119 B,$53.3 B
千代田区,神田三崎町３丁目,-,東京都千代田区神田三崎町３丁目３番２３号　,35.700279,139.752309,Fuyo General Lease,芙蓉総合リース株式会社 ,Forbes Global 2021,-,-,-,-,-,-,-,-,1810,△101,$6.9 B,$249.7 M,$29.1 B,$2 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５－２　,35.665619,139.760797,Fujitsu,富士通株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,363,△59,$34 B,$1.6 B,$29.4 B,$30.3 B
港区,赤坂９丁目,六本木,東京都港区赤坂９丁目７番３号,35.665548,139.730402,Fujifilm Holdings,富士フイルムホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,444,△5,$20.2 B,$1.2 B,$32.6 B,$25.2 B
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３番２号　郵船ビル,35.68152,139.762919,Nippon Yusen,日本郵船株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1093,△403,$14.6 B,$606.5 M,$19 B,$6 B
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.686859,139.767437,Japan Post Holdings,日本郵政,Forbes Global 2021,-,-,-,-,-,-,-,-,87,▼15,$106.6 B,$4.2 B,"$2,879 B",$34.8 B
港区,芝５丁目,-,東京都港区芝五丁目７番１号,35.649428,139.74794,NEC,日本電気株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,528,△115,$27.8 B,$986.3 M,$32.4 B,$16.3 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目９番３号,35.661668,139.760736,Nippon Express,日本通運株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1574,△37,$18.8 B,$283.2 M,$15.7 B,$7 B
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目６－１,35.67857,139.762532,Nippon Steel,日本製鉄株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,682,▼278,$45.9 B,$-1.9 B,$70.4 B,$16.6 B
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１丁目２－１０,35.681183,139.779654,Japan Securities,日本証券金融株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1693,▼48,$280 M,$35.6 M,$98.4 B,$675 M
品川区,南品川４丁目,-,東京都品川区南品川４丁目７－１６,35.613273,139.736228,Nippon Paint,日本ペイント株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1036,△397,$7.3 B,$418.2 M,$15.6 B,$35.3 B
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目２－１,35.669469,139.745842,Japan Tobacco,日本たばこ産業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,267,△16,$19.6 B,$2.9 B,$52.1 B,$34.1 B
港区,赤坂８丁目,赤坂,東京都港区赤坂８丁目５番２７号,35.671425,139.727235,Nippon Steel Trading,日鉄物産株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1787,▼102,$19.6 B,$122 M,$8.3 B,$1.2 B
渋谷区,代々木２丁目,-,東京都渋谷区代々木２丁目２番２号,35.687322,139.700055,East Japan Railway,東日本旅客鉄道株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,648,▼387,$18.6 B,$-3.3 B,$86.3 B,$26.2 B
千代田区,内幸町１丁目,-,東京都千代田区内幸町１丁目１番３号,35.670106,139.758431,Tokyo Electric Power,東京電力ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,846,▼419,$53.5 B,$-2.4 B,$115.9 B,$4.7 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目２－１　,35.683118,139.763278,Tokio Marine Holdings,東京海上ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,203,▼52,$49.7 B,$1.4 B,$247.6 B,$34.7 B
千代田区,神田練塀町,-,東京都千代田区神田練塀町３,35.700361,139.774005,Tokyo Century,東京センチュリー株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,922,△147,$11.5 B,$525.4 M,$53.9 B,$8.3 B
港区,海岸１丁目,-,東京都港区海岸１－５－２０,35.65345,139.758554,Tokyo Gas,東京ガス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,933,▼3,$16.8 B,$516.3 M,$26.5 B,$9.4 B
港区,赤坂５丁目,赤坂,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー,35.673175,139.736359,Tokyo Electron,東京エレクトロン株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,583,△110,$12 B,$2 B,$12.3 B,$70.2 B
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂１丁目２１－１　渋谷ソラスタ,35.656394,139.696577,Tokyu Fudosan,東急不動産ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1643,△45,$8.9 B,$267.2 M,$26 B,$4.1 B
渋谷区,南平台町,-,東京都渋谷区南平台町５－６,35.654937,139.697816,Tokyu,東急株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1671,▼692,$9.2 B,$-282.5 M,$24.4 B,$7.9 B
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２－１－１,35.686796,139.772981,Toray Industries,東レ株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1157,▼328,$17.8 B,$163.4 M,$26.9 B,$10.2 B
中央区,銀座６丁目,-,東京都中央区銀座６丁目１５番１号,35.668185,139.766246,Electric Power Development,電源開発株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1218,△290,$7.9 B,$558.3 M,$27.4 B,$3 B
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１３－１,35.675837,139.760817,Dai-ichi Life Insurance,第一生命保険株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,291,▼61,$57.9 B,$657.6 M,$615.6 B,$20.7 B
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町三丁目５番１号,35.68832,139.775066,Daiichi Sankyo,第一三共株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,700,▼86,$9 B,$661.2 M,$19.9 B,$48.4 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目９番１号,35.68173,139.766185,Daiwa Securities,大和証券株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,963,▼49,$5.4 B,$646.7 M,$254.1 B,$8.2 B
新宿区,市谷加賀町１丁目,-,東京都新宿区市谷加賀町１丁目１番１号,35.695623,139.731017,Dai Nippon Printing,大日本印刷株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1759,▼226,$12.6 B,$61.2 M,$16.5 B,$5.9 B
港区,港南２丁目,-,東京都港区港南二丁目１６番１号,35.627788,139.740748,Daito Trust Construction,大東建託株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1214,△11,$14.5 B,$780 M,$8.3 B,$7.9 B
千代田区,神田司町,-,東京都千代田区神田司町２－９,35.693506,139.766949,Otsuka Holding,大塚ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,562,△18,$13.3 B,$1.4 B,$25.5 B,$21.6 B
千代田区,内幸町２丁目,-,東京都千代田区内幸町２－１－１,35.670872,139.752543,Sojitz,双日株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1256,▼149,$14.9 B,$375.1 M,$21.3 B,$3.4 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－５－２　汐留シティセンター,35.665497,139.760881,All Nippon Airways,全日本空輸株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1369,▼232,$8.6 B,$-3.5 B,$31.9 B,$10.6 B
港区,海岸１丁目,-,東京都港区海岸１丁目１４丁目５,35.65436,139.761658,Kawasaki Heavy Industries,川崎重工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1522,▼12,$14.4 B,$-0.6 M,$19.8 B,$4.1 B
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目１０番４号,35.667087,139.745524,Sekisui Chemical,積水化学工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1798,▼257,$10 B,$370 M,$11.1 B,$8.8 B
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目１６番１号,35.676457,139.773033,Shimizu,清水建設株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1061,▼119,$14 B,$752.5 M,$18 B,$6.4 B
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目６番１号,35.684409,139.769068,Shin-Etsu Chemical,信越化学工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,329,△26,$13.7 B,$2.6 B,$31.5 B,$72.5 B
港区,芝大門１丁目,-,東京都港区芝大門１丁目１３－９,35.657229,139.753206,Showa Denko,昭和電工株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1775,▼155,$9.1 B,$-714.7 M,$21.3 B,$4.6 B
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目１番１号,35.67676,139.761109,Idemitsu Kosan,出光興産株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1060,▼242,$44 B,$-893.3 M,$37.5 B,$7.4 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目3番2号（経団連会館）,35.688661,139.76365,"Sumitomo Forestry Co.,",住友林業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1820,new,$10.5 B,$379.6 M,$10.6 B,$4.2 B
新宿区,西新宿２丁目,-,東京都新宿区西新宿二丁目４番１号,35.688037,139.693512,Sumitomo Realty,住友不動産株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,578,△13,$8.9 B,$1.5 B,$53.5 B,$16.4 B
港区,新橋５丁目,虎ノ門広域,東京都港区新橋５丁目１１番３号,35.663263,139.756176,Sumitomo Metal Mining,住友金属鉱山株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1194,△243,$8.4 B,$510.9 M,$17.2 B,$12 B
中央区,新川２丁目,-,東京都中央区新川２丁目２７番１号　東京住友ツインビル（東館）,35.673592,139.784448,Sumitomo Chemical,住友化学株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1116,▼219,$20.8 B,$143.1 M,$37.7 B,$8.7 B
港区,元赤坂１丁目,赤坂,東京都港区元赤坂１－３－１,35.67731,139.734376,Kajima,鹿島建設株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,875,△56,$18.4 B,$1 B,$20.3 B,$7.2 B
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目７－３　,35.678607,139.764936,Mitsubishi Electric,三菱電機株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,281,△13,$38.9 B,$1.6 B,$43.1 B,$33.1 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１－１－１　大手町パークビル,35.686607,139.762823,Mitsubishi Estate,三菱地所株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,440,△43,$11.7 B,$1.4 B,$59.8 B,$23.4 B
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目２番３号,35.677699,139.761735,Mitsubishi Heavy Industries,三菱重工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,895,▼414,$35.5 B,$-102.9 M,$48.1 B,$10.4 B
港区,芝浦３丁目,-,東京都港区芝浦３丁目１番２１号,35.645067,139.749208,Mitsubishi,三菱自動車工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,112,▼8,$116.7 B,$3.1 B,$179.7 B,$41.6 B
港区,芝浦３丁目,-,東京都港区芝浦三丁目１番２１号,35.645067,139.749208,Mitsubishi Motors,三菱自動車工業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1608,▼436,$14.6 B,$-2.4 B,$17.3 B,$4.3 B
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内３丁目２番３号,35.677699,139.761735,Mitsubishi Materials,三菱マテリアル株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1579,▼23,$13.8 B,$-673.4 M,$18.9 B,$3 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－１－１,35.6845,139.761221,Mitsubishi Chemical,三菱ケミカル株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,879,▼280,$30 B,$-655.9 M,$49.6 B,$11 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－５－１,35.682543,139.764287,Mitsubishi UFJ Lease,三菱ＵＦＪリース株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1012,▼23,$8.4 B,$506.8 M,$58.4 B,$8.6 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目７番１号,35.683174,139.767101,Mitsubishi UFJ Financial,三菱UFJフィナンシャル・グループ,Forbes Global 2021,-,-,-,-,-,-,-,-,52,-,$56 B,$5.2 B,"$3,406.5 B",$69.7 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.688692,139.762799,Mitsui,三井物産株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,178,▼12,$59.9 B,$2.4 B,$114.7 B,$35 B
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２丁目１番１号,35.686796,139.772981,Mitsui Fudosan,三井不動産株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,327,△40,$19.5 B,$1.7 B,$73.6 B,$22.2 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目１番２号,35.684975,139.762366,Sumitomo Mitsui Financial,三井住友フィナンシャルグループ,Forbes Global 2021,-,-,-,-,-,-,-,-,85,▼5,$38.6 B,$4.9 B,"$2,256.8 B",$48.9 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目４－１,35.684356,139.764932,Sumitomo Mitsui Trust,三井住友トラスト・ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,454,▼71,$12.1 B,$1.3 B,$587.9 B,$13 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５番２号,35.665619,139.760797,Mitsui Chemicals,三井化学株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1556,△42,$11.2 B,$410.4 M,$14.8 B,$6.4 B
中央区,築地１丁目,-,東京都中央区築地１丁目１３－１　銀座松竹スクエア,35.668151,139.769492,Hanwa,阪和興業株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1877,▼83,$16.2 B,$-106.1 M,$8 B,$1.3 B
港区,赤坂５丁目,赤坂,東京都港区赤坂五丁目３番１号　赤坂Ｂｉｚタワー,35.673175,139.736359,Inpex,国際石油開発帝石株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1352,▼755,$7.2 B,$-1 B,$44.9 B,$10.4 B
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目７番１号　東京日本橋タワー,35.681882,139.774404,Marubeni,丸紅株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,721,▼279,$58 B,$-1.7 B,$62.8 B,$14.6 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目９－２　大手町フィナンシャルシティ　グランキューブ,35.688326,139.764409,Nomura Research Institute,株式会社野村総合研究所,Forbes Global 2021,-,-,-,-,-,-,-,-,1471,▼66,$5.1 B,$547.6 M,$5.3 B,$17.7 B
中央区,日本橋兜町,-,東京都中央区日本橋兜町２－１,35.682537,139.778873,Japan Exchange Group,株式会社日本取引所グループ,Forbes Global 2021,-,-,-,-,-,-,-,-,900,△62,$1.3 B,$483.8 M,$575.3 B,$13.7 B
新宿区,新宿５丁目,-,東京都新宿区新宿５丁目９番２号,35.692008,139.708809,Tokyo Kiraboshi Financial Group,株式会社東京きらぼしフィナンシャルグループ,Forbes Global 2021,-,-,-,-,-,-,-,-,1895,▼68,$867 M,$68.2 M,$56.9 B,$353 M
