指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2022/1/17,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用額,URL
港区,麻布台３丁目,-,東京都港区麻布台3-4-11 中央飯倉ビルB1F,35.66054,139.73903,CUBE,CLUB ･ DISCO,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ HIPHOP ･ Live ･ Electro ･ POPs,03-3589-0933,※イベントにより異なる,無休,イベント時 150～180名程,2500円,
港区,六本木３丁目,六本木,東京都港区六本木3-11-6 21泰明ビル5F,35.66307,139.73308,IBEX TOKYO,Club ･ ラウンジバー,HipHop ･ R&B ･ Reggae ･ 90s ･ Old school,03-3746-1075,22:00-05:00 / 週末 22:00-08:00 ※変動する場合あり,時間外はレンタルスペースとして利用可,100人前後,"4,000円",移転: 2018年7月5日
港区,六本木４丁目,六本木,東京都港区六本木4-5-2 UビルB1F,35.66500,139.73257,atomage,バー,Rock ･ R&B ･ TechHouse ･ House ･ Electro ･ Ska ･ Funk ･ Disco,03-3479-0055,19:00-02:00 / 週末 19:00-03:00,日,30席前後,チャージ 1000円ドリンク 700円～,
港区,六本木３丁目,六本木,東京都港区六本木3-11-6 21泰明ビル4F,35.66307,139.73308,Motown House,バー,BlackMusic ･ 80s ･ Allmix ･ etc.,03-5474-4605,18:00-05:00,無し,(面積: 約120平米),"3,500円～",https://www.motownhouse.com/
港区,六本木３丁目,六本木,東京都港区六本木3-14-8 下条ビルB1F,35.66244,139.73491,SONIDO’S BAR,バー,HipHop ･ TOP40 ･ Latin ･ EDM ･ R&B ･ Reggae,03-6447-1995,19:00-07:00,火,60名,"2,000円 (男性: エントランス料1,000円)",
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 2F,35.66402,139.73048,VILLA TOKYO,CLUB,Allmix ･ EDM ･ House ･ etc.,03-5413-8077,21:00-05:00 変動の可能性あり,,400名程地下: 立200人+固定100席 / 約400平米ラウンジ(1階): 80平米,エントランスフィーの目安男性 3500円 / 女性 無料 (クーポン割有)変更の場合有、事前に確認下さい,
港区,六本木５丁目,六本木,東京都港区六本木5-3-1 レーヌ第2ビル3F,35.66208,139.73329,Bar Quest,DJバー,Disco ･ Allmix,03-5414-2225,19:00-07:00 / 金･土19:00-10:00頃まで,無休,,3000円,
港区,六本木５丁目,六本木,東京都港区六本木5-18-2 大昌第二ビルB1F,35.66122,139.73728,VARIT.,ライブハウス ･ クラブ,All Genre,03-6441-0825,スケジュールをご確認下さい,,150～160人前後,,
港区,六本木６丁目,六本木,東京都港区六本木6-8-22 イケガミビル1F,35.65978,139.73225,THE PUBLIC SIX,バー,House ･ Allmix,03-5413-3182,17:00-05:00 / 日･祝 ～03:00,無し,立150名 (108席),"3,800円～",
港区,六本木３丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.66256,139.73493,Seven Tokyo,クラブ,Allmix,03-6804-5196,(22:00～ ※変動する為要確認),(日 ･ 月 ※要事前確認、祝前の場合変更の可能性あり),150名前後,"3,000円",
港区,六本木３丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル 1F-3F,35.66343,139.73400,ZEUS GARDEN,クラブ,Allmix,03-6384-5640,営業日: 火-土･祝前日1階: 18:00～2階: 19:00～3階: 木曜日 19:00-24:00 / 金曜･土曜 22:00-05:00,日 ･ 月 ･ 祝,300名面積: 350坪 (3フロア合計),"4,000円バー利用 1,000円～",https://zeus-garden.com/
港区,六本木３丁目,六本木,東京都港区六本木3-12-6 六本木プラザビル5F ※移転東京都港区六本木6-1-3 六門ビル6F,35.66296,139.73343,MAHARAJA,クラブ ･ ディスコ,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ POPs,03-6804-1798,月･火 19:00-24:00水･木 19:00-02:00金･土･祝前 19:00-05:00日･祝 イベントにより変動目安となります。事前にご確認下さい。,無休,300人,"4,500円",2020年1月10日に移転
港区,六本木５丁目,六本木,東京都港区六本木5-5-1 B1F (右奥) ※移転東京都港区六本木3-13-12 エルサビル2F,35.66212,139.73428,New Lex Tokyo (Lex Tokyo),クラブ,Allmix ･ Others,03-6434-7729,22:00～ミッドナイト,無休,150名前後,"3,500円",http://lex-tokyo.com/
港区,六本木７丁目,六本木,東京都港区六本木7-14-5 六本木大和ビル3F,35.66367,139.73150,TOKYO R Bar&Cafe,バー,Lounge music ･ Disco ･ House ･ Techno ･ Electronic ･ Jazz ･ Others,03-6434-7325,17:00-03:00 / 週末: 17:00-05:00,日,22席 (立 40名前後),"2,000円",
港区,六本木７丁目,六本木,東京都港区六本木7-14-10 山室ビル2F,35.66329,139.73181,GERONIMO SHOT BAR,Bar ･ Nightclub ･ Party,80s ･  TOP40 ･ Dance ･ Disco ･ HipHop ･ Allmix,03-3478-7449,18:00-05:00,無休,100人,2000円,
港区,六本木３丁目,六本木,東京都港区六本木3-15-22 陽光セントラル六本木ビル6F,35.66222,139.73516,JP Bar,バー,Latin ･ etc.,03-6886-6286,19:00～(23:00までハッピーアワー)変わる可能性あり確認要,日,要確認 (目算:40名～),"2,000円～",
港区,六本木３丁目,六本木,東京都港区六本木3-14-12 六本木三丁目ビルB1F,35.66251,139.73435,BLACK HORSE,クラブ ･ ラウンジバー,Allmix,03-5772-5444,18:00-05:00 ※変わる可能性あり、要確認,無休,80席 / 床面積 221.3㎡,"4,000円",
港区,六本木３丁目,六本木,東京都港区六本木3-12-5 ステラ六本木B1F,35.66284,139.73352,88 STREET BAR,DJバー,Allmix ･ HipHop ･ Soul ･ Classics ･ Dance,03-3478-0166,22:00-06:00 / 週末 20:00-07:00※改定の可能性あり、要確認,無し,,"2,800円 / 20:00-23:00はオールドリンク500円エントランスフリー",https://www.facebook.com/88-Street-Bar-180171088759400/
港区,六本木５丁目,六本木,東京都港区六本木5-16-5 インペリアル六本木ビルB2F,35.66176,139.73527,THE FIRST HOUSE,クラブバー,R&B ･ Allmix,03-6277-7229,19:00-05:00 (ハッピーアワー 22:00まで)※更新の可能性あり、要確認,日,席数 40程,"3,000円",
港区,六本木３丁目,六本木,東京都港区六本木3-15-23 六本木花椿ビル3F,35.66238,139.73524,ODEON TOKYO,Club ･ バー,House ･ EDM ･ Allmix ･ Trance,03-3478-4555,21:00-09:00 / 週末 ～12:00※変更の可能性あり、要確認,日,39坪,"3,800円",
港区,六本木３丁目,六本木,東京都港区六本木3-10-5 マリーナビル1F,35.66321,139.73342,NEW PLANET TOKYO,CLUB ･ ラウンジ,Allmix ･ HipHop ･ Dance ･ R&B ･ POPs,03-3470-4360,18:00-08:00,無休,,3500円,
港区,六本木５丁目,六本木,東京都港区六本木5-9-22 第二千陽ビルB1F,35.66183,139.73296,Electrik神社,バー,Jazz ･ Funk ･ Live ･ HipHop ･ Others,03-3478-3363,19:00-05:00,日,50人,3500円前後,
港区,六本木３丁目,六本木,東京都港区六本木3-13-6 WINDビルB1,35.66289,139.73404,THE NEW MATRIX BAR,DJバー,HipHop ･  R&B ･ Reggae ･ Allmix,03-3405-1066,20:00-05:00 ※更新となる場合あり、要確認,日,,"2,000円～3,500円",
港区,六本木３丁目,六本木,東京都港区六本木3-15-24 アリエスビル 1F/B1F,35.66266,139.73538,LINE CLUB,バー ･ ラウンジ,HipHop ･ R&B ･ Reggae ･ Allmix,03-5785-1885,木･金･土 22:00-09:00※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,,,2800円,
港区,六本木３丁目,六本木,東京都港区六本木3-15-23 B1F,35.66238,139.73524,MILWAUKEE BAR,アミューズメントバー,Allmix ･ Trance ･ 70s ･ 80s ･ 90s,03-3401-7155,18:00-02:00 / 週末･祝前 18:00-06:00,月,120人,2800円,
港区,六本木３丁目,六本木,東京都港区六本木3-10-5 マリナービル1F/2F,35.66321,139.73342,JUMANJI 55,バー ･ ラウンジ,House ･ Allmix ･ R&B,03-5410-5455,19:00～※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,無休,,3500円,
港区,六本木３丁目,六本木,東京都港区六本木3-13-8 ゾーナンビル2F,35.66261,139.73395,mint,カフェバー,Others,03-6823-1219,12:00-04:00 (ランチ: 17:00まで),火,立90名未満 / 44席,"3,000円～",
港区,六本木５丁目,六本木,東京都港区六本木5-18-21 FIVEPLAZA B2F,35.66095,139.73693,Club EDGE,ライブハウス,Live ･ POPs ･ Rock ･ Funk ･ All Genre ･ Others,03-3505-4561,※スケジュールにより異なる,,150人,3000円前後,
港区,六本木３丁目,六本木,東京都港区六本木3-11-6 泰明ビル3F,35.66307,139.73308,Sheyda BAR,ラウンジバー,House ･ TOP40 ･ Billboard ･ Latin ･ R&B,03-6447-0148,21:00-06:00 / 土 21:00-09:00,日,40席前後,"1,000円",
港区,六本木３丁目,六本木,東京都港区六本木3-15-23 花椿ビル1F,35.66238,139.73524,jokers Bar,ダイニングバー,Allmix ･ Disco ･ R&B,03-6434-0574,月-木19:00-05:00 / 金･土19:00-06:00※変更となっている可能性あり、要確認,日,40席前後,"3,000円",
港区,六本木３丁目,六本木,東京都港区六本木 3-15-24 アリエスビル2F,35.66266,139.73538,Two Dogs Taproom,レストラン ･ バー,Others,03-5413-0333,17:00-05:00,無休,,2000円～3000円,
港区,六本木５丁目,六本木,東京都港区六本木5-16-52 インペリアル六本木2号館 S202,35.66161,139.73524,F.Y.B TOKYO,バー,Allmix ･ EDM ･ HipHop ･ etc.,03-6441-2978,21:00又は22:00より ※変動の可能性あり,日,,"3,000円～",
港区,六本木３丁目,六本木,東京都港区六本木3-13-10 六本木幸田ビル5F,35.66278,139.73359,Padi’s Tokyo,バー,Reggae ･ Afrobeat ･ Afro Pop,03-6698-9001,18:00-23:00 / 週末 22:00-05:00,無し ･ 不定,,"2,800円(ファーストドリンク 1,000円 / 料理一品 1,000円程)",
港区,六本木７丁目,六本木,東京都港区六本木7-6-3 喜楽ビル201,35.66462,139.72855,Funky D,バー,80s ･ 70s ･ Funk ･ Soul ･ R&B ･ House ･ HipHop,03-3403-5636,平日 20:00-24:00 / 週末 20:00-02:00,日-水 ･ 祝日 (祝前は営業の可能性あり),15名,4000円 (チャージ 1000円)ドリンク 800円～,
港区,六本木４丁目,六本木,東京都港区六本木4-11-11 六本木GMビル B1F,35.66422,139.73154,morph-tokyo,ライブハウス ･ クラブ,Live ･ POPs ･ Others ･ Allmix,03-5414-2683,イベント･ライブにより異なる,,着席100人 / スタンディング250人,,
港区,六本木３丁目,六本木,東京都港区六本木3-15-24 ウィン六本木1F,35.66266,139.73538,EL CAFE LATINO,バー,Latin ･ Salsa ･ Dance,03-3402-8989,火-木･日 18:00-24:00金･土･祝前日 18:00-05:00,無し,30席,金･土 エントランス1500円,
港区,六本木３丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル3F,35.66343,139.73400,ZEN TOKYO,CLUB,HipHop ･ etc.,Closed,木～土･祝前日 22:00-05:00,上記のクラブ営業以外の日は、イベントスペースとして貸切可能,600名 / 面積: 400平米程,"5,000円VIP: 2時間8万円～",閉店: 2020年2020年7月中旬、跡地にゼウスガーデンがプレオープン
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 セントラル六本木1F,35.66372,139.73080,R2 SUPPERCLUB,ラウンジバー,Soul ･ Jazz ･ Electronic ･ Live ･ Funk ･ Lounge,03-6447-0002,17:00-05:00 / 日 17:00-03:00(ハッピーアワー 17:00-20:00),無休,250名 (127席) / 120坪,"4,000円",
港区,六本木３丁目,六本木,東京都港区六本木3-11-10 ココ六本木ビル4F,35.66330,139.73290,RAKAN TOKYO,バー,HipHop ･ Latin ･ R&B ･ etc.,03-6812-9492,20:00-07:00 ※貸切等により変動あり。要確認,日 ※祝前日の場合、変わる可能性あり,100名前後,,
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズウェストウォーク1F,35.66042,139.72925,TUSK,バー,Allmix,03-3478-9991,月-土 11:30-05:00日･祝 11:30-24:00,無休,80席,"1,000円～3,000円",
港区,六本木３丁目,六本木,東京都港区六本木3-13-12 エルサビル2F,35.66291,139.73384,MAGNET,レストランバー,HipHop ･ House ･ EDM ･ R&B ･ Techno,03-6434-7729,23:00-05:00 (レストラン ～22:00),日,立 100人,男性2000円～ / 女性1000円～,
港区,六本木３丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.66256,139.73493,7Sense,ラウンジ,Allmix,03-6804-5196,火-木 24:00-07:00金･土 21:00-08:00※営業時間が変更となる可能性があります。必ず事前にご確認下さい。,月 ･ 日,150人,平日 / 男性2500円 女性1000円 (フリードリンク)金･土･祝前日 / 男性2000円 女性1000円 (2ドリンク)※最新の情報とは異なる可能性があります。必ず事前に下記HPをご覧下さい,
港区,六本木５丁目,六本木,東京都港区六本木5-10-25 R棟,35.65938,139.73250,1OAK Tokyo,CLUB,HipHop･ R&B･ Electro･ Moombahton･ etc.,Closed,23:00-05:00事情により変更となる場合あり、事前に要確認,日 ･ 月,1000人 / 席数180,"一般: 5,000円～1階VIP席: 15万円～2階VIPルーム: 40万円～ ※全て目安",2017年8月25日
港区,西麻布３丁目,-,東京都港区西麻布3-2-9 サンライズ六本木B1F,35.66014,139.72773,BASECAMP,バー ･ イベントスペース,All Genre ･ Others,03-6434-7800,19:00-24:00 ※イベント開始はそれぞれ異なる,日 ･ 月 (※要確認),約116平米,,
港区,西麻布４丁目,-,東京都港区西麻布4-1-1 麻布霞町マンションB1F,35.65947,139.72326,西麻布MUSE,CLUB ･ バー,House ･ R&B ･ Allmix,03-5467-1188,22:00～クラブ営業: 水･木･金･土･祝前バー営業: 火※特別なイベントなどで営業時間が変更となる可能性があります。必ず事前にご確認下さい。,日 ･ 月 (※祝前日を除く),1000人前後,"女性: 入場無料 男性: [火] 入場無料、[水･木] 2,000円/2D (学生1,000円/1D)、[金･土･祝前] 4,000円/2D (学生1,000円 OFF)",
港区,麻布十番２丁目,-,東京都港区麻布十番2-8-7 M2K Holdingビル2F,35.65550,139.73477,Cafe del A.R.M,バー,Techno ･ House ･ Minimal ･ Crossover ･ HipHop ･ etc.,03-6809-3581,20:00～月-木 ～02:00金・土 ～04:00最新の情報と異なる場合有、要事前確認,日 (事情により日曜営業した場合は、翌日が休み),30名未満,2500円～3500円前後,
港区,西麻布１丁目,-,東京都港区西麻布1-14-17 WAVE西麻布1F-2F,35.66131,139.72336,Trip Bar,ダイニングバー,TOP40 ･ 80s ･ HipHop ･ BlackMusic ･ etc.,03-6447-0333,月-土 18:00-04:00 (2階: 05:00まで)日･祝 17:00-24:00,不定,1階: 45席前後 / 2階: 30名以上,"5,000円～",
港区,麻布十番２丁目,-,東京都港区麻布十番2-5-1 マニヴィア麻布十番8F,35.65646,139.73338,The Beach Lounge,ソウルバー ･ ラウンジ,Soul ･ Jazz ･ R&B ･ Disco,03-5772-5745,平日 ･ 土 20:00-04:00DJプレイ 21:00～※変更となる可能性もございます。事前にお確かめ下さい。,日 ･ 祝,,3800円,
港区,西麻布１丁目,-,東京都港区西麻布1-8-10 1F,35.66037,139.72494,PULPLISM,ハンバーガーショップ,Others,03-3401-8350,11:30-24:00金･土 11:30-02:00日 11:30-18:00,不定,10席,"1,000円～",
港区,西麻布１丁目,-,東京都港区西麻布1-8-4 三保谷硝子B1F,35.66071,139.72582,新世界,ライブハウス ･ イベントスペース,Live ･ Others,03-5772-6767,※イベントスケジュールにより異なる,不定休,50席 / 立100名,,http://shinsekai9.jp/
港区,麻布十番１丁目,-,東京都港区麻布十番1-4-5 深尾ビル1F-B1F,35.65696,139.73528,1OAK TOKYO,クラブ,HipHop ･ etc.,03-5572-7535,23:00-05:00,月･火･水･木･日,,"5,000円",http://www.1oaktokyo.com/
港区,西麻布３丁目,-,東京都港区西麻布3-1-25 B1F,35.66075,139.72751,SuperDeluxe,CLUB,All Genre ･ Live ･ Others,Closed,※イベントスケジュールにより異なる,不定休,300人,,
港区,麻布十番１丁目,-,東京都港区麻布十番1-4-5 深尾ビル1F / B1F,35.65696,139.73528,ELE TOKYO,CLUB,Dance Music ･ Electro ･ Allmix ･ EDM ･ Other,03-5572-7535,22:00～,日～水 (祝前日を除く),地階メインフロア: 400人1階ラウンジ: 100人中二階: 30席未満,"6,000円",2014年8月8日
港区,西麻布１丁目,-,東京都港区西麻布1-12-5 1F,35.66009,139.72407,BAR BLUE,DJバー,Others,03-6804-3193,18:00-05:00,無休,,,
港区,南青山３丁目,-,東京都港区南青山3-18-19 フェスタ表参道ビルB1F,35.66520,139.71294,VENT,CLUB,House ･ Techno ･ etc.,03-6804-6652,23:00～※イベントによって変動の可能性あり金曜や土曜日、祝前日等の営業がメイン,,300人,3500円前後から,http://vent-tokyo.net/
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-5-9 青山ビルディング2F-4F,35.65863,139.70919,AOYAMA HACHI,ナイトクラブ,House ･ Techno ･ HipHop ･ Allmix ･ Jazz ･ Crossover ･ Electro,03-5766-4887,イベントごとに変動 (終了23:30),不定休,200人,"2,000円～",http://www.aoyama-hachi.net/
港区,南青山５丁目,-,東京都港区南青山5-10-1 H2 AOYAMA BLDG B1F･B2F,35.66279,139.71101,fai aoyama,CLUB,House ･ Techno ･ Jazz ･ Electronic,03-5466-3181,22:00～ ※イベントにより異なる,,300人,3000円～,
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-9-13 AiiA ANNEXビルB1F,35.66093,139.70749,0 Zero,クラブ ･ カフェ,House ･ Techno ･ Crossover ･ Electronic ･ Others,03-3797-9933,11:30-05:00 / カフェバータイム11:30-21:00 / CLUBタイム22:00-05:00,,100人前後,,
港区,赤坂８丁目,赤坂,東京都港区赤阪8-10-22 ニュー新坂ビルB1F,35.67037,139.72695,EDITION,CLUB,House ･ Techno ･ Electro ･ EDM ･ Dance Music,03-6721-1945,,,500人,,
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-5-9 青山ビルB1,35.65863,139.70919,Aoyama Tunnel,ラウンジ,Jazz ･ Techno ･ House ･ Disco,,月-木19:00-03:00 / 金-土20:00-06:00,,,2800円,http://aoyama-tunnel.com/
港区,南青山１丁目,-,東京都港区南青山1-15-18 リーラ乃木坂B1F,35.66815,139.72679,Club CACTUS,CLUB,Reggae,03-3408-9577,月-金 18:00-MIDNIGHT / 土 22:00-05:00,不定休,120人前後,3500円,
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-5-9 青山ビル1F,35.65863,139.70919,RED BAR,バー,Techno ･ House ･ etc.,03-5888-5847,平日 20:00-05:00 / 週末 20:00-08:00 ※変動する場合あり,日,40名未満,1000円～2500円,
港区,南青山６丁目,-,東京都港区南青山6-3-16 ライカビル,35.66121,139.71624,BLUE NOTE TOKYO,ジャズクラブ,Others ･ POPs ･ Jazz,03-5485-0088,月-金 17:00-24:00 / 土･日･祝 15:30-23:00,不定休,300人,8500円,
港区,南青山５丁目,-,東京都港区南青山5-11-9 レキシントン青山ビルB1F,35.66192,139.71251,IDOL,カフェ ･ イベントスペース,House ･ Electronic ･ Others ･ Disco,03-6427-4779,火-土 11:30-23:00日 11:30-18:00※イベント等により変動あり,月,148坪,カフェ1200円 / イベント時3000円前後,
港区,南青山５丁目,-,東京都港区南青山5-6-23 スパイラルB1F,35.66358,139.71175,CAY,ライブレストラン,All Genre ･ Live,03-3498-7840,11:30～24:00,不定休,Restaurant営業100名 / LIVE営業300名,Lunch 1000円 / Dinner 3500円 / Charge 500円～,
港区,南青山３丁目,-,東京都港区南青山3-18-19 フェスタ表参道ビル1F,35.66520,139.71294,cafe ATLANTIS,エンターテインメントラウンジ,Allmix ･ House ･ R&B ･ HipHop ･ Others,03-6434-0069,19:00-03:00,無休,200人,5000円～,
港区,南青山６丁目,-,東京都港区南青山6-10-12 フェイス南青山1F,35.65935,139.71519,Future SEVEN,イベントスペース,Others,03-6861-7777,,,250人,,
港区,南青山４丁目,-,東京都港区南青山4-9-1 シンプル青山ビルB1F,35.66732,139.71813,月見ル君想フ,ライブハウス,Live ･ POPs ･ R&B ･ Jazz ･ Funk ･ etc.,03-5474-8115,14:00-22:00,,150人,,
港区,南青山６丁目,-,東京都港区南青山6-2-9 NYKビルB1F / B2F,35.66088,139.71561,ever,CLUB,House ･ Techno ･ HipHop ･ Allmix ･ R&B ･ EDM ･ Electro,03-5774-1380,23:00-ミッドナイト※イベントにより異なる場合があります。必ず事前にご確認下さい。,,180人,,
港区,北青山１丁目,-,東京都港区北青山1-4-5 VORT青山1丁目Duals B1F,35.67230,139.72170,青山RizM,ライブハウス,POPs ･ Live ･ Folk ･ Rock ･ Others,03-6804-5925,※公演ごとに異なる,,250人,,
港区,南青山６丁目,-,東京都港区南青山6-7-14 チガー南青山B1,35.65950,139.71719,REDSHOES,バー,Rock ･ Live,03-3486-1169,火-土 19:00-04:00 / 日 19:00-24:00※変更となる可能性あり。事前にご確認下さい,月,100名以下 (立),5000円,
港区,南青山５丁目,-,東京都港区南青山5-8-10 コモド南青山ビル8F,35.66251,139.71207,Le Donjon M,バー,Techno ･ Trance ･ House ･ HipHop ･ Jazz ･ R&B,03-3407-7170,18:00-03:00,日 ･ 祝,30人,3000円,
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-47-6 B1F,35.66380,139.70796,Tokyo Salon,パーティーラウンジ ･ バー,Live ･ Allmix ･ Others,Closed,火-土19:00～,日 ･ 月,300人,4500円,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-21-1 第二東亜会館B1-B2F,35.69522,139.70131,WARP SHINJUKU,CLUB,Allmix ･ EDM ･ House ･ Techno ･ HipHop ･ Trap ･ DUBSTEP ･ BassMusic ･ etc.,03-6278-9197,19:00～ラスト,不定,メインフロア: 600名 / 全体: 1500名未満 (320坪),"男性3,000円～ / 女性2,000円",2018年10月26日
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-3 梅村ビル5F,35.69464,139.70398,ORIZURU,クラブ,House ･ Techno ･ Dub ･ etc.,03-6273-9519,木 21:00-05:00金･土 21:00-05:00 / 06:00-10:00※変更の可能性がある為、事前に要確認,日,150人,"3,000円 ※目安",https://orizuru.club/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-7-1 J2ビルディングB1-B2F,35.69419,139.70279,CASABLANCA ex. CROSSOVER,クラブバー,R&B ･ POPs ･ Reggae ･ HipHop ･ House ･ Trance ･ Allmix ･ Electro,03-6457-6501,20:00-05:00,無休,地下2階 150名 / 地下1階 30名程 (目算),"エントランス料 ※目安男性 1,000円～3,000円 / 女性 1,000円～",
新宿区,新宿２丁目,-,東京都新宿区新宿2-18-5 石川ビル2F,35.69109,139.70802,NEW SAZAE,バー ･ ディスコ,Soul ･ Funk ･ 70s ･ 80s ･ Disco ･ House ･ R&B ･ EUROBEAT ･ etc.,03-3354-1745,22:00-07:00 (週末･祝前),(日-木 ※2018年6月以降),,2500円前後 (エントランス料 1000円)ドリンク 700円,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-28-16 ウィザードセブンB1F,35.69612,139.70340,FATE,ライブハウス,POPs ･ V-ROCK ･ A-POP ･ Others,03-6278-9332,※ライブにより変動,,150名,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-23-13 第1大滝ビル5F,35.69425,139.70101,カブキラウンジ,バー,HipHop ･ Disco ･ Soul ･ Funk ･ Techno ･ R&B,03-6205-5125,18:00-24:00 / 週末 18:00-05:00,年末年始,60名,3000円,
新宿区,新宿２丁目,-,東京都新宿区新宿2-14-16 タラクビル3F,35.69070,139.70953,DJ&VJ Bar A-UN,バー,Allmix ･ Techno ･ House ･ HipHop ･ EDM,070-6612-9014,金･土･祝前 20:00-05:00,不定休,20席 (立 50名),ファーストドリンク: 男性2000円 / 女性1000円※変更の可能性あり,
新宿区,新宿３丁目,-,東京都新宿区新宿3-1-32 新宿ビル2号館3F,35.68976,139.70638,BAR 3R,バー,Soul ･ Funk ･ Oldies ･ Others,03-6380-5850,17:00-26:00 ※日により変動する可能性あり,不定休,20名前後 ※目算,"2,500円前後",
新宿区,新宿２丁目,-,東京都新宿区新宿2-11-7 第33宮廷ビル2F,35.69035,139.70729,ARTY FARTY,バー,All Genre,03-5362-9720,19:00-5:00,,,2500円,
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-6-2 ヒルトン東京2F,35.69273,139.69107,バー&ラウンジ ZATTA,バー,R&B ･ Jazz ･ POPs ･ HipHop ･ House ･ Allmix ･ Electro ･ NewAge ･ Live ･ Acoustic,03-3344-5111,11:00-25:00 / 週末 11:00-26:00(DJ･ライブ: 18:30～),無し,65席,夜 5000円～ / 昼 3000円,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-36-3 アシベ会館B2F,35.69590,139.70239,ACB HALL,ライブハウス,Rock ･ POPs ･ Acoustic ･ All Genre,03-3205-0901,公演により変動貸切対応 9:00-23:00,,300名,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-15-5 ビックレモンビルB2F,35.69418,139.70187,Soul Dining Bar 歌舞伎町 鶴千,ミュージックバー,BlackMusic ･ 70s ･ 80s ･ Soul ･ Funk ･ POPs ･ Rock ･ AOR ･ etc.,03-6233-7083,月-木: 18:00-03:00金･土: 18:00-05:00日: 18:00-24:00,不定,120名,"3,500円ドリンク1杯: 900円前後",2019年12月19日
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-3-8 B1F,35.71362,139.70172,AREA,ライブハウス,Live ･ HardRock ･ Rock ･ POPs ･ HeavyMetal ･ etc.,03-3361-1069,公演により異なる,,400人,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-27-12 Lee2ビル4F-E,35.69582,139.70326,HONEY BEE,バー,HipHop ･ Reggae ･ Soul ･ etc.,,20:00-05:00 ※変動する可能性あり、要事前確認,,15名前後 ※目算,"1,500円～3,000円",
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-13-11 甲斐ビルB1F,35.69430,139.70258,CLUB23 TOKYO,バー,HipHop ･ Allmix ･ Reggae ･ R&B ･ EUROBEAT ･ etc.,03-6380-2006,20:00-05:00,不定,(70名未満 ※目算),"男性 2,000円～ / 女性 1,000円～",
新宿区,大久保２丁目,-,東京都新宿区大久保2-32-3 リスボンビルB1F,35.70151,139.70248,EARTHDOM,ライブハウス,Psychedelic ･ Others ･ Rock ･ punk ･ Hardcore ･ Live,03-3205-4469,開演時間により変動,,350人,,
新宿区,新宿３丁目,-,東京都新宿区新宿3-35-1 小宮ビル5F,35.68987,139.70296,新宿ドゥースラー,カフェバー,DUBSTEP ･ Jungle ･ Dub ･ Bass ･ Reggae,03-3356-5674,月-木18:00-02:00 / 金･土18:00-04:00 / 日18:00-24:00,無休,席数は30席。イベント時収容人数はMAX80人,2500円,
新宿区,大久保２丁目,-,東京都新宿区大久保2-5-19 シティプラザ大久保B1F,35.70299,139.70812,HEAD POWER,ライブハウス,Rock ･ POPs ･ Hardcore ･ R&B ･ A-POP ･ Folk ･ Others,03-6380-3769,15:00-22:00貸切可能 09:00-22:00 / 深夜23:00-05:00,不定,150名前後,,
新宿区,新宿２丁目,-,東京都新宿区新宿2-19-9 カドビルB1F,35.69185,139.70729,DJ BAR Heart,DJバー,Disco ･ HipHop ･ House ･ Techno ･ Allmix ･ etc.,03-6384-1053,20:00-05:00,日,約215平米(※フロア総面積),"2,500円～ドリンク800円前後から",https://heart-tokyo.com/
